NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	0.009771095	Yes	
row_1	PTPN3	51	3.157999277114868	0.0129966615	Yes	
row_2	PDGFRA	72	2.970909357070923	0.02076038	Yes	
row_3	FGF1	74	2.951002836227417	0.048478432	Yes	
row_4	LAMA5	170	-2.7803878784179688	-0.025149245	Yes	
row_5	SPHK1	182	-2.7983622550964355	-0.009524216	Yes	
row_6	PDGFB	194	-2.8065645694732666	0.006180803	Yes	
row_7	COL4A3	247	-2.858926296234131	-0.021081803	Yes	
row_8	ADAP1	265	-2.875239133834839	-0.011069735	Yes	
row_9	NOS3	281	-2.8893442153930664	0.0012007784	Yes	
row_10	GABRB3	334	-2.9434022903442383	-0.02523801	Yes	
row_11	FN1	337	-2.9470744132995605	0.0013812857	Yes	
row_12	SOCS1	364	-2.979063034057617	0.0028618462	Yes	
row_13	FGF18	390	-3.022066831588745	0.0058222306	Yes	
row_14	COL1A2	398	-3.0397632122039795	0.02804321	Yes	
row_15	THEM4	423	-3.0847365856170654	0.032675203	Yes	
row_16	TRIB3	479	-3.1875813007354736	0.005436337	Yes	
row_17	EREG	487	-3.1926653385162354	0.029148433	Yes	
row_18	ATP6V0D2	523	-3.25465726852417	0.02377261	Yes	
row_19	PGF	549	-3.3246054649353027	0.029683383	Yes	
row_20	GABRG3	552	-3.326986312866211	0.06000762	Yes	
row_21	RRAD	588	-3.412843704223633	0.05617445	Yes	
row_22	STAT5A	597	-3.4334332942962646	0.0811741	Yes	
row_23	PTK6	608	-3.4624667167663574	0.10433599	Yes	
row_24	COL6A3	617	-3.48250412940979	0.12981418	Yes	
row_25	PCSK6	628	-3.5141444206237793	0.15348004	Yes	
row_26	LAMA3	648	-3.565378189086914	0.16810153	Yes	
row_27	TCIRG1	794	-4.065958023071289	0.0539886	No	
row_28	HSPB1	853	-4.240479946136475	0.03383638	No	
row_29	COL24A1	862	-4.265163421630859	0.06694715	No	
row_30	MDK	945	-5.096524238586426	0.02969247	No	
