NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC6	171	-2.780921220779419	-0.13074176	Yes	
row_1	ARHGAP28	175	-2.7924232482910156	-0.08573666	Yes	
row_2	AMIGO2	199	-2.809631109237671	-0.06133354	Yes	
row_3	FGD5	208	-2.817420482635498	-0.021122156	Yes	
row_4	FAM13A	233	-2.8469350337982178	0.0028791314	Yes	
row_5	BAIAP2L1	246	-2.8582563400268555	0.039614778	Yes	
row_6	DOCK5	313	-2.917257070541382	0.020941233	Yes	
row_7	DVL1	338	-2.9507997035980225	0.046733093	Yes	
row_8	PLEKHG4	473	-3.1772525310516357	-0.038513646	Yes	
row_9	NGEF	520	-3.251512289047241	-0.030526161	Yes	
row_10	MYH14	566	-3.36981201171875	-0.019454326	Yes	
row_11	PCDH7	649	-3.5663554668426514	-0.043656666	Yes	
row_12	ARAP3	662	-3.6110057830810547	0.0060559805	Yes	
row_13	TUBA4A	688	-3.7320139408111572	0.044270635	Yes	
row_14	ARHGAP45	727	-3.854275941848755	0.0710089	Yes	
row_15	SH3BP1	905	-4.550543308258057	-0.035495106	Yes	
row_16	H3C8	966	-6.119996070861816	0.007314474	Yes	
