NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A11	0	5.535912990570068	0.08542178	Yes	
row_1	SLC6A1	8	3.9939444065093994	0.13972807	Yes	
row_2	SLC15A2	9	3.97159743309021	0.20101172	Yes	
row_3	SLC18A1	58	3.074232816696167	0.19823939	Yes	
row_4	SLC38A3	100	2.802264451980591	0.19859265	Yes	
row_5	SLC4A1	127	-2.732518434524536	0.21356006	Yes	
row_6	SLC22A18	133	-2.7380127906799316	0.2505788	Yes	
row_7	SLCO3A1	164	-2.7709429264068604	0.261955	Yes	
row_8	SLC2A6	237	-2.85144305229187	0.23064032	No	
row_9	SLC2A1	382	-3.0105245113372803	0.12646654	No	
row_10	RSC1A1	394	-3.030500650405884	0.16172233	No	
row_11	SLC14A1	431	-3.0983331203460693	0.1718742	No	
row_12	SLC5A5	439	-3.117771863937378	0.21266071	No	
row_13	SLC7A5	527	-3.2783756256103516	0.17224345	No	
row_14	SLC3A2	659	-3.599818706512451	0.09076107	No	
row_15	SLC16A3	924	-4.696455478668213	-0.11292099	No	
row_16	SLCO4A1	946	-5.098379611968994	-0.056217086	No	
row_17	SLC6A15	953	-5.4057817459106445	0.020920556	No	
