NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A11	0	5.535912990570068	0.042084344	Yes	
row_1	SLC6A1	8	3.9939444065093994	0.064975895	Yes	
row_2	SLC15A2	9	3.97159743309021	0.09516822	Yes	
row_3	SLC18A1	58	3.074232816696167	0.067311406	Yes	
row_4	PSMA5	59	3.0733256340026855	0.09067501	Yes	
row_5	SLC38A3	100	2.802264451980591	0.06928856	Yes	
row_6	ABCB5	122	-2.7280349731445312	0.06761529	Yes	
row_7	SLC4A1	127	-2.732518434524536	0.08411912	Yes	
row_8	SLC22A18	133	-2.7380127906799316	0.09959748	Yes	
row_9	SLCO3A1	164	-2.7709429264068604	0.08864528	No	
row_10	SLC2A6	237	-2.85144305229187	0.033481143	No	
row_11	TRDN	314	-2.918647527694702	-0.025441047	No	
row_12	BEST4	319	-2.927884101867676	-0.007452038	No	
row_13	OSTM1	344	-2.9578986167907715	-0.010579574	No	
row_14	TRPM6	363	-2.9778265953063965	-0.0071522025	No	
row_15	MLKL	379	-3.0050745010375977	-3.1598192E-4	No	
row_16	SLC2A1	382	-3.0105245113372803	0.020435736	No	
row_17	RSC1A1	394	-3.030500650405884	0.03173419	No	
row_18	AQP7	401	-3.0446925163269043	0.04847671	No	
row_19	SLC14A1	431	-3.0983331203460693	0.041080587	No	
row_20	SLC5A5	439	-3.117771863937378	0.057311423	No	
row_21	ATP6V0D2	523	-3.25465726852417	-0.00652705	No	
row_22	SLC7A5	527	-3.2783756256103516	0.0151936505	No	
row_23	TRPV2	545	-3.31742262840271	0.022269888	No	
row_24	ABCA6	565	-3.368286371231079	0.027598323	No	
row_25	PCSK6	628	-3.5141444206237793	-0.011855562	No	
row_26	ANKH	637	-3.5316379070281982	0.006454275	No	
row_27	SLC3A2	659	-3.599818706512451	0.011408361	No	
row_28	ANGPTL4	700	-3.769260883331299	-0.0026269238	No	
row_29	ABCB9	756	-3.9466474056243896	-0.031322245	No	
row_30	TUSC3	758	-3.9518179893493652	-0.0023475215	No	
row_31	TCIRG1	794	-4.065958023071289	-0.008791118	No	
row_32	ATP8B1	825	-4.176084995269775	-0.009061344	No	
row_33	SLC16A3	924	-4.696455478668213	-0.07794771	No	
row_34	SLCO4A1	946	-5.098379611968994	-0.061601482	No	
row_35	SLC6A15	953	-5.4057817459106445	-0.026909817	No	
row_36	HMOX1	968	-6.207196235656738	0.005336362	No	
