NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	REPS2	31	3.4459421634674072	0.02181125	Yes	
row_1	MASP1	64	3.0248777866363525	0.035943814	Yes	
row_2	GALNT1	119	2.7225117683410645	0.022277605	Yes	
row_3	SPTBN5	271	-2.878653049468994	-0.09050014	Yes	
row_4	GJD3	285	-2.8925821781158447	-0.058555882	Yes	
row_5	COL7A1	371	-2.988760471343994	-0.100489534	Yes	
row_6	TRAPPC5	388	-3.0208706855773926	-0.069666155	Yes	
row_7	COL1A2	398	-3.0397632122039795	-0.031215388	Yes	
row_8	AP1G2	432	-3.1051292419433594	-0.016866025	Yes	
row_9	GJB2	433	-3.109480857849121	0.03210685	Yes	
row_10	ANK1	450	-3.1319949626922607	0.06468038	Yes	
row_11	COPZ2	455	-3.136183977127075	0.109885335	Yes	
row_12	EREG	487	-3.1926653385162354	0.1277076	Yes	
row_13	KIF16B	634	-3.53033447265625	0.03042914	Yes	
row_14	CTSZ	655	-3.584707021713257	0.065944195	Yes	
row_15	TUBA4A	688	-3.7320139408111572	0.09121382	Yes	
row_16	SYT1	694	-3.7537293434143066	0.1450977	Yes	
row_17	ARRB1	711	-3.807941436767578	0.18831709	Yes	
row_18	DAB2	952	-5.395794868469238	0.021989437	No	
