NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	-0.019405229	No	
row_1	MASP1	64	3.0248777866363525	0.018172514	No	
row_2	ACE2	79	2.92390775680542	0.04387378	No	
row_3	GALNT1	119	2.7225117683410645	0.040588513	No	
row_4	H2AC6	171	-2.780921220779419	0.025531206	No	
row_5	ZDHHC11	411	-3.0663235187530518	-0.18264996	Yes	
row_6	TLR6	414	-3.071751594543457	-0.14232849	Yes	
row_7	CEBPD	421	-3.0840718746185303	-0.10602977	Yes	
row_8	MED17	441	-3.1184113025665283	-0.082883686	Yes	
row_9	PARP10	442	-3.119767427444458	-0.03980274	Yes	
row_10	CASP1	533	-3.2840986251831055	-0.08879216	Yes	
row_11	HAVCR1	623	-3.5060250759124756	-0.13366877	Yes	
row_12	RNF135	647	-3.559652090072632	-0.108622454	Yes	
row_13	IL1R1	682	-3.68390154838562	-0.09339078	Yes	
row_14	TUBA4A	688	-3.7320139408111572	-0.04709639	Yes	
row_15	IRF7	737	-3.8785011768341064	-0.04385253	Yes	
row_16	TUSC3	758	-3.9518179893493652	-0.0102461325	Yes	
row_17	TLR4	939	-4.897897720336914	-0.13129018	Yes	
row_18	H2AC21	963	-5.816632270812988	-0.07507716	Yes	
row_19	H3C8	966	-6.119996070861816	0.0073375828	Yes	
