NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	Details ...	18	0.38685068	2.084239	0.0	0.034711614	0.015	408	tags=83%, list=42%, signal=141%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	16	0.31454796	1.5896721	0.05050505	0.27112776	0.226	597	tags=94%, list=61%, signal=238%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Details ...	18	0.261955	1.3671104	0.11956522	0.5138671	0.514	164	tags=44%, list=17%, signal=52%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	59	0.13687146	1.3249216	0.13548388	0.46250415	0.589	700	tags=90%, list=72%, signal=300%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR	Details ...	31	0.17130397	1.2326108	0.20851064	0.5400105	0.728	451	tags=68%, list=46%, signal=122%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	24	0.19943327	1.2230815	0.19433199	0.46616825	0.74	451	tags=71%, list=46%, signal=129%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	25	0.18607035	1.2186246	0.18897638	0.40567994	0.743	82	tags=24%, list=8%, signal=26%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	19	0.21624231	1.1906104	0.23970038	0.39376852	0.777	470	tags=74%, list=48%, signal=140%	
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Details ...	31	0.16810153	1.181033	0.23043478	0.36478832	0.793	648	tags=87%, list=67%, signal=252%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	18	0.20064233	1.0453156	0.38214287	0.5270924	0.908	699	tags=94%, list=72%, signal=328%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	19	0.18831709	1.0376607	0.39700374	0.49147075	0.919	711	tags=95%, list=73%, signal=344%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	28	0.14328703	0.9560719	0.48430493	0.57528657	0.954	521	tags=75%, list=53%, signal=157%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	17	0.17877181	0.9311786	0.516129	0.5689224	0.964	711	tags=94%, list=73%, signal=342%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	40	0.06238332	0.5016654	0.9888268	0.99235183	1.0	838	tags=95%, list=86%, signal=652%	
