"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENsembl","GeneID","EntrezID"
"TSPAN6",3148.80622152911,1.65729873365643,0.964213069019829,1.71880965619057,0.0856490366890071,0.401758388250953,"ENSG00000000003","TSPAN6","7105"
"TNMD",150.516051987235,3.79109483858292,3.03047420451616,1.25099063141117,0.210937895511462,0.601268890795375,"ENSG00000000005","TNMD","64102"
"DPM1",2379.66934865771,0.377515095995846,0.991508418947481,0.380748250626647,0.703390061914863,0.917983640126177,"ENSG00000000419","DPM1","8813"
"SCYL3",618.88000852416,0.0300059165832374,0.907697073446593,0.0330571921635736,0.973628979781561,0.994492457919737,"ENSG00000000457","SCYL3","57147"
"FIRRM",532.082928203282,1.24636706089772,1.077582077899,1.15663306439525,0.247422307479494,0.645431356254827,"ENSG00000000460","FIRRM","55732"
"CFH",194.052161280342,-13.3714864285132,5.73927544569986,-2.32982134330768,0.0198155956208509,0.184773276352788,"ENSG00000000971","CFH","3075"
"FUCA2",4412.95824237362,-0.00224495523293062,1.24269760464243,-0.00180651771158486,0.998558608193108,0.999561220194448,"ENSG00000001036","FUCA2","2519"
"GCLC",1057.55570324941,0.963642428741268,0.852137667609743,1.13085298933481,0.258116972631635,0.658229117703181,"ENSG00000001084","GCLC","2729"
"NFYA",2662.8374356817,1.06872913860794,0.755457081982907,1.41467882702584,0.157162685015731,0.532115162187543,"ENSG00000001167","NFYA","4800"
"STPG1",236.252584011639,-0.747991394179592,2.1287440065366,-0.351376864424647,0.725305636743816,0.92593874630156,"ENSG00000001460","STPG1","90529"
"NIPAL3",3424.52494502473,0.290256977673921,1.11219239894654,0.26097730747742,0.794110007005302,0.950527807126565,"ENSG00000001461","NIPAL3","57185"
"LAS1L",1940.72247080324,0.227776139778845,0.908888338550566,0.250609596490243,0.802115961529968,0.953117224463541,"ENSG00000001497","LAS1L","81887"
"ENPP4",15.0850194745979,-6.06437370048169,3.84807511032936,-1.57594992992812,0.115037342800405,0.459088192112101,"ENSG00000001561","ENPP4","22875"
"SEMA3F",39.0927804065213,-2.1272857934326,1.51156642650841,-1.40733860988594,0.159327005602503,0.535721304830874,"ENSG00000001617","SEMA3F","6405"
"ANKIB1",7228.44773036192,0.80635398888882,0.939753877474802,0.858048057280233,0.390865927496781,0.767320638211958,"ENSG00000001629","ANKIB1","54467"
"CYP51A1",19554.4563903956,0.599839730006637,1.25930431368468,0.476326272758907,0.633841950787827,0.88787544463842,"ENSG00000001630","CYP51A1","1595"
"KRIT1",1711.15407968523,1.52450526904904,0.795114257689905,1.91734112966139,0.05519460794975,0.325506553347516,"ENSG00000001631","KRIT1","889"
"RAD52",565.16718812917,0.338650758863508,0.983506672120675,0.344329904883407,0.730598196914569,0.927964465310853,"ENSG00000002016","RAD52","5893"
"BAD",2300.12629520374,-1.40273169255369,1.26740834192332,-1.10677170581426,0.268392644186936,0.669566560720444,"ENSG00000002330","BAD","572"
"LAP3",4086.04805665022,0.486927178295222,0.959424959367247,0.507519815428146,0.61179013642678,0.879254164895878,"ENSG00000002549","LAP3","51056"
"CD99",14511.9822030106,-0.456239355420157,1.0019934493174,-0.455331674803826,0.648870641902684,0.894654975956731,"ENSG00000002586","CD99","4267"
"HS3ST1",1158.36660492669,2.4720545089821,1.56662726687514,1.57794681686663,0.114577828287996,0.458311313151984,"ENSG00000002587","HS3ST1","9957"
"WNT16",41.3595712651703,-4.30164669313366,2.28429550732669,-1.8831393220958,0.0596814895034455,0.336569977425064,"ENSG00000002745","WNT16","51384"
"HECW1",20.8226117043141,0.722188291004934,1.81384784869339,0.398152629794811,0.690517681427649,0.912606547543012,"ENSG00000002746","HECW1","23072"
"MAD1L1",1885.82052534912,-1.18162459186267,0.869800052541937,-1.35850140317817,0.174304637643291,0.556142321555979,"ENSG00000002822","MAD1L1","8379"
"LASP1",9396.00766607355,-0.253383410839866,1.06747223582925,-0.237367682582422,0.812371558916839,0.956717823703453,"ENSG00000002834","LASP1","3927"
