,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pi-value (see paper),ENsembl,GeneID,EntrezID
MLLT3,734.447087,-23.70065056,3.23581309,-7.32448071,2.40E-13,4.80E-09,-1.97E+02,ENSG00000171843,MLLT3,4300
FOCAD,997.6624249,-23.70287106,3.400564019,-6.970276379,3.16E-12,3.17E-08,-1.78E+02,ENSG00000188352,FOCAD,54914
SNORA74A,808.9371518,-24.21675757,3.648369547,-6.637693154,3.19E-11,1.28E-07,-1.67E+02,ENSG00000200959,SNORA74A,26821
TGM2,1340.936544,-24.57490031,3.76453838,-6.527998344,6.67E-11,2.22E-07,-1.64E+02,ENSG00000198959,TGM2,7052
TFAP2C,1732.601005,-22.28233716,3.549507876,-6.277584931,3.44E-10,8.61E-07,-1.35E+02,ENSG00000087510,TFAP2C,7022
CDH13-AS2,404.0087662,-23.04559785,3.760899667,-6.127682174,8.92E-10,1.70E-06,-1.33E+02,ENSG00000260228,CDH13-AS2,102724163
SNORA80D,358.0319742,-23.10229165,3.794171367,-6.088889882,1.14E-09,1.90E-06,-1.32E+02,ENSG00000207217,SNORA80D,109616999
H3C8,237.1007423,-22.38959562,3.65843297,-6.119996129,9.36E-10,1.70E-06,-1.29E+02,ENSG00000273983,H3C8,8355
RNVU1-7,180257.8967,-30,5.648977429,-5.310695675,1.09E-07,6.83E-05,-1.25E+02,ENSG00000206585,RNVU1-7,26864
H2AC21,182.6311396,-22.12804758,3.804271467,-5.816632112,6.00E-09,8.59E-06,-1.12E+02,ENSG00000184270,H2AC21,317772
SNORA63,14357.79692,-28.71670626,5.648979907,-5.083520695,3.71E-07,0.000195196,-1.07E+02,ENSG00000200320,SNORA63,6043
RNU11,114.9610897,-21.42895459,3.747735191,-5.717841176,1.08E-08,1.28E-05,-1.05E+02,ENSG00000274978,RNU11,26824
CH25H,433.41733,-21.0404404,3.668646855,-5.735204621,9.74E-09,1.28E-05,-1.03E+02,ENSG00000138135,CH25H,9023
SNORA48,6261.554231,-27.9787836,5.648983372,-4.952888291,7.31E-07,0.000348538,-9.67E+01,ENSG00000209582,SNORA48,652965
NAMPTP1,250.5811791,-20.47456235,3.724473629,-5.497303616,3.86E-08,3.39E-05,-9.15E+01,ENSG00000229644,NAMPTP1,646309
SEMA3C,446.7845382,-19.94317519,3.582131552,-5.567404462,2.59E-08,2.72E-05,-9.10E+01,ENSG00000075223,SEMA3C,10512
LNCAROD,63.41091713,-20.38944412,3.734875895,-5.459202578,4.78E-08,3.74E-05,-9.03E+01,ENSG00000231131,LNCAROD,101928687
CDKN2A,2861.493627,-26.99534516,5.648990753,-4.778790822,1.76E-06,0.0006194,-8.66E+01,ENSG00000147889,CDKN2A,1029
SNORD10,2277.109711,-26.80560445,5.648994121,-4.745199565,2.08E-06,0.000682364,-8.49E+01,ENSG00000238917,SNORD10,652966
SCARNA13,2459.185626,-26.68017187,5.64899287,-4.722996203,2.32E-06,0.0007385,-8.36E+01,ENSG00000252481,SCARNA13,677768
SLC6A15,318.6425647,-19.10464768,3.534113676,-5.405781883,6.45E-08,4.45E-05,-8.31E+01,ENSG00000072041,SLC6A15,55117
DAB2,984.0571355,-18.39369721,3.408894969,-5.395794644,6.82E-08,4.55E-05,-7.99E+01,ENSG00000153071,DAB2,1601
SNORA10,2119.907555,-26.15739939,5.648995374,-4.630451551,3.65E-06,0.000919181,-7.94E+01,ENSG00000206811,SNORA10,574042
SNORA71A,1655.26574,-26.13510196,5.649000467,-4.62650023,3.72E-06,0.000919181,-7.94E+01,ENSG00000225091,SNORA71A,26777
SCARNA12,1704.018307,-26.0115251,5.648999803,-4.604624891,4.13E-06,0.000984817,-7.82E+01,ENSG00000238795,SCARNA12,677777
SNORD13,1704.018307,-26.01152503,5.648999803,-4.604624879,4.13E-06,0.000984817,-7.82E+01,ENSG00000239039,SNORD13,692084
SNORA8,1706.339858,-25.99242937,5.648999772,-4.601244542,4.20E-06,0.000989162,-7.81E+01,ENSG00000207304,SNORA8,654320
SNORA67,1478.164577,-25.91451974,5.649003252,-4.58744996,4.49E-06,0.001030084,-7.74E+01,ENSG00000277985,SNORA67,26781
CDKN2B,1346.482489,-25.90382155,5.649005797,-4.585554075,4.53E-06,0.001030084,-7.74E+01,ENSG00000147883,CDKN2B,1030
SNORD33,1250.652596,-25.68974341,5.649007986,-4.547655707,5.42E-06,0.001180457,-7.52E+01,ENSG00000199631,SNORD33,26818
