__mclCluster,EnrichmentMap::Colouring (Dataset 1),EnrichmentMap::ES (Dataset 1),EnrichmentMap::fdr_qvalue (Dataset 1),EnrichmentMap::fwer_qvalue (Dataset 1),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (Dataset 1),EnrichmentMap::pvalue (Dataset 1),name,selected,shared name
2,1,0.5267,0.0041,0.058,SPEF1|CLUAP1|KIF3A|KIF3B|IFT122|IFT46|SUFU|WDR19|KIFAP3|CYLD|IFT43|IFT74|IFT140|IFT172|IFT27|IFT52|TTC21B|IFT80|KIF3C|DYNLL1|KIF7|CILK1|WDR35|CDKL5|ODAD3|GLI1|DYNLL2|IFT81|DYNLRB1|ULK3|TRAF3IP1|IFT56|IFT20|SMO|IFT22|IFT88|GLI3|IFT70B|ARMC9|IFT25|DYNC2H1|DYNC2I1|DYNC2I2|GLI2|IFT57|DYNC2LI1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_CILIARY_TIP,46,ENR,GOCC_CILIARY_TIP,2.2402,0,GOCC_CILIARY_TIP,FALSE,GOCC_CILIARY_TIP
1,1,0.4687,0.0922,1,UBE2I|NSFL1C|ANKLE2|CHMP2A|CHMP4B|CHMP4C|BANF1|CHMP7|BROX|SIRT2|UBXN2B|REEP3|REEP4|VPS4A|VPS4B|UBXN2A|SPAST|CHMP1A|CHMP1B|CHMP2B|CHMP3|CHMP4A|CHMP5|CHMP6|RCC1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEAR_MEMBRANE_REASSEMBLY,25,ENR,GOBP_NUCLEAR_MEMBRANE_REASSEMBLY,1.7359,0,GOBP_NUCLEAR_MEMBRANE_REASSEMBLY,FALSE,GOBP_NUCLEAR_MEMBRANE_REASSEMBLY
11,-1,-0.5416,0.0109,0.328,ACTB|ACTL6A|H3-3B|H4C3|MACROH2A1|SPHK2|KAT6A|KAT6B|CENPA|H3-3A|H4C5|H4C9|H1-0|H1-10|H1-2|RUVBL2|H1-3|H1-4|H2AC11|H2AC12|H2AC13|H2AC15|H2AC16|H2AC17|H2AC18|H2AC19|SHPRH|H2AC20|H2AC21|H2AC25|H2AC4|H2AC6|H2AC7|TGM2|H2AC8|H2AJ|H2AZ1|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC18|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H2BW2|KAT5|H3-7|H3C1|H3C10|H3C11|H3C12|H3C13|YEATS4|H3C14|H3C2|H3C3|H3C4|H3C6|RUVBL1|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C4|H4C8|DMAP1|SRCAP|ACTR6|EP400|EPC2|GLYR1|H1-5|HP1BP3|ING3|KDM1B|MBTD1|MEAF6|MORF4L1|MORF4L2|MPHOSPH8|MRGBP|SLF1|VPS72|ZNHIT1|EPC1|TRRAP|BRD8|H2AX|MACROH2A2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_NUCLEOSOME,105,ENR,GOCC_NUCLEOSOME,-1.9261,0,GOCC_NUCLEOSOME,FALSE,GOCC_NUCLEOSOME
2,1,0.5315,0.0924,1,DNALI1|SPAG1|DNAAF10|ZMYND10|RUVBL1|STIP1|DNAI4|DNAAF11|RUVBL2|DNAAF2|DNAAF5|NME9|DNAAF3|WDR18|DNAAF4|HSP90AB1|DYNLT2B,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_DYNEIN_AXONEMAL_PARTICLE,17,ENR,GOCC_DYNEIN_AXONEMAL_PARTICLE,1.7384,0,GOCC_DYNEIN_AXONEMAL_PARTICLE,FALSE,GOCC_DYNEIN_AXONEMAL_PARTICLE
2,1,0.3062,0.0497,0.949,B9D2|RFX4|CELSR2|NISCH|CBY1|CC2D2A|DNAAF10|IFT46|ARL6|NOTCH1|ABCC4|AKT1|CEP290|GALNT11|CEP41|CEP78|BBS2|CFAP70|BBS5|DNAI4|BBS7|IFT140|IFT172|IFT27|IFT52|DZIP1L|IFT80|CPLANE1|BLOC1S6|IQCB1|IQCG|SPATA6|EHD2|UNC119B|AURKA|ODF2|NEK1|CEP120|CEP19|CEP83|DCX|PCNT|DNHD1|RAB8A|LPAR1|PRICKLE1|PLK4|ENTR1|PTPN23|CFAP20|CFAP58|RAB23|CROCC|OFD1|CSNK1D|LAMA5|RILPL1|SPEF1|TTC39C|RAB8B|DCTN1|SCLT1|SDCCAG8|ONECUT1|ONECUT2|PPP1R35|CCDC57|CEP70|DTNBP1|CYLD|HYLS1|IFT74|POC1A|ENKD1|TTC21B|KIAA0586|RAB11FIP3|TTC8|EXOC5|KIAA0753|CEP350|LRGUK|FBF1|RPGR|WDPCP|WDR35|CCNO|MCIDAS|CDC14A|TAPT1|CDC14B|TCHP|FNBP1L|EHD3|GBF1|FAM149B1|GDI2|HAP1|HDAC6|CDK10|CIMAP3|MKS1|ATXN10|DNAH1|HTT|ARHGAP35|FAM161A|CFAP410|VDAC3|GSN|CNTROB|KIF3A|CEP164|KIF3B|CENPJ|FHDC1|KIFAP3|OCRL|SEPTIN6|WRAP73|PFN4|LIMK2|TBC1D32|CFAP53|NUDCD3|CLXN|DNAAF5|CEP20|ODAD4|TEKT2|RP2|DNALI1|CFAP46|CEP128|NEDD9|CEP131|DZIP1|MAP4|MAPRE1|TRAF3IP1|RPGRIP1L|TUB|MKKS|JHY|RSPH4A|RSPH9|RABEP2|RAB3IP|NECTIN2|KCTD17|USP9X|DCDC2|NHERF1|ASAP1|KCNF1|DNMBP|KCNJ10|SSX2IP|TCTN1|TCTN2|TCTN3|PCM1|PIERCE1|PIERCE2|TMEM107|LCA5|PIBF1|TMEM138|TMEM216|TMEM231|TMEM237|FOXJ1|PLA2G3|TMEM67|TOGARAM1|ATG3|TXNDC15|ADAMTS16|CDKL1|ERICH3|RAB17|ATG5|RAB1A|CEP162|EHD1|TBC1D2B|FAM161B|TBC1D7|IFT70A|ATP6V0D1|IFT70B|RTTN|CFAP44|MNS1|NPHP3|ATP6V1D|TTC17|TPGS1|CFAP69|TTLL1|CCP110|TTLL3|KIF24|MPHOSPH9|ODF2L|SNAP29|ODAD1|CCDC65|CFAP298|CEP135|DNAAF11|DNAAF2|CFAP126|DNAAF3|DNAAF4|TTBK2|ARMC2|DNAH5|CFAP91|CILK1|DNAL1|DRC1|MACIR|CPLANE2|GAS8|HYDIN|NME5|SEPTIN7|LCA5L|ODAD3|SPAG1|SPEF2|TTC12|ZMYND10|SYNE2|WDR90|IFT56|IFT20|IFT88|ARF4|TBC1D31|RABGAP1|TESK1|TBC1D19|GSK3B|EVI5|EVI5L|IFT25|IFT57|MAK|TBC1D1|TBC1D10B|TBC1D13|TBC1D15|TBC1D16|TBC1D17|TBC1D2|TBC1D22A|TBC1D22B|TBC1D3|TBC1D30|TMEM80|INTU|ATMIN|DNAH17|SEPTIN9|DNAH2|TBC1D9B|IFT43|USP6NL|DNAH7|PKD2|RILP|PARVA|RILPL2|UBE2B|IQUB|TBC1D20|KIF27|DYNLL1|SPACA9|WDR11|SNX10|WDR54|ABLIM3|RFX3|IFT22|RAB11A|CFAP43|CFAP61|RABL2B|TTC21A|NEURL1|PTPDC1|RFX2|FUZ|RRP7A|CCDC66|CEP250|E2F4|TBC1D8|ALPK1|CLCN4|EHD4|SSNA1|TBC1D14|TBC1D5|CEP89|ATAT1|BBOF1|CDKL5|MARK4|CCDC146|TRIM32|CFAP157|CFAP54|STK36|CFAP97D1|TBC1D10A|ARMC12|SPAG16|CEP126|TMEM250|FLNA|IFT81|DISC1|TMEM17|WDR44|TBC1D24|SGSM3|FBXW8|TRAPPC14|CCDC103|CCDC39|CCDC40|CLUAP1|DUSP23|ACTR2|IFT122|WDR19|ACTR3|VANGL2|WWTR1|RAB34|YAP1|BBIP1|BBS1|BBS10|ABLIM1|BBS12|BBS4|BBS9|C2CD3|CCDC28B|CEP97|AVIL|CCDC32|RO60|MARCHF7|CIBAR1|AHI1|CCDC88A|ARL13B|ARL3|ARMC9|GORAB|POC1B|DYNC2H1|DYNC2I1|DYNC2I2|SEPTIN2|DYNC2LI1|B9D1|DYNLT2B,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CILIUM_ORGANIZATION,374,ENR,GOBP_CILIUM_ORGANIZATION,1.8655,0,GOBP_CILIUM_ORGANIZATION,FALSE,GOBP_CILIUM_ORGANIZATION
6,1,0.4329,0.063,0.983,NDUFA2|NDUFB7|NDUFB8|NDUFS1|DLD|NDUFS2|NDUFS3|NDUFS7|NDUFB10|NDUFC2-KCTD14|NDUFS8|ISCU|NDUFA3|NDUFA5|NDUFA4|NDUFB1|NDUFA1|NDUFB2|NDUFB3|NDUFS4|NDUFB4|NDUFB5|NDUFB6|NDUFC1|NDUFS5|NDUFS6|NDUFV1|NDUFV3|NDUFA6|PARK7|DNAJC15|PINK1|NDUFV2|NDUFB9|COQ9|NDUFA8|NDUFC2|NDUFA10|NDUFA7|NDUFA9|NDUFAB1|NDUFAF1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,42,ENR,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,1.8181,0,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,FALSE,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE
1,1,0.4316,0.0195,0.45,CAPN6|KIF18A|TUBG1|TUBG2|CENPE|KIF3A|KIF3B|KLHL22|SKA1|KIFAP3|SKA2|KNTC1|SKA3|AURKC|CHMP2A|CHMP4B|CHMP4C|CHMP7|KIF11|CLASP1|KIF18B|CLASP2|HAUS1|HAUS2|HAUS3|KIF2A|HAUS4|KIF4A|HAUS5|HAUS6|HAUS7|HAUS8|BOD1|POLB|RMDN2|CLTC|CUL3|MAP1S|MAP9|MAPRE1|AURKA|AURKB|CEP295|CHMP1A|CHMP1B|CHMP2B|CHMP3|CHMP4A|CHMP5|CHMP6|RMDN3|FAM110A|CSNK1D|CALM1|CALM2|CALM3|BBLN|NUMA1|CCDC57|DYNLT3|PAFAH1B1|TUBGCP3|MTCL1|PRC1|EML3|TTL|PLK1|KLHL21|CCSAP|PSRC1|RAB11A|ZW10|ZWILCH|CDK1|HNRNPU|PARP4|RMDN1|ARL3|MAPRE3|FAM161A,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_SPINDLE_MICROTUBULE,80,ENR,GOCC_SPINDLE_MICROTUBULE,2.0445,0,GOCC_SPINDLE_MICROTUBULE,FALSE,GOCC_SPINDLE_MICROTUBULE
4,1,0.452,0.0359,0.795,EIF5B|AGO2|EIF1AD|EIF2B3|EIF2S1|DENR|MTIF3|EIF1AX|EIF2D|EIF2S2|EIF2S3|EIF2S3B|EIF3A|EIF3CL|EIF3F|EIF3G|EIF3I|EIF3J|EIF3L|EIF3M|EIF2B1|COPS5|EIF4E|EIF4G1|EIF6|EIF4A1|DHX29|EIF1|EIF1B|EIF2A|EIF2B2|EIF2B4|EIF2B5|MTIF2|EIF3B|EIF3C|EIF3D|EIF3E|MCTS1|EIF3H|EIF3K|EIF4A2|EIF4B|EIF4E2|EIF4E3|EIF1AY|EIF4G2|EIF4G3|EIF4H|EIF5,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,50,ENR,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,1.9425,0,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,FALSE,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY
,-0.9989,-0.5619,0.0239,0.616,IL20RA|IL6ST|CCR1|IL20RB|IL21R|IL22RA1|IL27RA|IL7R|OSMR|PRLR|IL31RA|LIFR|IFNGR1|FZD4|GHR|IL17RD|LEPR|CCR4|IL10RA|F3|IFNLR1|IL6R|IL15RA|ACKR3|ACKR4|CCR10|CD4|CD44|CD74|CMKLR1|CNTFR|CRLF1|CSF2RA|CXCR4|EPOR|GFRA1|GFRA2|GPR35|GPR75|IFNAR1|IFNAR2|IFNGR2|IL10RB|IL12RB1|IL12RB2|IL13RA1|IL17RA|IL17RB|IL17RC|IL17RE|IL13RA2|IL18R1|IL1R1|IL4R|IL1R2|IL1RAP|IL1RAPL2|IL11RA|IL1RL1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_CYTOKINE_RECEPTOR_ACTIVITY,59,ENR,GOMF_CYTOKINE_RECEPTOR_ACTIVITY,-1.8792,0.0011,GOMF_CYTOKINE_RECEPTOR_ACTIVITY,FALSE,GOMF_CYTOKINE_RECEPTOR_ACTIVITY
1,1,0.3868,0.0096,0.213,ACTB|ACTL6A|ACTL6B|NSMCE1|H3-3B|ANAPC1|ANAPC11|ANAPC15|ANAPC2|ANAPC4|BECN1|ANAPC5|ANAPC7|SLF2|APC|ARID1A|ARID1B|ARID2|XRN1|LIG4|ATM|ATR|SMG6|AURKB|GNL3|SMG5|TASOR|ZNF304|BCL7A|BCL7B|BCL7C|BIRC5|POT1|NCAPD2|NCAPD3|NCAPG|BRD7|NCAPG2|NCAPH|NCAPH2|RESF1|SETDB1|BUB1|BUB1B|HNRNPA2B1|BUB3|CTNNB1|MAP3K4|CCNB1|STN1|RNF4|RUVBL2|USP7|NEK7|CDC16|SLX4|CDC20|SMARCA5|CDC23|SMC2|SMC4|CDC27|SIRT6|CDC6|MAPK1|CDCA8|CDK1|HNRNPU|CDK2|CDK5RAP2|KAT2B|KAT5|TOP2A|NAA10|XRCC1|CENPE|CENPF|SMG1|WAPL|SLX1B|TCP1|CHFR|CTC1|CENPV|CUL3|AXIN2|MAPT|ACTR5|MCPH1|TRIM28|DLGAP5|HNRNPA1|DPF1|DPF2|DPF3|DUSP1|DYNC1LI1|NEK2|EXOSC10|MORC2|MAP2K7|NUMA1|ESPL1|GCH1|MCRS1|ATF7IP|DCP2|GNL3L|FBXO4|FBXO5|TINF2|DHX36|PNKP|PINX1|GEN1|FEN1|HASPIN|HECW2|IK|INCENP|PPHLN1|INO80|PRKCQ|KLHL22|ATRX|KNL1|KNTC1|LCMT1|MACROH2A1|MAD1L1|MAD2L1|MAD2L1BP|MAD2L2|MAP3K20|PARP1|CTCF|MRE11|UCHL5|MYC|HNRNPC|HNRNPD|NABP2|TERF1|NBN|NDC80|NEK6|NFRKB|ERCC1|MAPK3|NSMCE2|NUF2|RTEL1|TRAPPC12|H3-3A|PBRM1|HDAC8|PCID2|PHF10|MAPKAPK5|PLK1|PML|PPP1R10|ACD|PSMG2|TNKS|TNKS2|NAF1|NAT10|RAD21|RAD50|EID3|RB1|NSMCE4A|ACTR8|INO80B|INO80C|INO80D|INO80E|RIOK2|YLPM1|CCT2|SRC|CCT3|RUVBL1|CCT4|CCT5|CCT6A|CCT7|SENP6|CCT8|PARN|SETMAR|DKC1|SMARCA2|SMARCA4|SMARCB1|SMARCC1|SMARCC2|SMARCD1|SMARCD2|SMARCD3|SMARCE1|SMC5|SPC24|SPC25|SPDL1|TFPT|SUB1|TACC3|TERF2IP|PKIB|TEX14|MPHOSPH8|SLF1|TP53|SETDB2|TPR|NSMCE3|YY1|HMBOX1|BAZ1B|TRIP13|TTK|UBE2C|SMC6|UPF1|XRCC5|XRCC3|PIF1|ZNF207|ZW10|ZWILCH|ZWINT|DDX11|RMI2|TENT4B|TEN1|ERCC4|TERF2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,239,ENR,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,2.1258,0,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,FALSE,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION
