"__mclCluster","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
"1","0.9852","0.4633","0.0453","0.663","EXO1|DNA2|RMI1|RMI2|RTEL1|KAT5|WRN|BARD1|PALB2|RAD51AP1|RAD51D|XRCC2|XRCC3|ATM|SEM1|BLM|BRCA1|BRCA2|MRE11|NBN|RAD50|RAD51|RAD51C|RBBP8|RAD51B|TOP3A|BRIP1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","27","ENR","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","1.7311","0.0148","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",,,"false","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA"
,"-0.9987","-0.6792","0.0045","0.168","FUT9|RHCE|RHD|ST3GAL3|ST3GAL4|ST3GAL6|ST6GALNAC6|B3GALT1|B3GALT2|B3GALT4|B3GALT5|B4GALNT2|FUT1|FUT10|FUT11|FUT2|FUT3|FUT4|FUT5|FUT6","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS","20","ENR","REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS","-1.8605","0.0013","REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS",,,"false","REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS"
"1","-1.0","-0.51","0.0189","0.797","ATR|H2AC14|DIDO1|H2AC18|H2AC19|HSPA2|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|REC8|H2BC10|STAG3|H2BC11|SUN1|H2BC12|SUN2|H2BC13|SYCE2|H2BC14|SYCP2|H2BC15|SYNE1|H2BC17|SYNE2|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|RAD21|BRCA1|H4C1|H4C11|H4C12|H4C13|H4C14|SMC1A|H4C16|H4C2|SMC3|H4C3|H4C4|H4C5|H4C8|H4C9|STAG1|STAG2|LMNA|LMNB1|UBE2I|ACD|POT1|TERF1|TERF2|TERF2IP|TINF2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOTIC_SYNAPSIS","65","ENR","REACTOME_MEIOTIC_SYNAPSIS","-1.7236","0.0","REACTOME_MEIOTIC_SYNAPSIS",,,"false","REACTOME_MEIOTIC_SYNAPSIS"
"1","-1.0","-0.4364","0.0785","1.0","ACTB|H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|RBBP7|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|EP400|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|CREBBP|H2AC11|H2AC12|H2AC13|H2AC15|H2AC16|H2AC17|H2AC21|H2AC25|H2BC18|EP300|WDR5|ATF2|ATXN7|ATXN7L3|BRD1|ACTL6A|BRD8|BRPF1|BRPF3|CLOCK|DMAP1|DR1|ELP1|ELP2|ELP3|ELP4|ELP5|ELP6|ENY2|EPC1|HAT1|HCFC1|ING3|ING4|ING5|JADE1|JADE2|JADE3|KANSL1|KANSL2|KANSL3|KAT14|KAT6A|KAT6B|KAT7|KAT8|MBIP|MCRS1|MEAF6|MORF4L1|MORF4L2|MRGBP|MSL1|MSL2|MSL3|NCOA1|OGT|PAX3|PHF20|RUVBL2|SAP130|SGF29|SUPT20H|SUPT3H|SUPT7L|TADA1|TADA2A|TADA2B|TADA3|TAF10|KAT2A|TAF12|KAT2B|TAF5L|TAF6L|TAF9|USP22|VPS72|YEATS2|YEATS4|ZZZ3|KAT5|RUVBL1|TRRAP|NCOA2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HATS_ACETYLATE_HISTONES","137","ENR","REACTOME_HATS_ACETYLATE_HISTONES","-1.5758","0.0","REACTOME_HATS_ACETYLATE_HISTONES",,,"false","REACTOME_HATS_ACETYLATE_HISTONES"
"1","-1.0","-0.6254","0.0024","0.062","PSMD14|H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC11|H2AC6|H2AC12|H2AC7|H2AC13|H2AC8|H2AC15|H2AC16|ABRAXAS1|H2AC17|UBA52|ABRAXAS2|H2AC21|UBB|BABAM1|H2AC25|UBC|BABAM2|BARD1|BRCC3|MYSM1|NLRP3|STAM|EP300|STAMBP|STAMBPL1|UIMC1|RPS27A|BRCA1|KAT2B","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METALLOPROTEASE_DUBS","36","ENR","REACTOME_METALLOPROTEASE_DUBS","-1.9158","0.0","REACTOME_METALLOPROTEASE_DUBS",,,"false","REACTOME_METALLOPROTEASE_DUBS"
"1","-1.0","-0.6113","2.0E-4","0.003","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|KPNA1|H2BC12|KPNA6|H2BC13|ORC1|H2BC14|ORC2|H2BC15|ORC3|H2BC17|ORC4|H2BC21|ORC5|H2BC26|ORC6|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|KPNB1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","62","ENR","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","-2.0667","0.0","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",,,"false","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION"
"2","1.0","0.4436","0.0231","0.29","POLR2A|POLR2B|GTF2A1|POLR2C|GTF2A2|POLR2D|POLR2E|POLR2F|POLR2G|GTF2F1|POLR2H|GTF2F2|POLR2I|POLR2J|POLR2K|POLR2L|TAF1|TAF15|TAF2|TAF3|TAF4|TAF4B|TAF7|TAF11|TAF13|TAF5|TBP|TAF6|TAF9B|CCNH|CDK7|ERCC2|ERCC3|TAF10|GTF2H1|TAF12|GTF2H2|GTF2H3|GTF2H4|TAF9|GTF2B|GTF2H5|GTF2E1|MNAT1|GTF2E2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIV_TRANSCRIPTION_INITIATION","45","ENR","REACTOME_HIV_TRANSCRIPTION_INITIATION","1.8829","0.0","REACTOME_HIV_TRANSCRIPTION_INITIATION",,,"false","REACTOME_HIV_TRANSCRIPTION_INITIATION"
"1","1.0","0.3115","0.0611","0.856","FBXO5|TFDP1|TFDP2|AKT1|AKT2|AKT3|PCNA|RBBP4|ABL1|ORC1|PPP2CA|ORC2|POLE|PPP2CB|ORC3|POLE2|PPP2R1A|CCNA1|ORC4|POLE3|PPP2R1B|CCNA2|ORC5|POLE4|CCNE1|ORC6|CCNE2|MYBL2|CDK6|CDKN2B|CDKN2C|CDKN2D|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|CDKN1C|PSMA6|CKS1B|PSMA7|E2F4|PSMB1|CCNH|E2F5|PSMB10|CDK7|PPP2R3B|PSMB2|PSMB3|RBL1|CCNB1|PSMB4|RBL2|PSMB5|TK1|PSMB6|PSMB7|CDC45|CDKN1A|PSMB8|CDC6|CDKN1B|PSMB9|RPA1|CDC7|MNAT1|PSMC1|RPA2|CDT1|PSMC2|RPA3|DBF4|PSMC3|GMNN|PSMC4|MCM10|PSMC5|MCM2|PSMC6|MCM3|PSMD1|MCM4|PSMD10|MCM5|PSMD11|MCM6|PSMD12|MCM7|PSMD13|MCM8|PSMD14|PSMD2|PSMD3|WEE1|PSMD4|PSMD5|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|RRM2|SKP2|PSME2|PSME3|TYMS|PSMF1|CCND2|CCND3|RB1|E2F3|RPS27A|SEM1|SKP1|DYRK1A|E2F6|LIN37|TOP2A|LIN52|LIN54|LIN9|MAX|SRC|CCND1|PTK6|HDAC1|UBA52|UBB|UBC|PPP2R2A|JAK2|DHFR|CDC25A|CDKN2A|CDK1|POLA1|POLA2|LYN|PRIM1|PRIM2|MYC|CABLES1|CDK2|CDK4|E2F1|E2F2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION","148","ENR","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION","1.6431","0.0","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",,,"false","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"
"2","1.0","0.4288","0.0175","0.182","SRSF1|SRSF2|PCF11|SRSF6|SRSF7|CDC40|CHTOP|DDX39A|DHX38|FYTTD1|CLP1|CPSF1|POLDIP3|CPSF4|SARNP|CPSF7|CSTF2|SLU7|DDX39B|SRSF11|SRSF3|SRSF4|CASC3|SRSF5|SRSF9|MAGOH|THOC1|MAGOHB|THOC2|THOC3|THOC6|RBM8A|THOC7|RNPS1|U2AF1|U2AF1L4|ZC3H11A|UPF3B|THOC5|ALYREF|SLBP|CPSF2|CPSF3|CPSF6|SYMPK|SRRM1|WDR33|SNRPB|SNRPD3|SNRPE|SNRPF|SNRPG|U2AF2|NCBP1|EIF4A3|NCBP2|CSTF1|CSTF2T|CSTF3|PABPN1|NUDT21|PAPOLA|LSM10|LSM11|ZNF473|FIP1L1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION","66","ENR","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION","1.9429","0.0","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",,,"false","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION"
"6","1.0","0.3606","0.0355","0.513","NDUFAB1|CMC1|COA1|COA3|COA5|COQ10A|COQ10B|COX11|COX14|COX16|COX18|COX20|HIGD2A|PET100|PET117|PNKD|RAB5IF|SCO1|SMIM20|SURF1|TACO1|TMEM177|TMEM223|NDUFC2|CYCS|LETM1|NDUFA5|NDUFS3|SDHA|ETFB|SDHB|SDHC|SDHD|OXA1L|COX4I1|COX5A|COX5B|COX6A1|COX6B1|SCO2|COX6B2|COX6C|COX7A2|COX7A2L|COX7B|BCS1L|COX7C|COX8A|NDUFA4|COX17|COX19|COX15|CYC1|GOT1|GOT2|FXN|HSCB|NDUFB8|SLC25A12|SLC25A13|TIMM21|HSPA9|ACAD9|DMAC1|DMAC2|ETFA|ETFDH|FOXRED1|HCCS|LYRM2|MDH1|NDUFA1|NDUFA10|NDUFA11|NDUFA12|ISCU|NDUFA3|HIGD1A|LYRM4|NDUFA6|LYRM7|NDUFA7|NDUFA8|TTC19|NDUFA9|UQCC1|NDUFAF1|UQCC2|NDUFAF2|UQCC3|NDUFAF3|UQCC5|NDUFAF4|UQCC6|NDUFAF5|UQCR10|NDUFAF6|UQCR11|NDUFAF7|NFS1|UQCRB|NDUFAF8|UQCRC1|NDUFB1|UQCRC2|MDH2|NDUFB10|UQCRFS1|NDUFA13|NDUFB11|UQCRH|NDUFA2|NDUFB2|UQCRQ|NDUFB3|NDUFB6|NDUFB4|NDUFS1|NDUFB5|NDUFV1|NDUFB7|NDUFV3|NDUFB9|NDUFC1|NDUFS2|NDUFS4|NDUFS5|NDUFS6|NDUFS7|NDUFS8|NDUFV2|NUBPL|ECSIT|PYURF|SFXN4|TIMMDC1|TMEM126A|SLC25A11|TMEM126B|SLC25A18|TMEM186|SLC25A22|TRAP1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","143","ENR","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","1.7858","0.0","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",,,"false","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT"
