NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL39	3612	0.758301317691803	-0.19334222	No	
row_1	NCR3LG1	4055	0.6673367023468018	-0.19775075	No	
row_2	MMP7	5669	0.37809428572654724	-0.2827688	No	
row_3	FAU	9082	-0.24218818545341492	-0.4812916	No	
row_4	PI3	9133	-0.2534293830394745	-0.47582823	No	
row_5	H2BC21	11333	-0.7696878910064697	-0.5832148	No	
row_6	NOD2	11792	-0.8821755647659302	-0.5813939	No	
row_7	H2BC12	12827	-1.2135350704193115	-0.6033541	Yes	
row_8	HLA-A	13046	-1.293232798576355	-0.5732254	Yes	
row_9	RNASE4	13091	-1.3072606325149536	-0.5320888	Yes	
row_10	SLPI	13532	-1.4687846899032593	-0.50952274	Yes	
row_11	TF	13567	-1.4861494302749634	-0.4617867	Yes	
row_12	H2BC11	13574	-1.4913228750228882	-0.41218156	Yes	
row_13	ANG	13623	-1.5155245065689087	-0.3643091	Yes	
row_14	HLA-E	13883	-1.6218687295913696	-0.32565206	Yes	
row_15	H2BC10	13921	-1.6341475248336792	-0.27313885	Yes	
row_16	PLA2G6	14047	-1.6943163871765137	-0.22393905	Yes	
row_17	H2BC7	14296	-1.8048152923583984	-0.17848599	Yes	
row_18	H2BC4	14509	-1.9068490266799927	-0.12743393	Yes	
row_19	H2BC6	14976	-2.1810669898986816	-0.08257664	Yes	
row_20	H2BC8	15434	-2.5153231620788574	-0.025974644	Yes	
row_21	SPON2	15715	-2.75984525680542	0.049539823	Yes	
