NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IKBKB	2136	1.1043617725372314	-0.1029839	No	
row_1	HFE	3322	0.8167975544929504	-0.15522556	No	
row_2	MR1	5193	0.4693233370780945	-0.25730607	No	
row_3	CLEC4A	6014	0.3167913556098938	-0.29940903	No	
row_4	ERAP2	6785	0.1807810515165329	-0.341741	No	
row_5	MFSD6	8417	-0.11489604413509369	-0.43783033	No	
row_6	MICA	8703	-0.1671980768442154	-0.4510956	No	
row_7	TAPBP	9007	-0.22593677043914795	-0.4640442	No	
row_8	B2M	9314	-0.29080986976623535	-0.47562012	No	
row_9	CALR	9540	-0.33646276593208313	-0.48119333	No	
row_10	ULBP1	9809	-0.3958486020565033	-0.4879494	No	
row_11	ERAP1	10615	-0.5860300660133362	-0.52269185	No	
row_12	TAPBPL	11836	-0.8934492468833923	-0.57521784	Yes	
row_13	IDE	12093	-0.9687779545783997	-0.5675181	Yes	
row_14	LNPEP	12482	-1.0934906005859375	-0.5648295	Yes	
row_15	HLA-B	12604	-1.134015679359436	-0.54498905	Yes	
row_16	SAR1B	12683	-1.1626346111297607	-0.5218569	Yes	
row_17	HLA-A	13046	-1.293232798576355	-0.5128064	Yes	
row_18	HLA-C	13127	-1.3209000825881958	-0.4860031	Yes	
row_19	ACE	13198	-1.3493068218231201	-0.4579131	Yes	
row_20	ULBP3	13456	-1.440109133720398	-0.4389799	Yes	
row_21	HLA-F	13467	-1.447034239768982	-0.40491197	Yes	
row_22	RAET1L	13514	-1.4625380039215088	-0.37265423	Yes	
row_23	MICB	13559	-1.4818031787872314	-0.33981368	Yes	
row_24	HLA-E	13883	-1.6218687295913696	-0.3205249	Yes	
row_25	TAP2	14023	-1.6819369792938232	-0.28864592	Yes	
row_26	PDIA3	14451	-1.882195234298706	-0.26942185	Yes	
row_27	TAP1	14596	-1.953850507736206	-0.23133028	Yes	
row_28	RAET1G	14660	-1.9865694046020508	-0.1875459	Yes	
row_29	RAET1E	15662	-2.703488826751709	-0.18342768	Yes	
row_30	ULBP2	15762	-2.8123979568481445	-0.12203643	Yes	
row_31	IFI30	15985	-3.0911293029785156	-0.061420288	Yes	
row_32	ABCB9	16316	-3.9466474056243896	0.013150788	Yes	
