NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	1284	1.4128586053848267	-0.057348296	No	
row_1	PPP2R3C	1650	1.2739818096160889	-0.060959235	No	
row_2	RPL39	3612	0.758301317691803	-0.16890542	No	
row_3	NCR3LG1	4055	0.6673367023468018	-0.18601386	No	
row_4	RPL30	4653	0.5626874566078186	-0.21404897	No	
row_5	HMGN2	4680	0.5569554567337036	-0.20752363	No	
row_6	MMP7	5669	0.37809428572654724	-0.26196712	No	
row_7	CXCL11	7124	0.12351564317941666	-0.34838763	No	
row_8	CX3CL1	7798	-0.0026042070239782333	-0.38918215	No	
row_9	RPS19	8109	-0.05613896623253822	-0.4071738	No	
row_10	REG1A	8752	-0.1759769469499588	-0.44356522	No	
row_11	FAU	9082	-0.24218818545341492	-0.46000293	No	
row_12	PI3	9133	-0.2534293830394745	-0.45934954	No	
row_13	GAPDH	9789	-0.3916291892528534	-0.4933923	No	
row_14	CCL25	10201	-0.48749834299087524	-0.51123625	No	
row_15	ROMO1	10323	-0.5155287384986877	-0.51107746	No	
row_16	LEAP2	11131	-0.7127124071121216	-0.5496711	No	
row_17	H2BC21	11333	-0.7696878910064697	-0.5506685	No	
row_18	SLC11A1	11743	-0.8684921860694885	-0.5628482	Yes	
row_19	NOD2	11792	-0.8821755647659302	-0.55292624	Yes	
row_20	CXCL14	11911	-0.9123492240905762	-0.5468123	Yes	
row_21	CXCL2	12265	-1.0212814807891846	-0.55337155	Yes	
row_22	CXCL10	12488	-1.0956870317459106	-0.5509003	Yes	
row_23	LYZ	12587	-1.1257003545761108	-0.540469	Yes	
row_24	H2BC12	12827	-1.2135350704193115	-0.53731465	Yes	
row_25	HLA-A	13046	-1.293232798576355	-0.53172666	Yes	
row_26	RNASE4	13091	-1.3072606325149536	-0.5153777	Yes	
row_27	PRTN3	13353	-1.405389666557312	-0.5107669	Yes	
row_28	GATA6	13464	-1.4458123445510864	-0.49640658	Yes	
row_29	SLPI	13532	-1.4687846899032593	-0.47910312	Yes	
row_30	TF	13567	-1.4861494302749634	-0.4595448	Yes	
row_31	H2BC11	13574	-1.4913228750228882	-0.43821245	Yes	
row_32	ANG	13623	-1.5155245065689087	-0.41907623	Yes	
row_33	CCL5	13737	-1.562638521194458	-0.40319824	Yes	
row_34	HLA-E	13883	-1.6218687295913696	-0.38840008	Yes	
row_35	H2BC10	13921	-1.6341475248336792	-0.36687067	Yes	
row_36	TSLP	13965	-1.6503850221633911	-0.3454691	Yes	
row_37	AZU1	14007	-1.6712738275527954	-0.32364222	Yes	
row_38	PLA2G6	14047	-1.6943163871765137	-0.30135882	Yes	
row_39	CXCL3	14197	-1.7707024812698364	-0.28463805	Yes	
row_40	H2BC7	14296	-1.8048152923583984	-0.2643267	Yes	
row_41	H2BC4	14509	-1.9068490266799927	-0.24944755	Yes	
row_42	FAM3A	14736	-2.028639078140259	-0.23364598	Yes	
row_43	H2BC6	14976	-2.1810669898986816	-0.21641554	Yes	
row_44	CCL22	15235	-2.3693110942840576	-0.19759923	Yes	
row_45	RARRES2	15334	-2.44437837600708	-0.16798325	Yes	
row_46	BCL3	15409	-2.503574848175049	-0.13604991	Yes	
row_47	H2BC8	15434	-2.5153231620788574	-0.10091205	Yes	
row_48	CCL26	15644	-2.6888186931610107	-0.07447447	Yes	
row_49	SPON2	15715	-2.75984525680542	-0.038570113	Yes	
row_50	CXCL8	15951	-3.0236406326293945	-0.008838873	Yes	
row_51	CCL24	15955	-3.030532121658325	0.03506859	Yes	
