NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.050489064	Yes	
row_1	CENPE	202	2.42108154296875	0.08826441	Yes	
row_2	CDC42	211	2.3867859840393066	0.1324963	Yes	
row_3	NDC80	326	2.090451955795288	0.16474462	Yes	
row_4	HNRNPU	588	1.7954435348510742	0.18254648	Yes	
row_5	NEK2	652	1.7499909400939941	0.21151061	Yes	
row_6	ECT2	845	1.6322773694992065	0.23044214	Yes	
row_7	KIF2C	974	1.5621235370635986	0.25194257	Yes	
row_8	SKA2	1008	1.5403611660003662	0.27879947	Yes	
row_9	CCNB1	1053	1.5094741582870483	0.30441028	Yes	
row_10	CHAMP1	1131	1.4690009355545044	0.32726052	Yes	
row_11	NUF2	1171	1.4562855958938599	0.3521782	Yes	
row_12	SIRT2	1274	1.4154616594314575	0.37250844	Yes	
row_13	RACGAP1	1378	1.3683065176010132	0.39189452	Yes	
row_14	RB1	1558	1.3027392625808716	0.40544084	Yes	
row_15	SKA1	1606	1.286055326461792	0.42668375	Yes	
row_16	SPC25	1898	1.1843401193618774	0.43121612	Yes	
row_17	RMDN1	2035	1.1378424167633057	0.44428208	Yes	
row_18	PMF1	2118	1.1084458827972412	0.46007377	Yes	
row_19	SPAG5	2185	1.088996171951294	0.4764719	Yes	
row_20	SGO1	2219	1.0787893533706665	0.49468112	Yes	
row_21	ZWILCH	2292	1.0569835901260376	0.5101154	Yes	
row_22	SPC24	2384	1.0339187383651733	0.52396476	Yes	
row_23	KNSTRN	2564	0.9930570125579834	0.531709	Yes	
row_24	BIRC5	2600	0.9832806587219238	0.5480075	Yes	
row_25	SKA3	2647	0.9690064191818237	0.56337106	Yes	
row_26	ZNF207	2712	0.9537450075149536	0.5773566	Yes	
row_27	APC	3099	0.867809534072876	0.5701944	Yes	
row_28	CDCA8	3127	0.86063551902771	0.5846805	Yes	
row_29	BECN1	3130	0.8597574830055237	0.600667	Yes	
row_30	KAT5	3405	0.801954448223114	0.5990667	Yes	
row_31	RCC2	3466	0.7885487675666809	0.61019987	Yes	
row_32	MAPRE1	4400	0.6074020862579346	0.5649691	No	
row_33	AURKB	4424	0.6027894020080566	0.57486707	No	
row_34	MIS12	5051	0.4940548539161682	0.54614025	No	
row_35	CDK1	5118	0.4838193953037262	0.55120015	No	
row_36	KNL1	5397	0.42742255330085754	0.54234016	No	
row_37	ZW10	5750	0.3625347912311554	0.52777445	No	
row_38	EML4	5774	0.35864222049713135	0.53309816	No	
row_39	CENPC	6033	0.3133346140384674	0.52331424	No	
row_40	BOD1	6397	0.24513818323612213	0.5058816	No	
row_41	NSL1	6713	0.19271734356880188	0.49037933	No	
row_42	SEH1L	7222	0.10639948397874832	0.4615494	No	
row_43	ABRAXAS1	7240	0.10323149710893631	0.462452	No	
row_44	INCENP	7753	0.006659762002527714	0.4315107	No	
row_45	DSN1	8391	-0.11175864189863205	0.39495394	No	
row_46	ABRAXAS2	9205	-0.2690552771091461	0.35066527	No	
row_47	BUB3	9611	-0.3521343469619751	0.33268887	No	
row_48	AURKC	10325	-0.5156696438789368	0.2990882	No	
row_49	KNTC1	10727	-0.6116480827331543	0.2862166	No	
row_50	TEX14	11244	-0.7439023852348328	0.2688451	No	
row_51	MAD1L1	13216	-1.3585014343261719	0.17470485	No	
row_52	CDT1	13384	-1.4142438173294067	0.19106834	No	
