NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAEL	73	2.9513609409332275	0.004377691	Yes	
row_1	KAT2B	76	2.940985918045044	0.013121745	Yes	
row_2	DLGAP5	111	2.7538352012634277	0.019319447	Yes	
row_3	SGO2	190	2.448385238647461	0.021870825	Yes	
row_4	CENPE	202	2.42108154296875	0.028489769	Yes	
row_5	CDC42	211	2.3867859840393066	0.035191115	Yes	
row_6	CEP63	263	2.2210304737091064	0.038729295	Yes	
row_7	KIF15	283	2.1850290298461914	0.04414096	Yes	
row_8	PRC1	323	2.0979630947113037	0.048051324	Yes	
row_9	NDC80	326	2.090451955795288	0.054230772	Yes	
row_10	CHMP3	328	2.0883076190948486	0.06046569	Yes	
row_11	BUB1	352	2.0493004322052	0.06522034	Yes	
row_12	CENPK	380	2.0168566703796387	0.06962941	Yes	
row_13	FBXO5	389	2.0054757595062256	0.07518099	Yes	
row_14	CDK5RAP2	392	1.9999853372573853	0.08108766	Yes	
row_15	BUB1B	407	1.9812971353530884	0.0861947	Yes	
row_16	NCAPD3	416	1.9728038311004639	0.091647774	Yes	
row_17	KIF18A	432	1.946377158164978	0.09658758	Yes	
row_18	TOP2A	437	1.9412966966629028	0.10219341	Yes	
row_19	BEX4	493	1.8885393142700195	0.10448128	Yes	
row_20	NCAPG2	534	1.8403966426849365	0.107553065	Yes	
row_21	HNRNPU	588	1.7954435348510742	0.1096841	Yes	
row_22	KIF2A	614	1.771934151649475	0.113478534	Yes	
row_23	TERF1	622	1.7654955387115479	0.11836845	Yes	
row_24	MAD2L1	637	1.7587370872497559	0.12280441	Yes	
row_25	TOP2B	639	1.758270502090454	0.12804417	Yes	
row_26	NEK2	652	1.7499909400939941	0.13257764	Yes	
row_27	NUSAP1	656	1.745894193649292	0.1376562	Yes	
row_28	SENP6	663	1.7415931224822998	0.14253598	Yes	
row_29	LSM14A	668	1.7378584146499634	0.14752838	Yes	
row_30	CENPQ	688	1.7256001234054565	0.15155473	Yes	
row_31	KIF14	761	1.6754482984542847	0.15214711	Yes	
row_32	CCDC61	794	1.6513019800186157	0.15514423	Yes	
row_33	SMC2	806	1.6461738348007202	0.1594266	Yes	
row_34	KIF4A	833	1.6369725465774536	0.16275215	Yes	
row_35	ECT2	845	1.6322773694992065	0.16699262	Yes	
row_36	BRD7	893	1.6005898714065552	0.16890775	Yes	
row_37	KIF4B	947	1.5750023126602173	0.17037408	Yes	
row_38	ACTR2	972	1.5621978044509888	0.17359804	Yes	
row_39	KIF2C	974	1.5621235370635986	0.17824636	Yes	
row_40	SKA2	1008	1.5403611660003662	0.18084702	Yes	
row_41	CHMP2B	1011	1.5384153127670288	0.1853619	Yes	
row_42	CCNB1	1053	1.5094741582870483	0.18737394	Yes	
