NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLGAP5	111	2.7538352012634277	0.036469575	Yes	
row_1	NDC80	326	2.090451955795288	0.056270786	Yes	
row_2	BUB1	352	2.0493004322052	0.08691001	Yes	
row_3	FBXO5	389	2.0054757595062256	0.11619316	Yes	
row_4	CDK5RAP2	392	1.9999853372573853	0.147456	Yes	
row_5	BUB1B	407	1.9812971353530884	0.17769648	Yes	
row_6	NCAPD3	416	1.9728038311004639	0.20816822	Yes	
row_7	NCAPG2	534	1.8403966426849365	0.22993928	Yes	
row_8	MAD2L1	637	1.7587370872497559	0.25134033	Yes	
row_9	SMC2	806	1.6461738348007202	0.2669648	Yes	
row_10	CCNB1	1053	1.5094741582870483	0.27570477	Yes	
row_11	SPDL1	1117	1.4752575159072876	0.29502702	Yes	
row_12	NUF2	1171	1.4562855958938599	0.31465918	Yes	
row_13	TTK	1206	1.4387962818145752	0.33517134	Yes	
row_14	CUL3	1273	1.417083501815796	0.35339844	Yes	
row_15	NCAPH	1515	1.3176079988479614	0.35943142	Yes	
row_16	RB1	1558	1.3027392625808716	0.37732244	Yes	
row_17	CDC16	1660	1.2684545516967773	0.39109057	Yes	
row_18	SPC25	1898	1.1843401193618774	0.39527532	Yes	
row_19	RAD21	2266	1.0654878616333008	0.3896961	Yes	
row_20	ZWILCH	2292	1.0569835901260376	0.40476358	Yes	
row_21	SPC24	2384	1.0339187383651733	0.41545892	Yes	
row_22	BIRC5	2600	0.9832806587219238	0.41782528	Yes	
row_23	ZNF207	2712	0.9537450075149536	0.4260473	Yes	
row_24	CENPF	2724	0.9507784247398376	0.44029886	Yes	
row_25	CDC23	3040	0.8818792104721069	0.43499795	Yes	
row_26	APC	3099	0.867809534072876	0.44509175	Yes	
row_27	CDCA8	3127	0.86063551902771	0.45695657	Yes	
row_28	NCAPG	3170	0.851695716381073	0.46776968	Yes	
row_29	NSMCE2	3251	0.8317928314208984	0.47596157	Yes	
row_30	ANAPC7	3330	0.8150379061698914	0.48401204	Yes	
row_31	DYNC1LI1	3454	0.7912907004356384	0.48895565	Yes	
row_32	LCMT1	3463	0.7887195348739624	0.5008464	Yes	
row_33	HASPIN	3730	0.7320452928543091	0.4961715	Yes	
row_34	GEN1	3988	0.6824248433113098	0.49126482	Yes	
row_35	ANAPC15	4037	0.6725160479545593	0.49890164	Yes	
row_36	SMC4	4308	0.6223707795143127	0.49226266	Yes	
row_37	AURKB	4424	0.6027894020080566	0.49473435	Yes	
row_38	CDC20	4560	0.577100396156311	0.49558768	Yes	
row_39	DUSP1	4673	0.5585846900939941	0.49754795	Yes	
row_40	PPP2R1A	4837	0.5291846394538879	0.49594808	Yes	
row_41	IK	4946	0.5125366449356079	0.4974288	Yes	
row_42	PLK1	4974	0.5083270072937012	0.5037651	Yes	
row_43	NCAPD2	5002	0.5028207302093506	0.51001495	Yes	
row_44	CSNK2A1	5064	0.4926435053348541	0.5140393	Yes	
row_45	PSMG2	5269	0.45601508021354675	0.5088	Yes	
row_46	ZWINT	5352	0.4371691346168518	0.5106778	Yes	
row_47	KNL1	5397	0.42742255330085754	0.5147116	Yes	
row_48	RECQL5	5605	0.3899844288825989	0.5082539	No	
row_49	ZW10	5750	0.3625347912311554	0.50519335	No	
row_50	PCID2	6215	0.27758997678756714	0.48135638	No	
row_51	ANAPC5	7091	0.1286025047302246	0.43020883	No	
row_52	UBE2C	7154	0.11832567304372787	0.42829844	No	
row_53	ESPL1	7335	0.08502823114395142	0.4186958	No	
row_54	CSNK2A2	7438	0.06845592707395554	0.41357246	No	
row_55	TPR	7487	0.06012043356895447	0.41159937	No	
row_56	CENATAC	7641	0.029033847153186798	0.40275857	No	
row_57	KLHL22	7740	0.009096384979784489	0.3969468	No	
row_58	INCENP	7753	0.006659762002527714	0.39632216	No	
row_59	TOP3A	7766	0.004326992202550173	0.39566094	No	
row_60	DIS3L2	7899	-0.0190475732088089	0.3879394	No	
row_61	PLSCR1	8306	-0.09536459296941757	0.36476704	No	
row_62	ANAPC11	8315	-0.09721879661083221	0.36580655	No	
row_63	MAD2L1BP	8593	-0.14759063720703125	0.35129187	No	
row_64	TRIP13	8892	-0.20342253148555756	0.33637732	No	
row_65	SMARCAD1	8954	-0.21586918830871582	0.3360584	No	
row_66	ATM	9244	-0.278315931558609	0.322866	No	
row_67	BUB3	9611	-0.3521343469619751	0.30615336	No	
row_68	MAD2L2	9740	-0.38227400183677673	0.30437475	No	
row_69	KNTC1	10727	-0.6116480827331543	0.25406283	No	
row_70	TEX14	11244	-0.7439023852348328	0.23438384	No	
row_71	CHFR	11704	-0.8571274280548096	0.21994497	No	
row_72	NCAPH2	12295	-1.031577229499817	0.20028396	No	
row_73	NUMA1	12463	-1.0888692140579224	0.20722379	No	
row_74	XRCC3	12749	-1.1873751878738403	0.20853963	No	
row_75	MAD1L1	13216	-1.3585014343261719	0.20154315	No	
