NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBK1	2224	1.0771926641464233	-0.11890496	No	
row_1	HMGB2	2529	0.9982389211654663	-0.12247474	No	
row_2	RIPK2	3217	0.8389883041381836	-0.15165973	No	
row_3	RPL39	3612	0.758301317691803	-0.16426708	No	
row_4	DROSHA	4418	0.6039437651634216	-0.20411584	No	
row_5	MR1	5193	0.4693233370780945	-0.24408981	No	
row_6	MMP7	5669	0.37809428572654724	-0.2672792	No	
row_7	PPP1R11	7171	0.114015132188797	-0.35666552	No	
row_8	SEH1L	7222	0.10639948397874832	-0.35811388	No	
row_9	ADAM17	7717	0.01348632201552391	-0.38789043	No	
row_10	GBP6	8205	-0.07563113421201706	-0.41631597	No	
row_11	IL27RA	9081	-0.24154825508594513	-0.4658138	No	
row_12	FAU	9082	-0.24218818545341492	-0.46220416	No	
row_13	LYG1	9220	-0.2728864848613739	-0.4664506	No	
row_14	IL12A	9753	-0.3849789798259735	-0.49299634	No	
row_15	GBP2	10017	-0.444426953792572	-0.5023322	No	
row_16	ROMO1	10323	-0.5155287384986877	-0.51315707	No	
row_17	MYD88	10841	-0.6399022936820984	-0.5349931	No	
row_18	H2BC21	11333	-0.7696878910064697	-0.553317	Yes	
row_19	PYCARD	11366	-0.7779654860496521	-0.543664	Yes	
row_20	TIRAP	11435	-0.794710099697113	-0.5359459	Yes	
row_21	C5AR1	11596	-0.8306463956832886	-0.5332751	Yes	
row_22	P2RX7	11724	-0.8638894557952881	-0.52810633	Yes	
row_23	NOD2	11792	-0.8821755647659302	-0.519024	Yes	
row_24	NOD1	11892	-0.906758725643158	-0.5115171	Yes	
row_25	ACP5	12095	-0.9691520929336548	-0.50933075	Yes	
row_26	CASP4	12246	-1.016717553138733	-0.50327986	Yes	
row_27	EPHA2	12335	-1.0439523458480835	-0.49306074	Yes	
row_28	LYZ	12587	-1.1257003545761108	-0.4915146	Yes	
row_29	H2BC12	12827	-1.2135350704193115	-0.48793113	Yes	
row_30	TLR2	12885	-1.2313592433929443	-0.4730377	Yes	
row_31	HLA-A	13046	-1.293232798576355	-0.46347243	Yes	
row_32	RNASE4	13091	-1.3072606325149536	-0.44665882	Yes	
row_33	H2BC11	13574	-1.4913228750228882	-0.4536812	Yes	
row_34	ANG	13623	-1.5155245065689087	-0.43400633	Yes	
row_35	CHGA	13680	-1.5392651557922363	-0.4144631	Yes	
row_36	TNFRSF14	13805	-1.5943868160247803	-0.39822477	Yes	
row_37	GBP4	13821	-1.5994021892547607	-0.37529725	Yes	
row_38	PLA2G2A	13864	-1.6154601573944092	-0.3537688	Yes	
row_39	HLA-E	13883	-1.6218687295913696	-0.33068848	Yes	
row_40	H2BC10	13921	-1.6341475248336792	-0.3085781	Yes	
row_41	H2BC7	14296	-1.8048152923583984	-0.30437434	Yes	
row_42	IL1B	14484	-1.8951903581619263	-0.28747585	Yes	
row_43	H2BC4	14509	-1.9068490266799927	-0.2605122	Yes	
row_44	HAVCR2	14668	-1.9894074201583862	-0.24044965	Yes	
row_45	RNASE1	14753	-2.037548065185547	-0.21517904	Yes	
row_46	IL18	14810	-2.0751442909240723	-0.18764895	Yes	
row_47	RNASE10	14840	-2.094435453414917	-0.1581929	Yes	
row_48	IL7R	14870	-2.1155271530151367	-0.1284225	Yes	
row_49	H2BC6	14976	-2.1810669898986816	-0.10228721	Yes	
row_50	RARRES2	15334	-2.44437837600708	-0.08751967	Yes	
row_51	SSC5D	15360	-2.4662599563598633	-0.052279137	Yes	
row_52	H2BC8	15434	-2.5153231620788574	-0.019220162	Yes	
row_53	GSDMD	15813	-2.8675310611724854	5.797809E-4	Yes	
row_54	LTA	15840	-2.888554811477661	0.042053584	Yes	
