NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN1	1247	1.4241889715194702	-0.049538877	No	
row_1	PNPLA8	2245	1.072035312652588	-0.09036428	No	
row_2	PLA2G4A	3147	0.856651246547699	-0.12930913	No	
row_3	SLCO2A1	5149	0.478439062833786	-0.24183507	No	
row_4	NMB	5556	0.3992360234260559	-0.25914234	No	
row_5	PLA2G12A	6917	0.15970376133918762	-0.3386469	No	
row_6	MAP2K6	7441	0.06796322017908096	-0.36910138	No	
row_7	ABCC3	8773	-0.18030360341072083	-0.44647175	No	
row_8	P2RX4	10138	-0.47383731603622437	-0.52047575	No	
row_9	P2RX7	11724	-0.8638894557952881	-0.6007428	Yes	
row_10	ABCC10	11879	-0.9037845134735107	-0.59355325	Yes	
row_11	ABCC6	11890	-0.90650874376297	-0.57758665	Yes	
row_12	PTGES	11917	-0.9149003028869629	-0.5624363	Yes	
row_13	ANXA1	11931	-0.9191139936447144	-0.546421	Yes	
row_14	ABCC4	12612	-1.1377687454223633	-0.56683254	Yes	
row_15	PTGS2	12697	-1.1672526597976685	-0.55058384	Yes	
row_16	ACE	13198	-1.3493068218231201	-0.556219	Yes	
row_17	NTSR1	13451	-1.437056541442871	-0.5452196	Yes	
row_18	PLA2G3	13502	-1.458268165588379	-0.52159	Yes	
row_19	PLA2R1	13639	-1.5215932130813599	-0.5020148	Yes	
row_20	DRD2	13786	-1.5863279104232788	-0.48186222	Yes	
row_21	PLA2G2A	13864	-1.6154601573944092	-0.4569952	Yes	
row_22	IL1A	14176	-1.7584196329116821	-0.44369644	Yes	
row_23	PLA2G5	14253	-1.7922064065933228	-0.41553757	Yes	
row_24	IL1B	14484	-1.8951903581619263	-0.39482927	Yes	
row_25	ABCC1	14755	-2.0380899906158447	-0.37393275	Yes	
row_26	ABCC2	15420	-2.5089385509490967	-0.36830702	Yes	
row_27	DRD4	15466	-2.5423383712768555	-0.32455552	Yes	
row_28	NOS2	15608	-2.659264087677002	-0.28448457	Yes	
row_29	SLCO3A1	15724	-2.7709429264068604	-0.24079616	Yes	
row_30	MIF	16066	-3.222379446029663	-0.20255162	Yes	
row_31	PROCA1	16231	-3.6416521072387695	-0.14591469	Yes	
row_32	BDKRB2	16296	-3.8775219917297363	-0.078905016	Yes	
row_33	SLCO4A1	16506	-5.098379611968994	0.0016363786	Yes	
