NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT88	106	2.7914369106292725	0.13737895	Yes	
row_1	IFT80	423	1.958588719367981	0.21913993	Yes	
row_2	CLUAP1	448	1.9292830228805542	0.3170711	Yes	
row_3	IFT81	505	1.875915288925171	0.4103156	Yes	
row_4	IFT122	788	1.657783031463623	0.47863963	Yes	
row_5	IFT172	1924	1.1741164922714233	0.47040135	Yes	
row_6	IFT57	2005	1.1482994556427002	0.5247106	Yes	
row_7	IFT70B	2553	0.9944922924041748	0.5428211	Yes	
row_8	IFT22	2846	0.9257224798202515	0.57282853	Yes	
row_9	TRAF3IP1	3292	0.8234692215919495	0.5883049	Yes	
row_10	IFT74	3307	0.8195357918739319	0.62967443	Yes	
row_11	IFT25	3818	0.7141333818435669	0.63558286	Yes	
row_12	IFT46	3871	0.7035931944847107	0.668679	Yes	
row_13	IFT52	3923	0.6935771703720093	0.70131975	Yes	
row_14	IFT56	4313	0.621636152267456	0.7097896	Yes	
row_15	IFT20	7630	0.031386297196149826	0.5106314	No	
row_16	CILK1	8115	-0.057094745337963104	0.48426762	No	
row_17	IFT27	10218	-0.4922849237918854	0.38235646	No	
