NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT88	106	2.7914369106292725	0.059060164	Yes	
row_1	DYNC2LI1	191	2.442026376724243	0.11125724	Yes	
row_2	IFT80	423	1.958588719367981	0.14319636	Yes	
row_3	CLUAP1	448	1.9292830228805542	0.18700327	Yes	
row_4	WDR35	489	1.8910114765167236	0.22894184	Yes	
row_5	IFT81	505	1.875915288925171	0.2720426	Yes	
row_6	IFT122	788	1.657783031463623	0.2938312	Yes	
row_7	RPGR	929	1.5822290182113647	0.3224601	Yes	
row_8	WDR19	1334	1.390341877937317	0.33057454	Yes	
row_9	IFT43	1741	1.237292766571045	0.334977	Yes	
row_10	BBS12	1921	1.1755039691925049	0.35169828	Yes	
row_11	IFT172	1924	1.1741164922714233	0.37912273	Yes	
row_12	IFT57	2005	1.1482994556427002	0.40121052	Yes	
row_13	TTC21B	2394	1.0322246551513672	0.40189368	Yes	
row_14	IFT70B	2553	0.9944922924041748	0.415642	Yes	
row_15	KIF3B	2802	0.9328594207763672	0.4224855	Yes	
row_16	IFT22	2846	0.9257224798202515	0.44159564	Yes	
row_17	MAK	2874	0.9185342788696289	0.46150756	Yes	
row_18	TRAF3IP1	3292	0.8234692215919495	0.4555342	Yes	
row_19	IFT74	3307	0.8195357918739319	0.47391203	Yes	
row_20	ARL3	3503	0.780989944934845	0.48040724	Yes	
row_21	IFT25	3818	0.7141333818435669	0.4781161	Yes	
row_22	DYNC2I1	3851	0.7067677974700928	0.49275655	Yes	
row_23	IFT46	3871	0.7035931944847107	0.508111	Yes	
row_24	IFT52	3923	0.6935771703720093	0.5212896	Yes	
row_25	DYNLL1	4186	0.6466732621192932	0.52056974	Yes	
row_26	IFT56	4313	0.621636152267456	0.5275115	Yes	
row_27	PCM1	4327	0.6194667816162109	0.5412562	Yes	
row_28	IFT70A	4625	0.5668158531188965	0.53654	Yes	
row_29	WDPCP	4647	0.5635595917701721	0.54848784	Yes	
row_30	RABL2B	4698	0.5531419515609741	0.55843234	Yes	
row_31	DYNLT2B	5897	0.3389466106891632	0.49372098	No	
row_32	LCA5L	6181	0.2841908037662506	0.4832233	No	
row_33	LCA5	6252	0.27135127782821655	0.48534366	No	
row_34	TUB	6316	0.25986528396606445	0.48761913	No	
row_35	INTU	6549	0.21987253427505493	0.47870582	No	
row_36	SSX2IP	7499	0.05800725147128105	0.4225062	No	
row_37	IFT20	7630	0.031386297196149826	0.4153576	No	
row_38	IFT140	7707	0.015886278823018074	0.4111206	No	
row_39	CILK1	8115	-0.057094745337963104	0.38777396	No	
row_40	FUZ	9446	-0.3155491054058075	0.3145074	No	
row_41	DYNC2H1	9461	-0.31854942440986633	0.32113168	No	
row_42	IFT27	10218	-0.4922849237918854	0.2868268	No	
row_43	SSNA1	10835	-0.6384629607200623	0.2644429	No	
row_44	TTC21A	10947	-0.6657461524009705	0.2733293	No	
row_45	DYNC2I2	11199	-0.7334139347076416	0.27531168	No	
row_46	CEP131	14779	-2.052586317062378	0.10638697	No	
