NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.048959777	Yes	
row_1	CENPE	202	2.42108154296875	0.08547411	Yes	
row_2	NDC80	326	2.090451955795288	0.11608704	Yes	
row_3	CHMP3	328	2.0883076190948486	0.15406743	Yes	
row_4	KIF18A	432	1.946377158164978	0.18327004	Yes	
row_5	HNRNPU	588	1.7954435348510742	0.20656633	Yes	
row_6	KIF14	761	1.6754482984542847	0.22664471	Yes	
row_7	KIF2C	974	1.5621235370635986	0.24223039	Yes	
row_8	SKA2	1008	1.5403611660003662	0.26828656	Yes	
row_9	CHMP2B	1011	1.5384153127670288	0.29618925	Yes	
row_10	CCNB1	1053	1.5094741582870483	0.32119712	Yes	
row_11	SPDL1	1117	1.4752575159072876	0.34424606	Yes	
row_12	CHAMP1	1131	1.4690009355545044	0.3702165	Yes	
row_13	NUF2	1171	1.4562855958938599	0.39437687	Yes	
row_14	CUL3	1273	1.417083501815796	0.41405916	Yes	
row_15	CHMP4C	1361	1.3755601644515991	0.433835	Yes	
row_16	SKA1	1606	1.286055326461792	0.44244906	Yes	
row_17	RMDN1	2035	1.1378424167633057	0.43719277	Yes	
row_18	BIRC5	2600	0.9832806587219238	0.4208645	Yes	
row_19	SKA3	2647	0.9690064191818237	0.43572354	Yes	
row_20	CHMP2A	2736	0.9465341567993164	0.4476234	Yes	
row_21	CHMP4A	2852	0.9235680103302002	0.4574658	Yes	
row_22	CDC23	3040	0.8818792104721069	0.4621777	Yes	
row_23	CDCA8	3127	0.86063551902771	0.47263426	Yes	
row_24	BECN1	3130	0.8597574830055237	0.48817438	Yes	
row_25	KIF22	3197	0.8447607159614563	0.49955592	Yes	
row_26	KAT5	3405	0.801954448223114	0.50159776	Yes	
row_27	CHMP5	3863	0.7051129937171936	0.48669818	Yes	
row_28	RAB11A	4145	0.6520413160324097	0.48151666	Yes	
row_29	KIFC1	4207	0.6404327154159546	0.48947966	Yes	
row_30	PIBF1	4251	0.6324313282966614	0.4983897	Yes	
row_31	VPS4B	4297	0.6235576868057251	0.50701666	Yes	
row_32	MAPRE1	4400	0.6074020862579346	0.5118889	Yes	
row_33	AURKB	4424	0.6027894020080566	0.52147317	Yes	
row_34	DCTN2	4511	0.5856668949127197	0.5269208	Yes	
row_35	MIS12	5051	0.4940548539161682	0.50319844	No	
row_36	CDK1	5118	0.4838193953037262	0.50800496	No	
row_37	KPNB1	5361	0.4351217448711395	0.50123966	No	
row_38	ZW10	5750	0.3625347912311554	0.48428857	No	
row_39	EML4	5774	0.35864222049713135	0.48942536	No	
row_40	VPS4A	5907	0.33730506896972656	0.4875562	No	
row_41	CENPC	6033	0.3133346140384674	0.48567533	No	
row_42	CHMP1B	6123	0.29502981901168823	0.48564655	No	
row_43	CHMP4B	6174	0.28455784916877747	0.48779467	No	
row_44	CDCA5	6213	0.2782454788684845	0.4905563	No	
row_45	BOD1	6397	0.24513818323612213	0.48391202	No	
row_46	NUP62	6580	0.21432650089263916	0.4767672	No	
row_47	PDCD6IP	7008	0.14399243891239166	0.45346743	No	
row_48	CEP55	7217	0.1069999560713768	0.44278908	No	
row_49	SEH1L	7222	0.10639948397874832	0.44448444	No	
row_50	CHMP1A	7429	0.06983818858861923	0.43325055	No	
row_51	PINX1	7715	0.014283855445683002	0.41620865	No	
row_52	INCENP	7753	0.006659762002527714	0.41408375	No	
row_53	CHMP7	7850	-0.010984117165207863	0.40845576	No	
row_54	PSRC1	8374	-0.10902636498212814	0.37869096	No	
row_55	NUDC	8388	-0.11149333417415619	0.37993273	No	
row_56	RRS1	11017	-0.682163655757904	0.23281571	No	
row_57	CHMP6	11079	-0.6992515325546265	0.24185018	No	
row_58	ANKRD53	12138	-0.9799997806549072	0.19547187	No	
row_59	EML3	12601	-1.1337863206863403	0.18807758	No	
row_60	MAD1L1	13216	-1.3585014343261719	0.17554899	No	
row_61	CDT1	13384	-1.4142438173294067	0.19117275	No	
