NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.013404002	Yes	
row_1	DLGAP5	111	2.7538352012634277	0.028228465	Yes	
row_2	CENPE	202	2.42108154296875	0.03758462	Yes	
row_3	KIF15	283	2.1850290298461914	0.046103507	Yes	
row_4	PRC1	323	2.0979630947113037	0.056596044	Yes	
row_5	NDC80	326	2.090451955795288	0.06930589	Yes	
row_6	CHMP3	328	2.0883076190948486	0.08206374	Yes	
row_7	BUB1	352	2.0493004322052	0.09323634	Yes	
row_8	CENPK	380	2.0168566703796387	0.10396509	Yes	
row_9	FBXO5	389	2.0054757595062256	0.11578627	Yes	
row_10	CDK5RAP2	392	1.9999853372573853	0.12794079	Yes	
row_11	BUB1B	407	1.9812971353530884	0.13924651	Yes	
row_12	NCAPD3	416	1.9728038311004639	0.15086713	Yes	
row_13	KIF18A	432	1.946377158164978	0.16189733	Yes	
row_14	NCAPG2	534	1.8403966426849365	0.16701606	Yes	
row_15	HNRNPU	588	1.7954435348510742	0.17479515	Yes	
row_16	KIF2A	614	1.771934151649475	0.1841428	Yes	
row_17	MAD2L1	637	1.7587370872497559	0.19359295	Yes	
row_18	NEK2	652	1.7499909400939941	0.20347881	Yes	
row_19	NUSAP1	656	1.745894193649292	0.21401241	Yes	
row_20	LSM14A	668	1.7378584146499634	0.22400732	Yes	
row_21	KIF14	761	1.6754482984542847	0.22866407	Yes	
row_22	CCDC61	794	1.6513019800186157	0.236843	Yes	
row_23	SMC2	806	1.6461738348007202	0.2462751	Yes	
row_24	KIF4A	833	1.6369725465774536	0.25473312	Yes	
row_25	KIF4B	947	1.5750023126602173	0.25748864	Yes	
row_26	KIF2C	974	1.5621235370635986	0.2654872	Yes	
row_27	SKA2	1008	1.5403611660003662	0.27292395	Yes	
row_28	CHMP2B	1011	1.5384153127670288	0.28224513	Yes	
row_29	CCNB1	1053	1.5094741582870483	0.2890029	Yes	
row_30	SPDL1	1117	1.4752575159072876	0.2942048	Yes	
row_31	CCSAP	1129	1.469913125038147	0.30255494	Yes	
row_32	CHAMP1	1131	1.4690009355545044	0.3115112	Yes	
row_33	NUF2	1171	1.4562855958938599	0.3180648	Yes	
row_34	TTK	1206	1.4387962818145752	0.32481694	Yes	
row_35	CUL3	1273	1.417083501815796	0.32947823	Yes	
row_36	CENPI	1316	1.3961796760559082	0.33547938	Yes	
row_37	CHMP4C	1361	1.3755601644515991	0.34123158	Yes	
row_38	RACGAP1	1378	1.3683065176010132	0.34865212	Yes	
row_39	MAP9	1410	1.3557708263397217	0.35507813	Yes	
row_40	CHEK2	1438	1.343977451324463	0.36167642	Yes	
row_41	NCAPH	1515	1.3176079988479614	0.36511534	Yes	
row_42	RB1	1558	1.3027392625808716	0.3705429	Yes	
row_43	SKA1	1606	1.286055326461792	0.3755622	Yes	
row_44	STAG1	1659	1.2686861753463745	0.38016897	Yes	
row_45	CDC16	1660	1.2684545516967773	0.38795537	Yes	
row_46	KIF23	1836	1.2030878067016602	0.38463515	Yes	
row_47	SPC25	1898	1.1843401193618774	0.38817364	Yes	
row_48	SMARCA5	1920	1.175659418106079	0.39410573	Yes	
row_49	RMDN1	2035	1.1378424167633057	0.3941166	Yes	
row_50	SPAG5	2185	1.088996171951294	0.39168656	Yes	
row_51	RAD21	2266	1.0654878616333008	0.39333317	Yes	
row_52	ZWILCH	2292	1.0569835901260376	0.3982921	Yes	
row_53	SPC24	2384	1.0339187383651733	0.39907202	Yes	
row_54	KNSTRN	2564	0.9930570125579834	0.39421785	Yes	
row_55	BIRC5	2600	0.9832806587219238	0.39811265	Yes	
row_56	SKA3	2647	0.9690064191818237	0.4012469	Yes	
row_57	ZNF207	2712	0.9537450075149536	0.40318635	Yes	
row_58	CENPF	2724	0.9507784247398376	0.40834975	Yes	
row_59	CHMP2A	2736	0.9465341567993164	0.41348714	Yes	
row_60	KIF3B	2802	0.9328594207763672	0.41523722	Yes	
row_61	MZT1	2809	0.9314236640930176	0.4205877	Yes	
row_62	CHMP4A	2852	0.9235680103302002	0.42368773	Yes	
row_63	AAAS	2980	0.8959093689918518	0.42141822	Yes	
row_64	OFD1	3004	0.8900375366210938	0.4254747	Yes	
row_65	CDC23	3040	0.8818792104721069	0.42874703	Yes	
row_66	CLASP2	3042	0.8813846707344055	0.43409622	Yes	
row_67	APC	3099	0.867809534072876	0.43599755	Yes	
row_68	CDCA8	3127	0.86063551902771	0.43962887	Yes	
row_69	BECN1	3130	0.8597574830055237	0.4447841	Yes	
row_70	NCAPG	3170	0.851695716381073	0.44762647	Yes	
row_71	KIF22	3197	0.8447607159614563	0.45122153	Yes	
row_72	NSMCE2	3251	0.8317928314208984	0.45308527	Yes	
row_73	STAG2	3321	0.8169875741004944	0.45387936	Yes	
row_74	ANAPC7	3330	0.8150379061698914	0.45839307	Yes	
row_75	BAZ1B	3399	0.802722692489624	0.45916077	Yes	
row_76	KAT5	3405	0.801954448223114	0.4637777	Yes	
row_77	DYNC1LI1	3454	0.7912907004356384	0.4656987	Yes	
row_78	LCMT1	3463	0.7887195348739624	0.47005084	Yes	
row_79	HASPIN	3730	0.7320452928543091	0.4582724	Yes	
row_80	CHMP5	3863	0.7051129937171936	0.45452583	Yes	
row_81	RANGRF	3870	0.7036659121513367	0.45847824	Yes	
row_82	KIF11	3893	0.7000072002410889	0.4614294	Yes	
row_83	NIPBL	3981	0.6837522983551025	0.46030453	Yes	
row_84	GEN1	3988	0.6824248433113098	0.46412653	Yes	
row_85	ANAPC15	4037	0.6725160479545593	0.46531844	Yes	
