NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLGAP5	111	2.7538352012634277	0.046496928	Yes	
row_1	NDC80	326	2.090451955795288	0.07391762	Yes	
row_2	BUB1	352	2.0493004322052	0.112015426	Yes	
row_3	FBXO5	389	2.0054757595062256	0.14859833	Yes	
row_4	CDK5RAP2	392	1.9999853372573853	0.18713896	Yes	
row_5	BUB1B	407	1.9812971353530884	0.2245899	Yes	
row_6	MAD2L1	637	1.7587370872497559	0.24468763	Yes	
row_7	CCNB1	1053	1.5094741582870483	0.2486763	Yes	
row_8	SPDL1	1117	1.4752575159072876	0.27337053	Yes	
row_9	NUF2	1171	1.4562855958938599	0.29830503	Yes	
row_10	TTK	1206	1.4387962818145752	0.32405475	Yes	
row_11	CUL3	1273	1.417083501815796	0.3474423	Yes	
row_12	RB1	1558	1.3027392625808716	0.3553865	Yes	
row_13	CDC16	1660	1.2684545516967773	0.37377632	Yes	
row_14	SPC25	1898	1.1843401193618774	0.38228467	Yes	
row_15	RAD21	2266	1.0654878616333008	0.38060424	Yes	
row_16	ZWILCH	2292	1.0569835901260376	0.3995194	Yes	
row_17	SPC24	2384	1.0339187383651733	0.41398242	Yes	
row_18	BIRC5	2600	0.9832806587219238	0.4199395	Yes	
row_19	ZNF207	2712	0.9537450075149536	0.4316386	Yes	
row_20	CENPF	2724	0.9507784247398376	0.44935054	Yes	
row_21	CDC23	3040	0.8818792104721069	0.44727725	Yes	
row_22	APC	3099	0.867809534072876	0.4605323	Yes	
row_23	CDCA8	3127	0.86063551902771	0.47553045	Yes	
row_24	NSMCE2	3251	0.8317928314208984	0.48414364	Yes	
row_25	ANAPC7	3330	0.8150379061698914	0.49516454	Yes	
row_26	DYNC1LI1	3454	0.7912907004356384	0.5029948	Yes	
row_27	LCMT1	3463	0.7887195348739624	0.51775604	Yes	
row_28	HASPIN	3730	0.7320452928543091	0.51576066	Yes	
row_29	GEN1	3988	0.6824248433113098	0.5133524	Yes	
row_30	ANAPC15	4037	0.6725160479545593	0.5234392	Yes	
row_31	AURKB	4424	0.6027894020080566	0.511661	Yes	
row_32	CDC20	4560	0.577100396156311	0.5146223	Yes	
row_33	DUSP1	4673	0.5585846900939941	0.51862174	Yes	
row_34	PPP2R1A	4837	0.5291846394538879	0.51895714	Yes	
row_35	IK	4946	0.5125366449356079	0.52230924	Yes	
row_36	PLK1	4974	0.5083270072937012	0.5304969	Yes	
row_37	PSMG2	5269	0.45601508021354675	0.5214659	Yes	
row_38	ZWINT	5352	0.4371691346168518	0.5249393	Yes	
row_39	KNL1	5397	0.42742255330085754	0.530531	Yes	
row_40	ZW10	5750	0.3625347912311554	0.51617223	No	
row_41	PCID2	6215	0.27758997678756714	0.49337277	No	
row_42	ANAPC5	7091	0.1286025047302246	0.44274482	No	
row_43	UBE2C	7154	0.11832567304372787	0.44126868	No	
row_44	ESPL1	7335	0.08502823114395142	0.43198606	No	
row_45	TPR	7487	0.06012043356895447	0.4239823	No	
row_46	KLHL22	7740	0.009096384979784489	0.4088613	No	
row_47	INCENP	7753	0.006659762002527714	0.40826163	No	
row_48	DIS3L2	7899	-0.0190475732088089	0.3998281	No	
row_49	ANAPC11	8315	-0.09721879661083221	0.37651622	No	
row_50	MAD2L1BP	8593	-0.14759063720703125	0.36255497	No	
row_51	TRIP13	8892	-0.20342253148555756	0.34839824	No	
row_52	ATM	9244	-0.278315931558609	0.33247212	No	
row_53	BUB3	9611	-0.3521343469619751	0.31706244	No	
row_54	MAD2L2	9740	-0.38227400183677673	0.31668243	No	
row_55	KNTC1	10727	-0.6116480827331543	0.2686544	No	
row_56	TEX14	11244	-0.7439023852348328	0.25171283	No	
row_57	NCAPH2	12295	-1.031577229499817	0.2079176	No	
row_58	XRCC3	12749	-1.1873751878738403	0.20337307	No	
row_59	MAD1L1	13216	-1.3585014343261719	0.20134747	No	
