NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSIP1	934	1.5807863473892212	-0.020459773	No	
row_1	PRPF39	1469	1.331910490989685	-0.0223837	No	
row_2	SNRPC	3523	0.7781109809875488	-0.12891626	No	
row_3	SRSF1	3760	0.7268629670143127	-0.12661089	No	
row_4	SRSF12	4274	0.6286145448684692	-0.14331907	No	
row_5	SFSWAP	12785	-1.1978577375411987	-0.6311997	No	
row_6	TAF12-DT	13637	-1.519612193107605	-0.64803094	Yes	
row_7	RNVU1-1	13675	-1.5360596179962158	-0.6152041	Yes	
row_8	RNVU1-15	14773	-2.048978328704834	-0.63484406	Yes	
row_9	RNU6ATAC	15709	-2.7521371841430664	-0.6286234	Yes	
row_10	RNU4ATAC	15892	-2.9417386054992676	-0.5724849	Yes	
row_11	RNVU1-6	16275	-3.8240532875061035	-0.5083127	Yes	
row_12	RNVU1-14	16292	-3.8655011653900146	-0.42103523	Yes	
row_13	RNVU1-2A	16315	-3.941316843032837	-0.33239025	Yes	
row_14	RNVU1-19	16365	-4.101543426513672	-0.24172208	Yes	
row_15	RNVU1-7	16510	-5.310695648193359	-0.12920164	Yes	
row_16	RNU11	16521	-5.717841148376465	7.264395E-4	Yes	
