NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAEL	73	2.9513609409332275	0.007001173	Yes	
row_1	KAT2B	76	2.940985918045044	0.01833171	Yes	
row_2	DLGAP5	111	2.7538352012634277	0.026963918	Yes	
row_3	CENPE	202	2.42108154296875	0.030853642	Yes	
row_4	CDC42	211	2.3867859840393066	0.03965658	Yes	
row_5	KIF15	283	2.1850290298461914	0.043796375	Yes	
row_6	PRC1	323	2.0979630947113037	0.049566567	Yes	
row_7	NDC80	326	2.090451955795288	0.057584714	Yes	
row_8	CHMP3	328	2.0883076190948486	0.06565605	Yes	
row_9	BUB1	352	2.0493004322052	0.072221465	Yes	
row_10	CENPK	380	2.0168566703796387	0.07841434	Yes	
row_11	FBXO5	389	2.0054757595062256	0.085732274	Yes	
row_12	CDK5RAP2	392	1.9999853372573853	0.093398094	Yes	
row_13	BUB1B	407	1.9812971353530884	0.10025258	Yes	
row_14	NCAPD3	416	1.9728038311004639	0.10744327	Yes	
row_15	KIF18A	432	1.946377158164978	0.11410022	Yes	
row_16	TOP2A	437	1.9412966966629028	0.12141439	Yes	
row_17	NCAPG2	534	1.8403966426849365	0.12267337	Yes	
row_18	HNRNPU	588	1.7954435348510742	0.12640376	Yes	
row_19	KIF2A	614	1.771934151649475	0.13176589	Yes	
row_20	TERF1	622	1.7654955387115479	0.13821076	Yes	
row_21	MAD2L1	637	1.7587370872497559	0.14419849	Yes	
row_22	TOP2B	639	1.758270502090454	0.15098451	Yes	
row_23	NEK2	652	1.7499909400939941	0.15706126	Yes	
row_24	NUSAP1	656	1.745894193649292	0.163676	Yes	
row_25	LSM14A	668	1.7378584146499634	0.16976705	Yes	
row_26	CENPQ	688	1.7256001234054565	0.175318	Yes	
row_27	KIF14	761	1.6754482984542847	0.17741169	Yes	
row_28	CCDC61	794	1.6513019800186157	0.1818732	Yes	
row_29	SMC2	806	1.6461738348007202	0.18760718	Yes	
row_30	KIF4A	833	1.6369725465774536	0.19238216	Yes	
row_31	ECT2	845	1.6322773694992065	0.19806203	Yes	
row_32	BRD7	893	1.6005898714065552	0.20140284	Yes	
row_33	KIF4B	947	1.5750023126602173	0.20427473	Yes	
row_34	ACTR2	972	1.5621978044509888	0.20888159	Yes	
row_35	KIF2C	974	1.5621235370635986	0.21490371	Yes	
row_36	SKA2	1008	1.5403611660003662	0.21887161	Yes	
row_37	CHMP2B	1011	1.5384153127670288	0.22473985	Yes	
row_38	CCNB1	1053	1.5094741582870483	0.22809508	Yes	
row_39	SPDL1	1117	1.4752575159072876	0.22996305	Yes	
row_40	CCSAP	1129	1.469913125038147	0.23501061	Yes	
row_41	CHAMP1	1131	1.4690009355545044	0.24067007	Yes	
