NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL39	3612	0.758301317691803	-0.19590947	No	
row_1	FAU	9082	-0.24218818545341492	-0.5197808	No	
row_2	OTUD7B	9180	-0.2629244029521942	-0.5177486	No	
row_3	H2BC21	11333	-0.7696878910064697	-0.6249112	No	
row_4	NOD2	11792	-0.8821755647659302	-0.62611806	No	
row_5	H2BC12	12827	-1.2135350704193115	-0.65223897	No	
row_6	H2BC11	13574	-1.4913228750228882	-0.6525686	Yes	
row_7	TREX1	13627	-1.5168993473052979	-0.6101067	Yes	
row_8	CD160	13780	-1.5832983255386353	-0.5717035	Yes	
row_9	H2BC10	13921	-1.6341475248336792	-0.5310447	Yes	
row_10	H2BC7	14296	-1.8048152923583984	-0.49942315	Yes	
row_11	H2BC4	14509	-1.9068490266799927	-0.45492437	Yes	
row_12	PIGR	14532	-1.9193451404571533	-0.39854518	Yes	
row_13	H2BC6	14976	-2.1810669898986816	-0.35978842	Yes	
row_14	IFNLR1	15348	-2.4561848640441895	-0.30839968	Yes	
row_15	H2BC8	15434	-2.5153231620788574	-0.23791519	Yes	
row_16	NOS2	15608	-2.659264087677002	-0.16843112	Yes	
row_17	IL6R	15674	-2.718071460723877	-0.09063931	Yes	
row_18	RAB17	16488	-4.742284297943115	0.0027248627	Yes	
