NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGB1	233	2.3185832500457764	0.021103999	No	
row_1	FGF2	2196	1.085899829864502	-0.08142331	No	
row_2	HMGB2	2529	0.9982389211654663	-0.08639321	No	
row_3	ALKBH1	2708	0.9549908638000488	-0.082677454	No	
row_4	FGF7	3034	0.8827425241470337	-0.08897808	No	
row_5	TSC2	3314	0.8185872435569763	-0.09346303	No	
row_6	SMAD3	5403	0.4265766739845276	-0.21365553	No	
row_7	GDNF	5715	0.3682883679866791	-0.2269259	No	
row_8	SEMA5A	6319	0.25946661829948425	-0.25956544	No	
row_9	IL16	6913	0.16031867265701294	-0.29310524	No	
row_10	F3	7005	0.14459872245788574	-0.29642835	No	
row_11	WNT5A	7130	0.12273965030908585	-0.30208576	No	
row_12	AGER	7621	0.03392111510038376	-0.3312978	No	
row_13	NTRK3	7642	0.02893349900841713	-0.33207142	No	
row_14	CX3CL1	7798	-0.0026042070239782333	-0.34143546	No	
row_15	PTPRJ	8530	-0.13579843938350677	-0.38372022	No	
row_16	S1PR1	8970	-0.2195342630147934	-0.40701705	No	
row_17	F2RL1	9117	-0.25056368112564087	-0.41206637	No	
row_18	WNT7B	9327	-0.2945745885372162	-0.42026892	No	
row_19	LGALS3	10066	-0.45424240827560425	-0.45813838	No	
row_20	VEGFD	10364	-0.5250389575958252	-0.46817693	No	
row_21	VEGFA	10669	-0.5986935496330261	-0.47752073	No	
row_22	CORO1A	11210	-0.7360600829124451	-0.49909452	No	
row_23	ITGA2	11269	-0.751487672328949	-0.49119154	No	
row_24	CXCL10	12488	-1.0956870317459106	-0.5484327	Yes	
row_25	ANGPT2	12705	-1.1687836647033691	-0.54377294	Yes	
row_26	MET	12847	-1.221004843711853	-0.53376937	Yes	
row_27	PLXNB3	13038	-1.2894798517227173	-0.52569777	Yes	
row_28	NRP1	13231	-1.3628408908843994	-0.51663256	Yes	
row_29	CASR	13332	-1.398801326751709	-0.5014393	Yes	
row_30	FGF10	13342	-1.4017850160598755	-0.48067975	Yes	
row_31	ANGPT1	13489	-1.4555368423461914	-0.4674149	Yes	
row_32	BMP4	13556	-1.4810938835144043	-0.44890812	Yes	
row_33	VEGFC	13561	-1.4826284646987915	-0.42661655	Yes	
row_34	SCRIB	13641	-1.522071123123169	-0.40827566	Yes	
row_35	CCL5	13737	-1.562638521194458	-0.3902889	Yes	
row_36	AZU1	14007	-1.6712738275527954	-0.3812073	Yes	
row_37	ARTN	14120	-1.7283501625061035	-0.36173326	Yes	
row_38	SCG2	14312	-1.8185876607894897	-0.34568053	Yes	
row_39	S100A4	14489	-1.897885799407959	-0.32751253	Yes	
row_40	CXCL12	14752	-2.037522315979004	-0.31243974	Yes	
row_41	HGF	14893	-2.1293728351593018	-0.28856933	Yes	
row_42	VEGFB	15014	-2.2033636569976807	-0.262361	Yes	
row_43	CDH13	15351	-2.457639217376709	-0.24539237	Yes	
row_44	KDR	15647	-2.6903090476989746	-0.22240001	Yes	
row_45	PDGFB	15754	-2.8065645694732666	-0.18617436	Yes	
row_46	CCR4	15774	-2.824213743209839	-0.14440228	Yes	
row_47	GPNMB	15895	-2.9439454078674316	-0.10693796	Yes	
row_48	CXCL8	15951	-3.0236406326293945	-0.0643189	Yes	
row_49	MIF	16066	-3.222379446029663	-0.02225869	Yes	
row_50	PGF	16109	-3.3246054649353027	0.025723377	Yes	
