NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.112255156	Yes	
row_1	CDC42	211	2.3867859840393066	0.198977	Yes	
row_2	HNRNPU	588	1.7954435348510742	0.24754629	Yes	
row_3	NEK2	652	1.7499909400939941	0.31326547	Yes	
row_4	ECT2	845	1.6322773694992065	0.36649486	Yes	
row_5	CCNB1	1053	1.5094741582870483	0.41393635	Yes	
row_6	SIRT2	1274	1.4154616594314575	0.45685503	Yes	
row_7	RACGAP1	1378	1.3683065176010132	0.50498575	Yes	
row_8	SPAG5	2185	1.088996171951294	0.49944323	Yes	
row_9	ZWILCH	2292	1.0569835901260376	0.5350221	Yes	
row_10	KNSTRN	2564	0.9930570125579834	0.55806816	Yes	
row_11	BIRC5	2600	0.9832806587219238	0.59501845	Yes	
row_12	APC	3099	0.867809534072876	0.5993403	Yes	
row_13	CDCA8	3127	0.86063551902771	0.63190186	Yes	
row_14	BECN1	3130	0.8597574830055237	0.66594255	Yes	
row_15	KAT5	3405	0.801954448223114	0.6812136	Yes	
row_16	RCC2	3466	0.7885487675666809	0.70891225	Yes	
row_17	AURKB	4424	0.6027894020080566	0.67490584	No	
row_18	CDK1	5118	0.4838193953037262	0.6521605	No	
row_19	ZW10	5750	0.3625347912311554	0.628351	No	
row_20	INCENP	7753	0.006659762002527714	0.5073704	No	
row_21	KNTC1	10727	-0.6116480827331543	0.35162294	No	
