NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD99L2	1394	1.3615328073501587	-0.05264908	No	
row_1	GCNT1	4369	0.6125101447105408	-0.21853513	No	
row_2	CD47	5665	0.37832215428352356	-0.2881606	No	
row_3	JAM3	5768	0.3599439561367035	-0.28593	No	
row_4	BCR	7310	0.09084578603506088	-0.3771785	No	
row_5	CHST2	7387	0.07790739834308624	-0.37996295	No	
row_6	FUT9	7544	0.04811323434114456	-0.38829094	No	
row_7	AGER	7621	0.03392111510038376	-0.39210325	No	
row_8	IL27RA	9081	-0.24154825508594513	-0.47486174	No	
row_9	MED23	9591	-0.3490080237388611	-0.4975474	No	
row_10	CD99	10069	-0.4553316831588745	-0.5158096	No	
row_11	CCL25	10201	-0.48749834299087524	-0.51235557	No	
row_12	FADD	10352	-0.5217751860618591	-0.50925183	No	
row_13	ST3GAL4	11322	-0.7668583989143372	-0.5500455	No	
row_14	PDGFD	12056	-0.9567592144012451	-0.5721021	No	
row_15	PTGER4	12261	-1.0197491645812988	-0.560634	No	
row_16	RIPOR2	13158	-1.3336265087127686	-0.5837607	Yes	
row_17	THY1	13401	-1.4208654165267944	-0.5652221	Yes	
row_18	ICAM1	13833	-1.6040399074554443	-0.55385494	Yes	
row_19	PTAFR	14476	-1.8936372995376587	-0.5485055	Yes	
row_20	BST1	14586	-1.9464163780212402	-0.5096275	Yes	
row_21	ITGA4	14644	-1.980767846107483	-0.4667961	Yes	
row_22	CXCL12	14752	-2.037522315979004	-0.42566806	Yes	
row_23	ADAM8	15052	-2.227660894393921	-0.39173055	Yes	
row_24	PLVAP	15271	-2.396460771560669	-0.34894073	Yes	
row_25	GP1BA	15791	-2.8445708751678467	-0.31391782	Yes	
row_26	PLCB1	15913	-2.96479868888855	-0.25197017	Yes	
row_27	FUT4	16220	-3.6025025844573975	-0.18633051	Yes	
row_28	IL1R1	16242	-3.68390154838562	-0.10152023	Yes	
row_29	MDK	16505	-5.096524238586426	0.0016966353	Yes	
