NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.021913517	Yes	
row_1	DLGAP5	111	2.7538352012634277	0.04469712	Yes	
row_2	CENPE	202	2.42108154296875	0.061065033	Yes	
row_3	NDC80	326	2.090451955795288	0.07243793	Yes	
row_4	BUB1	352	2.0493004322052	0.089411	Yes	
row_5	FBXO5	389	2.0054757595062256	0.10531824	Yes	
row_6	CDK5RAP2	392	1.9999853372573853	0.123247705	Yes	
row_7	BUB1B	407	1.9812971353530884	0.14027728	Yes	
row_8	NCAPD3	416	1.9728038311004639	0.1575958	Yes	
row_9	NCAPG2	534	1.8403966426849365	0.16707738	Yes	
row_10	HNRNPU	588	1.7954435348510742	0.18005303	Yes	
row_11	MAD2L1	637	1.7587370872497559	0.19300205	Yes	
row_12	SMC2	806	1.6461738348007202	0.19762294	Yes	
row_13	BRD7	893	1.6005898714065552	0.20682906	Yes	
row_14	KIF2C	974	1.5621235370635986	0.21605359	Yes	
row_15	CCNB1	1053	1.5094741582870483	0.22492479	Yes	
row_16	SPDL1	1117	1.4752575159072876	0.23440118	Yes	
row_17	NUF2	1171	1.4562855958938599	0.24431568	Yes	
row_18	TTK	1206	1.4387962818145752	0.2552301	Yes	
row_19	ANAPC4	1272	1.4171490669250488	0.26406014	Yes	
row_20	CUL3	1273	1.417083501815796	0.27685037	Yes	
row_21	SIRT2	1274	1.4154616594314575	0.28962594	Yes	
row_22	NCAPH	1515	1.3176079988479614	0.286894	Yes	
row_23	RB1	1558	1.3027392625808716	0.29609293	Yes	
row_24	DPF1	1657	1.270153284072876	0.30158538	Yes	
row_25	CDC16	1660	1.2684545516967773	0.31291226	Yes	
row_26	SMC5	1756	1.230399250984192	0.3182287	Yes	
row_27	SPC25	1898	1.1843401193618774	0.32032645	Yes	
row_28	RAD21	2266	1.0654878616333008	0.3075802	Yes	
row_29	PUM2	2288	1.0583990812301636	0.3158534	Yes	
row_30	ZWILCH	2292	1.0569835901260376	0.32521066	Yes	
row_31	CDC27	2349	1.043047308921814	0.33121258	Yes	
row_32	SPC24	2384	1.0339187383651733	0.33847266	Yes	
row_33	SMARCD3	2504	1.0045192241668701	0.34028795	Yes	
row_34	BIRC5	2600	0.9832806587219238	0.34337398	Yes	
row_35	SMARCA2	2643	0.9705095291137695	0.3495743	Yes	
row_36	ZNF207	2712	0.9537450075149536	0.35403898	Yes	
row_37	CENPF	2724	0.9507784247398376	0.36195016	Yes	
row_38	SMARCC1	2726	0.9505802392959595	0.3704689	Yes	
row_39	SMARCD1	2955	0.9011098146438599	0.36470896	Yes	
row_40	MKI67	3035	0.8826358318328857	0.36786157	Yes	
row_41	CDC23	3040	0.8818792104721069	0.37557742	Yes	
row_42	APC	3099	0.867809534072876	0.37987584	Yes	
row_43	CDCA8	3127	0.86063551902771	0.38599846	Yes	
row_44	BECN1	3130	0.8597574830055237	0.39363652	Yes	
row_45	NCAPG	3170	0.851695716381073	0.39894727	Yes	
row_46	NSMCE2	3251	0.8317928314208984	0.40158004	Yes	
row_47	NEK6	3265	0.8283872008323669	0.40826467	Yes	
row_48	SMARCC2	3270	0.8272517919540405	0.4154875	Yes	
row_49	ANAPC7	3330	0.8150379061698914	0.41924867	Yes	
row_50	CDCA2	3347	0.8117464184761047	0.42560032	Yes	
row_51	KAT5	3405	0.801954448223114	0.42936525	Yes	
row_52	DYNC1LI1	3454	0.7912907004356384	0.43358237	Yes	
row_53	LCMT1	3463	0.7887195348739624	0.44021365	Yes	
row_54	RCC2	3466	0.7885487675666809	0.44720903	Yes	
row_55	SMARCE1	3575	0.767238199710846	0.44755295	Yes	
row_56	C9orf78	3658	0.7496141195297241	0.44932213	Yes	
row_57	BCL7A	3704	0.7392803430557251	0.4532526	Yes	
row_58	HASPIN	3730	0.7320452928543091	0.4583365	Yes	
row_59	RMI2	3878	0.7024467587471008	0.45571917	Yes	
row_60	PBRM1	3889	0.7004510164260864	0.46143192	Yes	
row_61	SMC6	3896	0.69978266954422	0.46738237	Yes	
row_62	MAP3K20	3903	0.6981039643287659	0.47331765	Yes	
row_63	GEN1	3988	0.6824248433113098	0.47435853	Yes	
row_64	ANAPC15	4037	0.6725160479545593	0.4775036	Yes	
row_65	SMC4	4308	0.6223707795143127	0.46666858	Yes	
row_66	DPF3	4315	0.6207679510116577	0.47190586	Yes	
row_67	ARID1B	4326	0.6195804476737976	0.4768887	Yes	
row_68	ACTB	4379	0.6108660697937012	0.4792336	Yes	
row_69	AURKB	4424	0.6027894020080566	0.48199308	Yes	
row_70	CDC20	4560	0.577100396156311	0.47897565	Yes	
row_71	DUSP1	4673	0.5585846900939941	0.47719258	Yes	
row_72	IK	4946	0.5125366449356079	0.46524435	Yes	
row_73	PLK1	4974	0.5083270072937012	0.46818715	Yes	
row_74	NCAPD2	5002	0.5028207302093506	0.47108024	Yes	
row_75	TACC3	5005	0.501806378364563	0.47548753	Yes	
row_76	PUM1	5040	0.49580898880958557	0.4778908	Yes	
row_77	CSNK2A1	5064	0.4926435053348541	0.48093575	Yes	
row_78	CDK1	5118	0.4838193953037262	0.48207304	Yes	
row_79	PSMG2	5269	0.45601508021354675	0.47704872	No	
row_80	ZWINT	5352	0.4371691346168518	0.47599784	No	
row_81	DPF2	5355	0.43697959184646606	0.47982	No	
row_82	KNL1	5397	0.42742255330085754	0.4811795	No	
row_83	RAD18	5737	0.3648686110973358	0.46381584	No	
row_84	ZW10	5750	0.3625347912311554	0.46635675	No	
row_85	PHF10	6133	0.2925596833229065	0.44572026	No	
row_86	SMARCB1	6151	0.28863924741744995	0.44728956	No	
row_87	RIOK2	6211	0.27922555804252625	0.44621462	No	
row_88	PCID2	6215	0.27758997678756714	0.44853726	No	
row_89	ANAPC5	7091	0.1286025047302246	0.3963801	No	
row_90	ARID2	7108	0.1258665770292282	0.39654118	No	
row_91	UBE2C	7154	0.11832567304372787	0.3948671	No	
row_92	ESPL1	7335	0.08502823114395142	0.3846663	No	
row_93	CSNK2A2	7438	0.06845592707395554	0.37906882	No	
row_94	TPR	7487	0.06012043356895447	0.37668657	No	
row_95	KLHL22	7740	0.009096384979784489	0.36141312	No	
row_96	INCENP	7753	0.006659762002527714	0.360742	No	
row_97	ACTL6A	7855	-0.01246714685112238	0.35470012	No	
row_98	PLSCR1	8306	-0.09536459296941757	0.32814023	No	
row_99	ANAPC11	8315	-0.09721879661083221	0.32853022	No	
row_100	MAD2L1BP	8593	-0.14759063720703125	0.31298342	No	
row_101	CDC6	8644	-0.15602898597717285	0.31134495	No	
row_102	TRIP13	8892	-0.20342253148555756	0.29813012	No	
row_103	ATM	9244	-0.278315931558609	0.27925402	No	
row_104	BCL7B	9504	-0.32856881618499756	0.2664375	No	
row_105	BUB3	9611	-0.3521343469619751	0.26315668	No	
row_106	MAD2L2	9740	-0.38227400183677673	0.25880736	No	
row_107	SMARCA4	9866	-0.4127880930900574	0.25491622	No	
row_108	ANAPC1	9891	-0.4169706702232361	0.25721726	No	
row_109	ACTL6B	10262	-0.5024521946907043	0.2392064	No	
row_110	KNTC1	10727	-0.6116480827331543	0.21645325	No	
row_111	TEX14	11244	-0.7439023852348328	0.1917252	No	
row_112	CHFR	11704	-0.8571274280548096	0.17149237	No	
row_113	SMARCD2	12251	-1.0174140930175781	0.14740491	No	
row_114	NCAPH2	12295	-1.031577229499817	0.15409546	No	
row_115	NUMA1	12463	-1.0888692140579224	0.1537472	No	
row_116	XRCC3	12749	-1.1873751878738403	0.14709772	No	
row_117	MAD1L1	13216	-1.3585014343261719	0.13096361	No	
row_118	BCL7C	13361	-1.4068284034729004	0.13488667	No	
row_119	IHO1	13372	-1.4100632667541504	0.14700417	No	
row_120	HECW2	13528	-1.4677050113677979	0.15080641	No	
row_121	ANAPC2	13738	-1.5632082223892212	0.15218015	No	
row_122	ARID1A	14691	-2.0022079944610596	0.11224168	No	
