NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.056126736	Yes	
row_1	NDC80	326	2.090451955795288	0.08419178	Yes	
row_2	BUB1	352	2.0493004322052	0.12499753	Yes	
row_3	FBXO5	389	2.0054757595062256	0.16423081	Yes	
row_4	CDK5RAP2	392	1.9999853372573853	0.20541357	Yes	
row_5	BUB1B	407	1.9812971353530884	0.2454823	Yes	
row_6	HNRNPU	588	1.7954435348510742	0.27164114	Yes	
row_7	MAD2L1	637	1.7587370872497559	0.30505067	Yes	
row_8	CCNB1	1053	1.5094741582870483	0.31104565	Yes	
row_9	SPDL1	1117	1.4752575159072876	0.3376906	Yes	
row_10	NUF2	1171	1.4562855958938599	0.36455047	Yes	
row_11	TTK	1206	1.4387962818145752	0.39220193	Yes	
row_12	SPC25	1898	1.1843401193618774	0.37473664	Yes	
row_13	RAD21	2266	1.0654878616333008	0.37447459	Yes	
row_14	ZWILCH	2292	1.0569835901260376	0.3947868	Yes	
row_15	SPC24	2384	1.0339187383651733	0.41061834	Yes	
row_16	BIRC5	2600	0.9832806587219238	0.4178807	Yes	
row_17	ZNF207	2712	0.9537450075149536	0.43084303	Yes	
row_18	CENPF	2724	0.9507784247398376	0.44981128	Yes	
row_19	APC	3099	0.867809534072876	0.44504204	Yes	
row_20	CDCA8	3127	0.86063551902771	0.46117792	Yes	
row_21	BECN1	3130	0.8597574830055237	0.47881246	Yes	
row_22	KAT5	3405	0.801954448223114	0.47875038	Yes	
row_23	DYNC1LI1	3454	0.7912907004356384	0.49218	Yes	
row_24	LCMT1	3463	0.7887195348739624	0.5079834	Yes	
row_25	HASPIN	3730	0.7320452928543091	0.50696295	Yes	
row_26	GEN1	3988	0.6824248433113098	0.5054637	Yes	
row_27	ANAPC15	4037	0.6725160479545593	0.5164404	Yes	
row_28	AURKB	4424	0.6027894020080566	0.50546986	Yes	
row_29	CDC20	4560	0.577100396156311	0.5091975	Yes	
row_30	DUSP1	4673	0.5585846900939941	0.5139382	Yes	
row_31	IK	4946	0.5125366449356079	0.50802034	Yes	
row_32	PLK1	4974	0.5083270072937012	0.5168803	Yes	
row_33	CDK1	5118	0.4838193953037262	0.51819605	Yes	
row_34	PSMG2	5269	0.45601508021354675	0.51851296	Yes	
row_35	ZWINT	5352	0.4371691346168518	0.5225663	Yes	
row_36	KNL1	5397	0.42742255330085754	0.52872396	Yes	
row_37	ZW10	5750	0.3625347912311554	0.5148545	No	
row_38	PCID2	6215	0.27758997678756714	0.4924354	No	
row_39	TPR	7487	0.06012043356895447	0.4165626	No	
row_40	KLHL22	7740	0.009096384979784489	0.40146104	No	
row_41	INCENP	7753	0.006659762002527714	0.4008705	No	
row_42	MAD2L1BP	8593	-0.14759063720703125	0.35301456	No	
row_43	TRIP13	8892	-0.20342253148555756	0.33913535	No	
row_44	ATM	9244	-0.278315931558609	0.32358724	No	
row_45	BUB3	9611	-0.3521343469619751	0.30865353	No	
row_46	MAD2L2	9740	-0.38227400183677673	0.30878228	No	
row_47	KNTC1	10727	-0.6116480827331543	0.26159135	No	
row_48	TEX14	11244	-0.7439023852348328	0.24564767	No	
row_49	NUMA1	12463	-1.0888692140579224	0.19423641	No	
row_50	XRCC3	12749	-1.1873751878738403	0.20146672	No	
row_51	MAD1L1	13216	-1.3585014343261719	0.20124951	No	
