NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX5	125	2.690777540206909	0.024880972	Yes	
row_1	UPF3A	214	2.3718459606170654	0.048162337	Yes	
row_2	HNRNPU	588	1.7954435348510742	0.04714817	Yes	
row_3	RBMX	643	1.7569706439971924	0.06507461	Yes	
row_4	LARP7	692	1.7193223237991333	0.08291152	Yes	
row_5	TRA2B	718	1.701136827468872	0.101927996	Yes	
row_6	CIRBP	832	1.6371679306030273	0.114819065	Yes	
row_7	RBPMS	862	1.6259665489196777	0.13268471	Yes	
row_8	SRPK2	906	1.5935087203979492	0.14930686	Yes	
row_9	TIA1	964	1.5651366710662842	0.16473487	Yes	
row_10	RBM7	989	1.5525981187820435	0.18201892	Yes	
row_11	RBM23	1163	1.4603670835494995	0.18912567	Yes	
row_12	YTHDC1	1189	1.4461383819580078	0.20506364	Yes	
row_13	HNRNPA2B1	1359	1.3767750263214111	0.21140455	Yes	
row_14	WTAP	1417	1.3541752099990845	0.22428568	Yes	
row_15	NOVA1	1432	1.3474867343902588	0.2397018	Yes	
row_16	CELF6	1572	1.2971630096435547	0.2469065	Yes	
row_17	RBM4	1602	1.2868868112564087	0.26067856	Yes	
row_18	CLNS1A	1749	1.2333570718765259	0.26668712	Yes	
row_19	CELF5	1787	1.220532774925232	0.27917147	Yes	
row_20	SAP18	1809	1.2124764919281006	0.29253182	Yes	
row_21	ARB2A	1859	1.1958730220794678	0.3039885	Yes	
row_22	CELF2	1972	1.1588562726974487	0.3111659	Yes	
row_23	SON	1984	1.1548855304718018	0.3244393	Yes	
row_24	HNRNPK	2205	1.0837666988372803	0.32414043	Yes	
row_25	TRA2A	2227	1.0760730504989624	0.33585405	Yes	
row_26	SRPK1	2306	1.0540364980697632	0.34383425	Yes	
row_27	METTL16	2323	1.0500293970108032	0.3555376	Yes	
row_28	SRSF7	2405	1.0306408405303955	0.36305287	Yes	
row_29	RBMXL1	2565	0.993020236492157	0.36536914	Yes	
row_30	MAGOH	2566	0.9924353361129761	0.37735048	Yes	
row_31	FMR1	2648	0.9680750370025635	0.38411042	Yes	
row_32	KHDRBS1	2669	0.9631375074386597	0.39452145	Yes	
row_33	PRMT5	2693	0.9587166905403137	0.40469658	Yes	
row_34	RBM5	2734	0.946840763092041	0.41369423	Yes	
row_35	NCL	2783	0.936888575553894	0.42208508	Yes	
row_36	NOVA2	2827	0.9282100796699524	0.43067533	Yes	
row_37	HNRNPA1	3126	0.8608503937721252	0.42294043	Yes	
row_38	REST	3142	0.8577909469604492	0.4323838	Yes	
row_39	RBM39	3164	0.8527295589447021	0.44140106	Yes	
row_40	QKI	3352	0.8102723956108093	0.43980783	Yes	
row_41	HSPA8	3370	0.8078862428665161	0.44852704	Yes	
row_42	UPF3B	3461	0.788833498954773	0.45257556	Yes	
row_43	DDX17	3527	0.7777194976806641	0.4580107	Yes	
row_44	SRSF6	3639	0.7525627613067627	0.4603439	Yes	
row_45	SMU1	3746	0.728641927242279	0.46269247	Yes	
row_46	NSRP1	3960	0.6869533658027649	0.45802882	No	
row_47	RBM8A	4218	0.639216423034668	0.4501123	No	
row_48	SRSF12	4274	0.6286145448684692	0.45435566	No	
row_49	SF1	4433	0.6008429527282715	0.45199814	No	
row_50	SRSF10	4509	0.5862933397293091	0.45451394	No	
row_51	CWC22	4695	0.553640604019165	0.44994414	No	
row_52	RBM3	5013	0.5006389021873474	0.43670475	No	
row_53	SRSF3	5019	0.49963250756263733	0.4424325	No	
row_54	SNW1	5110	0.4860857427120209	0.44282606	No	
row_55	PRDX6	5331	0.4406650960445404	0.43476325	No	
row_56	SRRM1	5391	0.4286126494407654	0.43634874	No	
row_57	RBFOX2	5509	0.4066442847251892	0.43414077	No	
row_58	PRPF19	5614	0.3880596160888672	0.43249926	No	
row_59	THRAP3	5639	0.3838101923465729	0.43567294	No	
row_60	EXOSC10	6042	0.31153568625450134	0.41497996	No	
row_61	KHDRBS3	6129	0.29298558831214905	0.4132856	No	
row_62	NCBP1	6263	0.2702759802341461	0.40845805	No	
row_63	SF3B4	6512	0.2270476073026657	0.39611304	No	
row_64	RBM25	6765	0.1853030025959015	0.38302076	No	
row_65	RBPMS2	6805	0.17736463248729706	0.3827896	No	
row_66	NUP98	6936	0.15589672327041626	0.37676367	No	
row_67	DYRK1A	7098	0.12695340812206268	0.36850256	No	
row_68	PCBP4	7099	0.1268332153558731	0.37003377	No	
row_69	EIF1	7447	0.06761690229177475	0.34974173	No	
row_70	WDR77	7501	0.05692990869283676	0.34720498	No	
row_71	CELF1	7595	0.038759879767894745	0.34201565	No	
row_72	U2AF2	7729	0.010507887229323387	0.334052	No	
row_73	RBM15B	8017	-0.03789835795760155	0.31705105	No	
row_74	SRSF4	8070	-0.0488935224711895	0.3144781	No	
row_75	RBM20	8143	-0.06157920882105827	0.3108417	No	
row_76	C1QBP	8526	-0.13494068384170532	0.2892334	No	
row_77	PUF60	8699	-0.16628414392471313	0.28077793	No	
row_78	RNPS1	8830	-0.1915331780910492	0.27518225	No	
row_79	SRSF9	9034	-0.2317524403333664	0.2656314	No	
row_80	RBM24	9433	-0.3134995698928833	0.24520548	No	
row_81	SNRNP70	10115	-0.46778345108032227	0.20942698	No	
row_82	RBM10	10654	-0.5956263542175293	0.18389073	No	
row_83	PTBP1	11281	-0.7540019154548645	0.15491337	No	
row_84	DAZAP1	11626	-0.8387554883956909	0.14411353	No	
row_85	UPF1	12101	-0.9711413979530334	0.12700392	No	
row_86	CELF3	12205	-1.0012028217315674	0.13282551	No	
row_87	RBM42	12321	-1.0403623580932617	0.1383899	No	
row_88	RBM47	12381	-1.0566225051879883	0.14755711	No	
row_89	HNRNPL	12618	-1.1383147239685059	0.1469435	No	
row_90	SRSF2	12735	-1.1792716979980469	0.15412405	No	
row_91	SFSWAP	12785	-1.1978577375411987	0.16560467	No	
row_92	ZBTB7A	13885	-1.6219841241836548	0.118333116	No	
row_93	JMJD6	14117	-1.7267271280288696	0.12512736	No	
row_94	RBM15	14293	-1.8040333986282349	0.13626142	No	
