NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2	3271	0.8272517919540405	-0.18073338	No	
row_1	HDAC3	3731	0.7316310405731201	-0.19305742	No	
row_2	MAPK14	5014	0.500618577003479	-0.2601561	No	
row_3	BDNF	5240	0.4614582359790802	-0.26401967	No	
row_4	FBXO22	5526	0.4038665294647217	-0.27273962	No	
row_5	MAML1	5865	0.3442380130290985	-0.2859348	No	
row_6	PLPP7	6155	0.2880980968475342	-0.29734913	No	
row_7	NLN	6202	0.28037652373313904	-0.29419884	No	
row_8	DMPK	7170	0.11451885849237442	-0.35038298	No	
row_9	HDAC1	7216	0.10711921006441116	-0.35084164	No	
row_10	HDAC9	8031	-0.040530309081077576	-0.39931956	No	
row_11	TBX1	8594	-0.1476176232099533	-0.4302557	No	
row_12	ATP11A	8875	-0.20005689561367035	-0.44298926	No	
row_13	RBM24	9433	-0.3134995698928833	-0.47010902	No	
row_14	SHOX2	10228	-0.4950811564922333	-0.5077474	No	
row_15	MTOR	11513	-0.813592791557312	-0.5683385	No	
row_16	TMEM119	11554	-0.8226652145385742	-0.553339	No	
row_17	CYP26B1	11758	-0.8735494613647461	-0.54714113	No	
row_18	HDAC5	12781	-1.1965028047561646	-0.58374256	Yes	
row_19	HDAC4	12962	-1.2624353170394897	-0.5679141	Yes	
row_20	MMP14	13188	-1.3458253145217896	-0.55304694	Yes	
row_21	XBP1	13201	-1.3501906394958496	-0.5251775	Yes	
row_22	CCN3	13756	-1.5721434354782104	-0.5254575	Yes	
row_23	NOTCH1	14139	-1.7407827377319336	-0.5117409	Yes	
row_24	RBM38	14362	-1.8425300121307373	-0.4861718	Yes	
row_25	PIEZO1	15049	-2.2251672744750977	-0.4806214	Yes	
row_26	NIBAN2	15335	-2.4443857669830322	-0.44612348	Yes	
row_27	LMOD3	15428	-2.512510061264038	-0.398485	Yes	
row_28	ACTN3	15454	-2.5323846340179443	-0.34636477	Yes	
row_29	BHLHE41	15475	-2.5494208335876465	-0.29358065	Yes	
row_30	BHLHA15	15599	-2.6505351066589355	-0.24489774	Yes	
row_31	MAMSTR	15957	-3.0344221591949463	-0.20226684	Yes	
row_32	TRIM72	16120	-3.3541181087493896	-0.14104594	Yes	
row_33	SIK1	16150	-3.4141452312469482	-0.07049258	Yes	
row_34	NKX2-5	16451	-4.421444416046143	0.004969977	Yes	
