NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD3	5403	0.4265766739845276	-0.31407854	No	
row_1	IL16	6913	0.16031867265701294	-0.40052518	No	
row_2	F3	7005	0.14459872245788574	-0.40157008	No	
row_3	AGER	7621	0.03392111510038376	-0.43777236	No	
row_4	NTRK3	7642	0.02893349900841713	-0.43808994	No	
row_5	S1PR1	8970	-0.2195342630147934	-0.5116837	No	
row_6	F2RL1	9117	-0.25056368112564087	-0.5127865	No	
row_7	VEGFD	10364	-0.5250389575958252	-0.57203656	No	
row_8	VEGFA	10669	-0.5986935496330261	-0.57195497	No	
row_9	ITGA2	11269	-0.751487672328949	-0.5850213	No	
row_10	ANGPT2	12705	-1.1687836647033691	-0.63583267	Yes	
row_11	CASR	13332	-1.398801326751709	-0.63053775	Yes	
row_12	FGF10	13342	-1.4017850160598755	-0.58777934	Yes	
row_13	VEGFC	13561	-1.4826284646987915	-0.5551826	Yes	
row_14	AZU1	14007	-1.6712738275527954	-0.53050745	Yes	
row_15	ARTN	14120	-1.7283501625061035	-0.4838996	Yes	
row_16	SCG2	14312	-1.8185876607894897	-0.4392891	Yes	
row_17	CXCL12	14752	-2.037522315979004	-0.40293655	Yes	
row_18	VEGFB	15014	-2.2033636569976807	-0.35067955	Yes	
row_19	CDH13	15351	-2.457639217376709	-0.29511023	Yes	
row_20	KDR	15647	-2.6903090476989746	-0.22987	Yes	
row_21	CCR4	15774	-2.824213743209839	-0.15025702	Yes	
row_22	CXCL8	15951	-3.0236406326293945	-0.06751187	Yes	
row_23	PGF	16109	-3.3246054649353027	0.025681406	Yes	
