NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.028463745	Yes	
row_1	DLGAP5	111	2.7538352012634277	0.05737758	Yes	
row_2	CENPE	202	2.42108154296875	0.07914012	Yes	
row_3	NDC80	326	2.090451955795288	0.0951748	Yes	
row_4	BUB1	352	2.0493004322052	0.11670973	Yes	
row_5	FBXO5	389	2.0054757595062256	0.13708226	Yes	
row_6	CDK5RAP2	392	1.9999853372573853	0.1594619	Yes	
row_7	BUB1B	407	1.9812971353530884	0.1809011	Yes	
row_8	HNRNPU	588	1.7954435348510742	0.19014828	Yes	
row_9	MAD2L1	637	1.7587370872497559	0.20701462	Yes	
row_10	BRD7	893	1.6005898714065552	0.20950586	Yes	
row_11	CCNB1	1053	1.5094741582870483	0.2168135	Yes	
row_12	SPDL1	1117	1.4752575159072876	0.22957775	Yes	
row_13	NUF2	1171	1.4562855958938599	0.24273704	Yes	
row_14	TTK	1206	1.4387962818145752	0.2568557	Yes	
row_15	ANAPC4	1272	1.4171490669250488	0.2688445	Yes	
row_16	CUL3	1273	1.417083501815796	0.28478774	Yes	
row_17	RB1	1558	1.3027392625808716	0.2821633	Yes	
row_18	DPF1	1657	1.270153284072876	0.2904902	Yes	
row_19	CDC16	1660	1.2684545516967773	0.30463958	Yes	
row_20	SPC25	1898	1.1843401193618774	0.30354297	Yes	
row_21	RAD21	2266	1.0654878616333008	0.29319876	Yes	
row_22	ZWILCH	2292	1.0569835901260376	0.3035694	Yes	
row_23	CDC27	2349	1.043047308921814	0.3118969	Yes	
row_24	SPC24	2384	1.0339187383651733	0.32146037	Yes	
row_25	SMARCD3	2504	1.0045192241668701	0.32552087	Yes	
row_26	BIRC5	2600	0.9832806587219238	0.33080283	Yes	
row_27	SMARCA2	2643	0.9705095291137695	0.33916613	Yes	
row_28	ZNF207	2712	0.9537450075149536	0.3457587	Yes	
row_29	CENPF	2724	0.9507784247398376	0.35578632	Yes	
row_30	SMARCC1	2726	0.9505802392959595	0.36642024	Yes	
row_31	SMARCD1	2955	0.9011098146438599	0.36268473	Yes	
row_32	CDC23	3040	0.8818792104721069	0.36749518	Yes	
row_33	APC	3099	0.867809534072876	0.3737294	Yes	
row_34	CDCA8	3127	0.86063551902771	0.38176927	Yes	
row_35	BECN1	3130	0.8597574830055237	0.3913205	Yes	
row_36	NSMCE2	3251	0.8317928314208984	0.39337686	Yes	
row_37	NEK6	3265	0.8283872008323669	0.40190578	Yes	
row_38	SMARCC2	3270	0.8272517919540405	0.4109696	Yes	
row_39	ANAPC7	3330	0.8150379061698914	0.41654927	Yes	
row_40	KAT5	3405	0.801954448223114	0.421069	Yes	
row_41	DYNC1LI1	3454	0.7912907004356384	0.42705083	Yes	
row_42	LCMT1	3463	0.7887195348739624	0.43543774	Yes	
row_43	SMARCE1	3575	0.767238199710846	0.43731543	Yes	
row_44	BCL7A	3704	0.7392803430557251	0.4378442	Yes	
row_45	HASPIN	3730	0.7320452928543091	0.444559	Yes	
row_46	RMI2	3878	0.7024467587471008	0.44351718	Yes	
row_47	PBRM1	3889	0.7004510164260864	0.4507893	Yes	
row_48	MAP3K20	3903	0.6981039643287659	0.45785245	Yes	
row_49	GEN1	3988	0.6824248433113098	0.46041888	Yes	
row_50	ANAPC15	4037	0.6725160479545593	0.46506444	Yes	
row_51	DPF3	4315	0.6207679510116577	0.45519322	Yes	
row_52	ARID1B	4326	0.6195804476737976	0.46155548	Yes	
row_53	ACTB	4379	0.6108660697937012	0.46526402	Yes	
row_54	AURKB	4424	0.6027894020080566	0.46936846	Yes	
row_55	CDC20	4560	0.577100396156311	0.4676466	No	
row_56	DUSP1	4673	0.5585846900939941	0.46711597	No	
row_57	IK	4946	0.5125366449356079	0.45633134	No	
row_58	PLK1	4974	0.5083270072937012	0.46040747	No	
row_59	TACC3	5005	0.501806378364563	0.46422768	No	
row_60	CDK1	5118	0.4838193953037262	0.46285588	No	
row_61	PSMG2	5269	0.45601508021354675	0.45885897	No	
row_62	ZWINT	5352	0.4371691346168518	0.4587878	No	
row_63	DPF2	5355	0.43697959184646606	0.46358243	No	
row_64	KNL1	5397	0.42742255330085754	0.46589643	No	
row_65	ZW10	5750	0.3625347912311554	0.4485562	No	
row_66	PHF10	6133	0.2925596833229065	0.42860323	No	
row_67	SMARCB1	6151	0.28863924741744995	0.4308162	No	
row_68	RIOK2	6211	0.27922555804252625	0.4303676	No	
row_69	PCID2	6215	0.27758997678756714	0.43330812	No	
row_70	ANAPC5	7091	0.1286025047302246	0.38151175	No	
row_71	ARID2	7108	0.1258665770292282	0.38195422	No	
row_72	UBE2C	7154	0.11832567304372787	0.38054726	No	
row_73	ESPL1	7335	0.08502823114395142	0.370551	No	
row_74	TPR	7487	0.06012043356895447	0.36203912	No	
row_75	KLHL22	7740	0.009096384979784489	0.3468074	No	
row_76	INCENP	7753	0.006659762002527714	0.34615213	No	
row_77	ACTL6A	7855	-0.01246714685112238	0.3401466	No	
row_78	ANAPC11	8315	-0.09721879661083221	0.31331047	No	
row_79	MAD2L1BP	8593	-0.14759063720703125	0.2981157	No	
row_80	CDC6	8644	-0.15602898597717285	0.29682866	No	
row_81	TRIP13	8892	-0.20342253148555756	0.2840875	No	
row_82	ATM	9244	-0.278315931558609	0.26586062	No	
row_83	BCL7B	9504	-0.32856881618499756	0.25379723	No	
row_84	BUB3	9611	-0.3521343469619751	0.25130898	No	
row_85	MAD2L2	9740	-0.38227400183677673	0.24782112	No	
row_86	SMARCA4	9866	-0.4127880930900574	0.24485911	No	
row_87	ANAPC1	9891	-0.4169706702232361	0.24808995	No	
row_88	ACTL6B	10262	-0.5024521946907043	0.23122862	No	
row_89	KNTC1	10727	-0.6116480827331543	0.20987597	No	
row_90	TEX14	11244	-0.7439023852348328	0.18684712	No	
row_91	CHFR	11704	-0.8571274280548096	0.16856055	No	
row_92	SMARCD2	12251	-1.0174140930175781	0.14678341	No	
row_93	NUMA1	12463	-1.0888692140579224	0.14619477	No	
row_94	XRCC3	12749	-1.1873751878738403	0.14221154	No	
row_95	MAD1L1	13216	-1.3585014343261719	0.12913986	No	
row_96	BCL7C	13361	-1.4068284034729004	0.13620542	No	
row_97	HECW2	13528	-1.4677050113677979	0.1426172	No	
row_98	ANAPC2	13738	-1.5632082223892212	0.14748693	No	
row_99	ARID1A	14691	-2.0022079944610596	0.11208459	No	
