NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.010384646	Yes	
row_1	DLGAP5	111	2.7538352012634277	0.022387324	Yes	
row_2	CENPE	202	2.42108154296875	0.029253868	Yes	
row_3	KIF15	283	2.1850290298461914	0.035526056	Yes	
row_4	PRC1	323	2.0979630947113037	0.04386695	Yes	
row_5	NDC80	326	2.090451955795288	0.05443825	Yes	
row_6	CHMP3	328	2.0883076190948486	0.06505989	Yes	
row_7	BUB1	352	2.0493004322052	0.074132964	Yes	
row_8	CENPK	380	2.0168566703796387	0.082794785	Yes	
row_9	FBXO5	389	2.0054757595062256	0.09256346	Yes	
row_10	CDK5RAP2	392	1.9999853372573853	0.102671966	Yes	
row_11	BUB1B	407	1.9812971353530884	0.111949034	Yes	
row_12	NCAPD3	416	1.9728038311004639	0.12155057	Yes	
row_13	KIF18A	432	1.946377158164978	0.13058768	Yes	
row_14	TOP2A	437	1.9412966966629028	0.14027332	Yes	
row_15	NCAPG2	534	1.8403966426849365	0.14380139	Yes	
row_16	HNRNPU	588	1.7954435348510742	0.14973624	Yes	
row_17	KIF2A	614	1.771934151649475	0.15726776	Yes	
row_18	MAD2L1	637	1.7587370872497559	0.16491576	Yes	
row_19	TOP2B	639	1.758270502090454	0.17384906	Yes	
row_20	NEK2	652	1.7499909400939941	0.18206549	Yes	
row_21	NUSAP1	656	1.745894193649292	0.19081284	Yes	
row_22	LSM14A	668	1.7378584146499634	0.19902854	Yes	
row_23	KIF14	761	1.6754482984542847	0.20195808	Yes	
row_24	CCDC61	794	1.6513019800186157	0.20844325	Yes	
row_25	SMC2	806	1.6461738348007202	0.21618992	Yes	
row_26	KIF4A	833	1.6369725465774536	0.22296973	Yes	
row_27	BRD7	893	1.6005898714065552	0.22753987	Yes	
row_28	KIF4B	947	1.5750023126602173	0.23234703	Yes	
row_29	KIF2C	974	1.5621235370635986	0.23874393	Yes	
row_30	SKA2	1008	1.5403611660003662	0.24460027	Yes	
row_31	CHMP2B	1011	1.5384153127670288	0.25234756	Yes	
row_32	CCNB1	1053	1.5094741582870483	0.25755534	Yes	
row_33	SPDL1	1117	1.4752575159072876	0.26123905	Yes	
row_34	CCSAP	1129	1.469913125038147	0.26808402	Yes	
row_35	CHAMP1	1131	1.4690009355545044	0.27553755	Yes	
row_36	NUF2	1171	1.4562855958938599	0.28059587	Yes	
row_37	TTK	1206	1.4387962818145752	0.28587133	Yes	
row_38	ANAPC4	1272	1.4171490669250488	0.28913513	Yes	
row_39	CUL3	1273	1.417083501815796	0.29638436	Yes	
row_40	CENPI	1316	1.3961796760559082	0.30095127	Yes	
row_41	CHMP4C	1361	1.3755601644515991	0.30529	Yes	
row_42	RACGAP1	1378	1.3683065176010132	0.31130862	Yes	
row_43	MAP9	1410	1.3557708263397217	0.3163433	Yes	
row_44	CHEK2	1438	1.343977451324463	0.32156295	Yes	
row_45	NCAPH	1515	1.3176079988479614	0.32364303	Yes	
row_46	RB1	1558	1.3027392625808716	0.3277319	Yes	
row_47	SKA1	1606	1.286055326461792	0.33142886	Yes	
row_48	DPF1	1657	1.270153284072876	0.33486047	Yes	
row_49	STAG1	1659	1.2686861753463745	0.34128925	Yes	
row_50	CDC16	1660	1.2684545516967773	0.34777817	Yes	
row_51	KIF23	1836	1.2030878067016602	0.3432018	Yes	
row_52	SPC25	1898	1.1843401193618774	0.3455199	Yes	
row_53	SMARCA5	1920	1.175659418106079	0.3502464	Yes	
row_54	RMDN1	2035	1.1378424167633057	0.34907672	Yes	
row_55	SPAG5	2185	1.088996171951294	0.345511	Yes	
row_56	RAD21	2266	1.0654878616333008	0.34605604	Yes	
row_57	ZWILCH	2292	1.0569835901260376	0.34993017	Yes	
row_58	CDC27	2349	1.043047308921814	0.3518321	Yes	
row_59	SPC24	2384	1.0339187383651733	0.35503635	Yes	
row_60	SMARCD3	2504	1.0045192241668701	0.35287803	Yes	
row_61	KNSTRN	2564	0.9930570125579834	0.35434029	Yes	
row_62	BIRC5	2600	0.9832806587219238	0.35722417	Yes	
row_63	SMARCA2	2643	0.9705095291137695	0.3596135	Yes	
row_64	SKA3	2647	0.9690064191818237	0.3643866	Yes	
row_65	ZNF207	2712	0.9537450075149536	0.36534113	Yes	
row_66	CENPF	2724	0.9507784247398376	0.36953044	Yes	
row_67	SMARCC1	2726	0.9505802392959595	0.37433192	Yes	
row_68	CHMP2A	2736	0.9465341567993164	0.37862214	Yes	
row_69	KIF3B	2802	0.9328594207763672	0.3794085	Yes	
row_70	MZT1	2809	0.9314236640930176	0.3838054	Yes	
row_71	CHMP4A	2852	0.9235680103302002	0.38595456	Yes	
row_72	SMARCD1	2955	0.9011098146438599	0.3843097	Yes	
row_73	AAAS	2980	0.8959093689918518	0.38742116	Yes	
row_74	OFD1	3004	0.8900375366210938	0.39056388	Yes	
row_75	CDC23	3040	0.8818792104721069	0.39292905	Yes	
row_76	CLASP2	3042	0.8813846707344055	0.39737654	Yes	
row_77	APC	3099	0.867809534072876	0.39838204	Yes	
row_78	CDCA8	3127	0.86063551902771	0.40112907	Yes	
row_79	BECN1	3130	0.8597574830055237	0.40540463	Yes	
row_80	NCAPG	3170	0.851695716381073	0.4073701	Yes	
row_81	KIF22	3197	0.8447607159614563	0.41009724	Yes	
row_82	NSMCE2	3251	0.8317928314208984	0.41110244	Yes	
row_83	NEK6	3265	0.8283872008323669	0.414543	Yes	
row_84	SMARCC2	3270	0.8272517919540405	0.4185296	Yes	
row_85	STAG2	3321	0.8169875741004944	0.419643	Yes	
row_86	ANAPC7	3330	0.8150379061698914	0.42332187	Yes	
row_87	BAZ1B	3399	0.802722692489624	0.42325857	Yes	
row_88	KAT5	3405	0.801954448223114	0.42705446	Yes	
row_89	DYNC1LI1	3454	0.7912907004356384	0.42815906	Yes	
row_90	LCMT1	3463	0.7887195348739624	0.43170327	Yes	
row_91	SMARCE1	3575	0.767238199710846	0.42882168	Yes	
row_92	BCL7A	3704	0.7392803430557251	0.42475465	Yes	
row_93	HASPIN	3730	0.7320452928543091	0.42696652	Yes	
row_94	CHMP5	3863	0.7051129937171936	0.42247942	Yes	
row_95	RANGRF	3870	0.7036659121513367	0.42571118	Yes	
row_96	RMI2	3878	0.7024467587471008	0.4288754	Yes	
row_97	PBRM1	3889	0.7004510164260864	0.43184543	Yes	
row_98	KIF11	3893	0.7000072002410889	0.4352424	Yes	
row_99	MAP3K20	3903	0.6981039643287659	0.43826178	Yes	
row_100	NIPBL	3981	0.6837522983551025	0.43703797	Yes	
row_101	GEN1	3988	0.6824248433113098	0.44016108	Yes	
row_102	ANAPC15	4037	0.6725160479545593	0.44065806	Yes	
row_103	TPX2	4127	0.6540495753288269	0.43854648	Yes	
row_104	RAB11A	4145	0.6520413160324097	0.44083965	Yes	
row_105	KIFC1	4207	0.6404327154159546	0.44037536	Yes	
row_106	PIBF1	4251	0.6324313282966614	0.44097388	Yes	
row_107	VPS4B	4297	0.6235576868057251	0.44140437	Yes	
row_108	SMC4	4308	0.6223707795143127	0.44397497	Yes	
row_109	DPF3	4315	0.6207679510116577	0.44678268	Yes	
row_110	ARID1B	4326	0.6195804476737976	0.449339	Yes	
row_111	UHRF1	4340	0.6172966361045837	0.4516997	Yes	
row_112	ACTB	4379	0.6108660697937012	0.4524945	Yes	
row_113	MAPRE1	4400	0.6074020862579346	0.45437536	Yes	
row_114	AURKB	4424	0.6027894020080566	0.45604864	Yes	
row_115	DCTN2	4511	0.5856668949127197	0.45377117	No	
row_116	CDC20	4560	0.577100396156311	0.45378006	No	
row_117	DUSP1	4673	0.5585846900939941	0.44976977	No	
row_118	LATS1	4813	0.5328564047813416	0.44397223	No	
row_119	PPP2R1A	4837	0.5291846394538879	0.445269	No	
row_120	CEP97	4846	0.526800274848938	0.44747332	No	
row_121	PHF13	4865	0.5240363478660583	0.44905034	No	
row_122	IK	4946	0.5125366449356079	0.4467667	No	
row_123	PLK1	4974	0.5083270072937012	0.4477115	No	
row_124	NCAPD2	5002	0.5028207302093506	0.4486281	No	
row_125	TACC3	5005	0.501806378364563	0.45107248	No	
row_126	MIS12	5051	0.4940548539161682	0.4508405	No	
row_127	CDK1	5118	0.4838193953037262	0.44926846	No	
row_128	PSMG2	5269	0.45601508021354675	0.44240332	No	
row_129	ZWINT	5352	0.4371691346168518	0.4396115	No	
row_130	DPF2	5355	0.43697959184646606	0.44172427	No	
row_131	KPNB1	5361	0.4351217448711395	0.44364357	No	
row_132	KNL1	5397	0.42742255330085754	0.44368392	No	
row_133	SMC1A	5530	0.4034964442253113	0.43765387	No	
row_134	ZW10	5750	0.3625347912311554	0.42607945	No	
row_135	EML4	5774	0.35864222049713135	0.42650378	No	
row_136	VPS4A	5907	0.33730506896972656	0.4201351	No	
row_137	CENPC	6033	0.3133346140384674	0.41407305	No	
row_138	KIF18B	6078	0.3038804531097412	0.41292953	No	
row_139	CHMP1B	6123	0.29502981901168823	0.41174072	No	
row_140	PHF10	6133	0.2925596833229065	0.41268548	No	
row_141	SMARCB1	6151	0.28863924741744995	0.4131196	No	
row_142	CHMP4B	6174	0.28455784916877747	0.41322625	No	
row_143	RIOK2	6211	0.27922555804252625	0.41244715	No	
row_144	CDCA5	6213	0.2782454788684845	0.41380924	No	
row_145	PCID2	6215	0.27758997678756714	0.41516796	No	
row_146	BOD1	6397	0.24513818323612213	0.40532315	No	
row_147	MAP10	6406	0.2434508502483368	0.40607798	No	
row_148	RHOA	6419	0.24168339371681213	0.4065785	No	
row_149	SMC3	6492	0.23008327186107635	0.40334052	No	
row_150	AKAP8L	6561	0.21684354543685913	0.40028006	No	
row_151	NUP62	6580	0.21432650089263916	0.40027273	No	
row_152	NSL1	6713	0.19271734356880188	0.3931644	No	
row_153	MYBL2	6876	0.16524744033813477	0.38407597	No	
row_154	PRICKLE1	6918	0.1595781147480011	0.38237822	No	
row_155	POLDIP2	6932	0.15625058114528656	0.38238037	No	
row_156	AKAP8	6997	0.1458086222410202	0.37920183	No	
row_157	PDCD6IP	7008	0.14399243891239166	0.37932524	No	
row_158	ANAPC5	7091	0.1286025047302246	0.3749549	No	
row_159	ARID2	7108	0.1258665770292282	0.37461767	No	
row_160	BCCIP	7109	0.12573054432868958	0.37526086	No	
row_161	INO80	7139	0.12061609327793121	0.3740996	No	
row_162	UBE2C	7154	0.11832567304372787	0.37384644	No	
row_163	CEP55	7217	0.1069999560713768	0.370592	No	
row_164	SEH1L	7222	0.10639948397874832	0.37089103	No	
row_165	WAPL	7225	0.10616681724786758	0.3713115	No	
row_166	ABRAXAS1	7240	0.10323149710893631	0.37098113	No	
row_167	ESPL1	7335	0.08502823114395142	0.36565205	No	
row_168	CHMP1A	7429	0.06983818858861923	0.3603066	No	
row_169	TPR	7487	0.06012043356895447	0.35711893	No	
row_170	SPICE1	7540	0.04865705221891403	0.3541792	No	
row_171	PINX1	7715	0.014283855445683002	0.3435827	No	
row_172	KLHL22	7740	0.009096384979784489	0.34215754	No	
row_173	INCENP	7753	0.006659762002527714	0.3414558	No	
row_174	CHMP7	7850	-0.010984117165207863	0.3356253	No	
row_175	ACTL6A	7855	-0.01246714685112238	0.3354438	No	
row_176	DIS3L2	7899	-0.0190475732088089	0.3329045	No	
row_177	TUBG2	8119	-0.05800103768706322	0.31977218	No	
row_178	ANAPC11	8315	-0.09721879661083221	0.3083122	No	
row_179	PSRC1	8374	-0.10902636498212814	0.3053134	No	
row_180	NUDC	8388	-0.11149333417415619	0.3050866	No	
row_181	MAD2L1BP	8593	-0.14759063720703125	0.29333243	No	
row_182	CDC6	8644	-0.15602898597717285	0.29106462	No	
row_183	WRAP73	8677	-0.16274376213550568	0.28993493	No	
row_184	CEP192	8679	-0.1634656935930252	0.29070985	No	
row_185	TRIP13	8892	-0.20342253148555756	0.27875072	No	
row_186	ABRAXAS2	9205	-0.2690552771091461	0.2609954	No	
row_187	ATM	9244	-0.278315931558609	0.260089	No	
row_188	BCL7B	9504	-0.32856881618499756	0.24588805	No	
row_189	DRG1	9524	-0.33379530906677246	0.24643055	No	
row_190	TUBG1	9568	-0.3427485227584839	0.24554718	No	
row_191	BUB3	9611	-0.3521343469619751	0.24477313	No	
row_192	MAD2L2	9740	-0.38227400183677673	0.23887978	No	
