NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYNC2LI1	191	2.442026376724243	0.027003318	Yes	
row_1	TMEM67	193	2.439018726348877	0.06549522	Yes	
row_2	TMEM237	197	2.4276397228240967	0.10368583	Yes	
row_3	SPATA7	285	2.1752989292144775	0.1327876	Yes	
row_4	SEPTIN2	355	2.0460002422332764	0.1609385	Yes	
row_5	BBS4	441	1.9361332654953003	0.18638131	Yes	
row_6	UNC119B	450	1.9261157512664795	0.21634094	Yes	
row_7	CETN3	486	1.8927454948425293	0.24413376	Yes	
row_8	IFT122	788	1.657783031463623	0.25206202	Yes	
row_9	MACIR	826	1.6383336782455444	0.275712	Yes	
row_10	NPHP1	900	1.5970473289489746	0.29652363	Yes	
row_11	CCSAP	1129	1.469913125038147	0.3059146	Yes	
row_12	TTC8	1202	1.4410351514816284	0.3243209	Yes	
row_13	WDR19	1334	1.390341877937317	0.33834365	Yes	
row_14	BBS9	1340	1.3879868984222412	0.35997945	Yes	
row_15	KIFAP3	1477	1.3288525342941284	0.37272665	Yes	
row_16	MKS1	1803	1.2147090435028076	0.37219426	Yes	
row_17	CIBAR1	1841	1.201462984085083	0.38893878	Yes	
row_18	CETN2	1855	1.1971596479415894	0.4070725	Yes	
row_19	TCTN2	1997	1.1502996683120728	0.41669384	Yes	
row_20	IFT57	2005	1.1482994556427002	0.43441954	Yes	
row_21	IQCB1	2090	1.1153779029846191	0.44694972	Yes	
row_22	KIF17	2437	1.0218336582183838	0.44209355	Yes	
row_23	B9D1	2491	1.007655382156372	0.4548032	Yes	
row_24	TMEM231	2502	1.0049283504486084	0.47008052	Yes	
row_25	CFAP36	2784	0.936636745929718	0.46782425	Yes	
row_26	CCDC66	2797	0.9334321022033691	0.48185006	Yes	
row_27	MAK	2874	0.9185342788696289	0.49175453	Yes	
row_28	FAM161A	2994	0.8922587037086487	0.49863285	Yes	
row_29	TRAF3IP1	3292	0.8234692215919495	0.4936163	Yes	
row_30	CEP290	3301	0.8210718035697937	0.50610894	Yes	
row_31	NEK4	3473	0.7871338725090027	0.50816834	Yes	
row_32	ARL3	3503	0.780989944934845	0.5187524	Yes	
row_33	TMEM17	3603	0.7597167491912842	0.52475	Yes	
row_34	IFT52	3923	0.6935771703720093	0.51634455	No	
row_35	PCM1	4327	0.6194667816162109	0.5016675	No	
row_36	B9D2	5554	0.39997121691703796	0.4335513	No	
row_37	TCTN1	5573	0.3966746926307678	0.4387285	No	
row_38	KIAA1549	6077	0.30409592390060425	0.41299486	No	
row_39	LCA5	6252	0.27135127782821655	0.40671933	No	
row_40	INTU	6549	0.21987253427505493	0.3922227	No	
row_41	TMEM107	6610	0.2073831409215927	0.39185774	No	
row_42	TOPORS	6655	0.20093004405498505	0.39236224	No	
row_43	TMEM216	6863	0.16766607761383057	0.38244417	No	
row_44	RPGRIP1L	6971	0.14980821311473846	0.37831548	No	
row_45	TTBK2	7291	0.09393439441919327	0.3604317	No	
row_46	PCDHB15	7529	0.05081324651837349	0.3468451	No	
row_47	NPHP4	7531	0.05068589374423027	0.34758556	No	
row_48	IFT20	7630	0.031386297196149826	0.34213144	No	
row_49	IFT140	7707	0.015886278823018074	0.3377681	No	
row_50	CPLANE1	7825	-0.007532943971455097	0.33078334	No	
row_51	CC2D2A	8053	-0.046066489070653915	0.31772888	No	
row_52	AHI1	8252	-0.08351969718933105	0.30702716	No	
row_53	CFAP53	8395	-0.11208217591047287	0.30017707	No	
row_54	CPLANE2	9394	-0.30716052651405334	0.24443722	No	
row_55	TBCC	9565	-0.3421858251094818	0.23952422	No	
row_56	CFAP410	10274	-0.5058784484863281	0.20453319	No	
row_57	WHRN	10308	-0.5128648281097412	0.21063621	No	
row_58	CDKL1	10366	-0.5255675911903381	0.21548282	No	
row_59	TMEM80	10457	-0.5491631627082825	0.21869874	No	
row_60	PCDHB13	13846	-1.6098511219024658	0.03843768	No	
row_61	CEP131	14779	-2.052586317062378	0.0142943775	No	
row_62	SPTBN5	15831	-2.878653049468994	-0.004016867	No	
row_63	MYO7A	15896	-2.946808338165283	0.038676333	No	
