NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEPTIN7	39	3.332306385040283	0.01709542	Yes	
row_1	KAT2B	76	2.940985918045044	0.03208668	Yes	
row_2	SGO2	190	2.448385238647461	0.039489944	Yes	
row_3	CENPE	202	2.42108154296875	0.052970603	Yes	
row_4	NDC80	326	2.090451955795288	0.05766997	Yes	
row_5	CHMP3	328	2.0883076190948486	0.06981675	Yes	
row_6	BUB1	352	2.0493004322052	0.080390275	Yes	
row_7	SEPTIN2	355	2.0460002422332764	0.092228584	Yes	
row_8	CENPK	380	2.0168566703796387	0.10255129	Yes	
row_9	BUB1B	407	1.9812971353530884	0.11254383	Yes	
row_10	NCAPD3	416	1.9728038311004639	0.12358736	Yes	
row_11	KIF18A	432	1.946377158164978	0.13404839	Yes	
row_12	CBX3	565	1.8094761371612549	0.13655488	Yes	
row_13	HNRNPU	588	1.7954435348510742	0.14570554	Yes	
row_14	MAD2L1	637	1.7587370872497559	0.1530518	Yes	
row_15	NEK2	652	1.7499909400939941	0.1624259	Yes	
row_16	CENPQ	688	1.7256001234054565	0.17037337	Yes	
row_17	PHF6	744	1.688722014427185	0.17688228	Yes	
row_18	CFDP1	824	1.639214038848877	0.18163425	Yes	
row_19	KMT5B	851	1.6309986114501953	0.189579	Yes	
row_20	PPP1CC	863	1.624915599822998	0.19840539	Yes	
row_21	BRD7	893	1.6005898714065552	0.20598893	Yes	
row_22	GPATCH11	960	1.567946195602417	0.2111192	Yes	
row_23	KIF2C	974	1.5621235370635986	0.21945623	Yes	
row_24	PAFAH1B1	986	1.5540896654129028	0.22786857	Yes	
row_25	SKA2	1008	1.5403611660003662	0.2355892	Yes	
row_26	CHMP2B	1011	1.5384153127670288	0.24446025	Yes	
row_27	CCNB1	1053	1.5094741582870483	0.2507774	Yes	
row_28	MEAF6	1075	1.4967206716537476	0.2582429	Yes	
row_29	SPDL1	1117	1.4752575159072876	0.26435998	Yes	
row_30	CHAMP1	1131	1.4690009355545044	0.27215263	Yes	
row_31	NUF2	1171	1.4562855958938599	0.27828112	Yes	
row_32	TTK	1206	1.4387962818145752	0.2846131	Yes	
row_33	ITGB3BP	1303	1.4038604497909546	0.28694972	Yes	
row_34	CENPU	1314	1.3966034650802612	0.2945026	Yes	
row_35	CENPI	1316	1.3961796760559082	0.3026033	Yes	
row_36	H3-3A	1355	1.3800959587097168	0.30834755	Yes	
row_37	CHMP4C	1361	1.3755601644515991	0.31608313	Yes	
row_38	CENPA	1571	1.297245740890503	0.3108869	Yes	
row_39	SKA1	1606	1.286055326461792	0.31632596	Yes	
row_40	KANSL1	1612	1.2853864431381226	0.3235344	Yes	
row_41	ATRX	1643	1.2759243249893188	0.32915884	Yes	
row_42	FBXW11	1711	1.2499146461486816	0.3323688	Yes	
row_43	DCTN6	1799	1.2164438962936401	0.33416015	Yes	
row_44	GTF2B	1868	1.1928080320358276	0.33697513	Yes	
row_45	CKAP5	1873	1.192340612411499	0.34370077	Yes	
row_46	SPC25	1898	1.1843401193618774	0.3491567	Yes	
row_47	FIRRM	1979	1.1566330194473267	0.35102645	Yes	
row_48	PMF1	2118	1.1084458827972412	0.34906796	Yes	
row_49	CBX5	2170	1.0921005010604858	0.3523337	Yes	
row_50	SPAG5	2185	1.088996171951294	0.35784376	Yes	
row_51	ORC2	2188	1.0884873867034912	0.3640846	Yes	
row_52	SGO1	2219	1.0787893533706665	0.36855662	Yes	
row_53	CENPO	2263	1.0658665895462036	0.3721582	Yes	
row_54	ZWILCH	2292	1.0569835901260376	0.37662503	Yes	
row_55	SPC24	2384	1.0339187383651733	0.3771048	Yes	
row_56	DCTN5	2428	1.0239496231079102	0.3804613	Yes	
row_57	CENPN	2440	1.0203654766082764	0.3857536	Yes	
row_58	CSNK1A1	2533	0.998089075088501	0.38596272	Yes	
row_59	KNSTRN	2564	0.9930570125579834	0.3899336	Yes	
row_60	BIRC5	2600	0.9832806587219238	0.39354154	Yes	
row_61	NDE1	2646	0.9690292477607727	0.39645472	Yes	
row_62	SKA3	2647	0.9690064191818237	0.40211937	Yes	
