NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ING3	548	1.826423168182373	-0.02211098	No	
row_1	EPC2	629	1.7624837160110474	-0.016129402	No	
row_2	HP1BP3	644	1.7561519145965576	-0.0061695194	No	
row_3	MBTD1	793	1.6519273519515991	-0.005007622	No	
row_4	ACTR6	836	1.6353733539581299	0.0025043641	No	
row_5	H2BW2	1012	1.5366092920303345	0.0013128523	No	
row_6	MEAF6	1075	1.4967206716537476	0.0067538414	No	
row_7	H3-3A	1355	1.3800959587097168	-0.0017315396	No	
row_8	CENPA	1571	1.297245740890503	-0.006831451	No	
row_9	SLF1	1738	1.2380127906799316	-0.009313508	No	
row_10	KAT6A	1797	1.2168177366256714	-0.0053523155	No	
row_11	MORF4L1	2151	1.098091721534729	-0.020078132	No	
row_12	BRD8	2226	1.0761611461639404	-0.0179568	No	
row_13	GLYR1	2302	1.054574728012085	-0.016029239	No	
row_14	H2AZ1	2690	0.959559977054596	-0.03367746	No	
row_15	VPS72	2946	0.9027268886566162	-0.04364101	No	
row_16	H2AZ2	3171	0.8516238927841187	-0.052032277	No	
row_17	KAT5	3405	0.801954448223114	-0.06127715	No	
row_18	YEATS4	3865	0.7047970294952393	-0.08487636	No	
row_19	MACROH2A2	3894	0.699921727180481	-0.08227148	No	
row_20	MPHOSPH8	4329	0.6190482974052429	-0.104876906	No	
row_21	ACTB	4379	0.6108660697937012	-0.10409854	No	
row_22	KAT6B	4857	0.5248708128929138	-0.12990111	No	
row_23	KDM1B	5135	0.4815157949924469	-0.14379701	No	
row_24	SHPRH	5593	0.39195019006729126	-0.16920057	No	
row_25	MORF4L2	5812	0.3527836799621582	-0.18029782	No	
row_26	RUVBL1	6347	0.2533625066280365	-0.21124145	No	
row_27	EPC1	6402	0.24443316459655762	-0.21302344	No	
row_28	MACROH2A1	7607	0.03577263280749321	-0.28608823	No	
row_29	ACTL6A	7855	-0.01246714685112238	-0.30104586	No	
row_30	RUVBL2	8394	-0.11207424104213715	-0.33310285	No	
row_31	ZNHIT1	8655	-0.15777713060379028	-0.34795713	No	
row_32	DMAP1	8714	-0.16837216913700104	-0.35045087	No	
row_33	H2AC18	8912	-0.20763935148715973	-0.3611635	No	
row_34	H3-3B	9510	-0.32959118485450745	-0.3954725	No	
row_35	H4C11	9651	-0.36360275745391846	-0.40175542	No	
row_36	TRRAP	9954	-0.43050944805145264	-0.41748706	No	
row_37	H4C8	10118	-0.4685598313808441	-0.42452377	No	
row_38	H4C14	10252	-0.5007442235946655	-0.4295363	No	
row_39	H2BC9	10328	-0.5166260004043579	-0.43092072	No	
row_40	H2AX	10714	-0.6094644069671631	-0.45060262	No	
row_41	SRCAP	10922	-0.6592704653739929	-0.45914337	No	
row_42	H4C1	11059	-0.6921157836914062	-0.4631603	No	
row_43	H2BC21	11333	-0.7696878910064697	-0.47503856	No	
row_44	H4C13	11441	-0.7959462404251099	-0.47665104	No	
row_45	H2AC25	11458	-0.8024420142173767	-0.47268456	No	
row_46	SPHK2	11665	-0.8470476269721985	-0.4800084	No	
row_47	H3C4	12237	-1.014069676399231	-0.5085207	No	
row_48	MRGBP	12391	-1.0619193315505981	-0.5112956	No	
row_49	H2BC12	12827	-1.2135350704193115	-0.53030187	No	
row_50	H4C12	13014	-1.2790555953979492	-0.5337486	Yes	
row_51	H2BC17	13107	-1.3134263753890991	-0.53126216	Yes	
row_52	H3C6	13182	-1.3446156978607178	-0.52748805	Yes	
row_53	H2BC14	13229	-1.3626646995544434	-0.5218985	Yes	
row_54	H2BC3	13325	-1.3952683210372925	-0.5190908	Yes	
row_55	H4C2	13377	-1.4115980863571167	-0.51350427	Yes	
row_56	H2BC13	13571	-1.4892842769622803	-0.51608276	Yes	
row_57	H2BC11	13574	-1.4913228750228882	-0.507023	Yes	
row_58	H3C12	13646	-1.524367094039917	-0.50195956	Yes	
row_59	H2AJ	13647	-1.5247454643249512	-0.49257222	Yes	
row_60	H1-2	13704	-1.5484063625335693	-0.4864478	Yes	
row_61	H2BC10	13921	-1.6341475248336792	-0.4895344	Yes	
row_62	H2BC5	13928	-1.6365104913711548	-0.4798242	Yes	
row_63	H4C5	13957	-1.6475505828857422	-0.47138506	Yes	
row_64	H3C3	14026	-1.6829837560653687	-0.46516252	Yes	
row_65	EP400	14038	-1.6875510215759277	-0.4554424	Yes	
row_66	H2BC18	14259	-1.793230414390564	-0.45779303	Yes	
row_67	H4C9	14285	-1.8014343976974487	-0.44822392	Yes	
row_68	H2BC7	14296	-1.8048152923583984	-0.43772095	Yes	
row_69	H3C7	14369	-1.8449333906173706	-0.43074483	Yes	
row_70	H3C1	14400	-1.860592246055603	-0.42111582	Yes	
row_71	H1-5	14434	-1.874800205230713	-0.41158193	Yes	
row_72	H2BC26	14486	-1.8953831195831299	-0.40301698	Yes	
row_73	H1-10	14497	-1.904443621635437	-0.39190063	Yes	
row_74	H2BC4	14509	-1.9068490266799927	-0.38083038	Yes	
row_75	H3C14	14517	-1.9120327234268188	-0.3694847	Yes	
row_76	H2AC8	14573	-1.9389710426330566	-0.36089486	Yes	
row_77	H3-7	14620	-1.9702465534210205	-0.35156465	Yes	
row_78	H2AC7	14673	-1.9917974472045898	-0.34246695	Yes	
row_79	H3C10	14689	-2.00132155418396	-0.3310585	Yes	
row_80	H3C11	14693	-2.002318859100342	-0.31891352	Yes	
row_81	H4C16	14727	-2.0249745845794678	-0.30845508	Yes	
row_82	H2AC4	14730	-2.0254526138305664	-0.2961068	Yes	
row_83	H4C4	14732	-2.026857852935791	-0.28368896	Yes	
row_84	H2AC11	14862	-2.1082100868225098	-0.27856138	Yes	
row_85	H3C2	14885	-2.124586820602417	-0.26682013	Yes	
row_86	H4C3	14934	-2.158620595932007	-0.2564519	Yes	
row_87	H2BC6	14976	-2.1810669898986816	-0.24551938	Yes	
row_88	H2AC17	15046	-2.2233450412750244	-0.23603089	Yes	
row_89	H2AC19	15071	-2.246922016143799	-0.22365819	Yes	
row_90	H2BC15	15107	-2.2702934741973877	-0.21181114	Yes	
row_91	H3C13	15151	-2.303771734237671	-0.20024492	Yes	
row_92	H2AC12	15216	-2.3550028800964355	-0.1896415	Yes	
row_93	H2AC20	15254	-2.385629415512085	-0.17720611	Yes	
row_94	H2AC15	15264	-2.392354965209961	-0.16302499	Yes	
row_95	H2BC8	15434	-2.5153231620788574	-0.1578257	Yes	
row_96	H2AC16	15535	-2.60444712638855	-0.14787778	Yes	
row_97	H2AC13	15604	-2.6555001735687256	-0.13566779	Yes	
row_98	H2AC6	15731	-2.780921220779419	-0.12621596	Yes	
row_99	H1-4	15765	-2.8135929107666016	-0.110902265	Yes	
row_100	H1-3	15816	-2.869260311126709	-0.0962806	Yes	
row_101	H1-0	16406	-4.222930431365967	-0.10613268	Yes	
row_102	H2AC21	16523	-5.816632270812988	-0.077382326	Yes	
row_103	H3C8	16526	-6.119996070861816	-0.039825313	Yes	
row_104	TGM2	16530	-6.527998447418213	1.8276328E-4	Yes	
