NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RAPL2	1396	1.3605241775512695	-0.06777065	No	
row_1	FZD4	1529	1.3131136894226074	-0.059410144	No	
row_2	CD4	2189	1.088468074798584	-0.085838504	No	
row_3	IL17RB	2375	1.0359106063842773	-0.08415131	No	
row_4	CXCR4	2411	1.0285329818725586	-0.07345141	No	
row_5	IL13RA1	2735	0.9466713666915894	-0.08125323	No	
row_6	IFNAR1	2748	0.9448807239532471	-0.070200294	No	
row_7	IFNAR2	2756	0.942391037940979	-0.058874913	No	
row_8	IL1RAP	3978	0.6842111945152283	-0.12445607	No	
row_9	IL17RD	4137	0.6526246070861816	-0.12590906	No	
row_10	IFNGR2	4217	0.6393020153045654	-0.12273303	No	
row_11	LEPR	5284	0.45076102018356323	-0.18181677	No	
row_12	IFNGR1	5821	0.3510298728942871	-0.20997408	No	
row_13	GHR	6002	0.3191772997379303	-0.21692003	No	
row_14	CD74	6439	0.23811128735542297	-0.24041547	No	
row_15	F3	7005	0.14459872245788574	-0.27290693	No	
row_16	PRLR	7294	0.09342717379331589	-0.28922305	No	
row_17	ACKR3	7606	0.03608778119087219	-0.30765018	No	
row_18	IL6ST	8961	-0.21699155867099762	-0.38712972	No	
row_19	OSMR	8997	-0.22475366294384003	-0.3864518	No	
row_20	IL27RA	9081	-0.24154825508594513	-0.38847798	No	
row_21	CCR1	9193	-0.2663310766220093	-0.3918947	No	
row_22	CD44	9502	-0.3283827006816864	-0.4064952	No	
row_23	IL20RB	9629	-0.3561302423477173	-0.40970275	No	
row_24	IL10RB	9759	-0.3855631947517395	-0.41272536	No	
row_25	LIFR	10285	-0.5088553428649902	-0.4382471	No	
row_26	IL18R1	10902	-0.6557756662368774	-0.4674605	No	
row_27	IL1R2	11643	-0.8428851366043091	-0.5018675	No	
row_28	CNTFR	12270	-1.0227588415145874	-0.5271121	No	
row_29	IL13RA2	12519	-1.103994607925415	-0.5284	No	
row_30	ACKR4	13072	-1.30290687084198	-0.5456599	Yes	
row_31	IL17RA	13207	-1.3552683591842651	-0.5368952	Yes	
row_32	GPR75	13268	-1.3755353689193726	-0.5233861	Yes	
row_33	IL21R	13551	-1.4803986549377441	-0.5220445	Yes	
row_34	CCR10	13909	-1.6306384801864624	-0.52338195	Yes	
row_35	IL20RA	13960	-1.6481722593307495	-0.5058665	Yes	
row_36	GPR35	14014	-1.676372766494751	-0.48818153	Yes	
row_37	IL31RA	14087	-1.713926076889038	-0.4711816	Yes	
row_38	IL1RL1	14094	-1.7176045179367065	-0.4501297	Yes	
row_39	CMKLR1	14196	-1.7702630758285522	-0.43418756	Yes	
row_40	EPOR	14202	-1.7729014158248901	-0.4123855	Yes	
row_41	IL12RB1	14219	-1.7790043354034424	-0.39117503	Yes	
row_42	GFRA2	14499	-1.9046889543533325	-0.38436103	Yes	
row_43	IL17RC	14533	-1.919521689414978	-0.36243036	Yes	
row_44	IL22RA1	14721	-2.0203399658203125	-0.34859014	Yes	
row_45	IL7R	14870	-2.1155271530151367	-0.33119586	Yes	
row_46	CRLF1	14920	-2.149460792541504	-0.30736935	Yes	
row_47	IL11RA	15008	-2.197455644607544	-0.28525096	Yes	
row_48	IL4R	15289	-2.4122979640960693	-0.2721685	Yes	
row_49	IL17RE	15315	-2.4311399459838867	-0.2433731	Yes	
row_50	IFNLR1	15348	-2.4561848640441895	-0.21469031	Yes	
row_51	CSF2RA	15478	-2.5503005981445312	-0.19072177	Yes	
row_52	IL10RA	15551	-2.6153290271759033	-0.1624826	Yes	
row_53	IL6R	15674	-2.718071460723877	-0.1359973	Yes	
row_54	GFRA1	15691	-2.734440326690674	-0.1028739	Yes	
row_55	CCR4	15774	-2.824213743209839	-0.07263723	Yes	
row_56	IL12RB2	15847	-2.8931500911712646	-0.040934037	Yes	
row_57	IL15RA	15880	-2.9288322925567627	-0.0063580214	Yes	
row_58	IL1R1	16242	-3.68390154838562	0.01766298	Yes	
