NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCE1	2034	1.1380776166915894	-0.08955496	No	
row_1	F2RL2	3519	0.7785277962684631	-0.15642555	No	
row_2	PLCD4	5433	0.4202754497528076	-0.2598708	No	
row_3	PLCH1	6635	0.20370152592658997	-0.32659292	No	
row_4	PLCD3	7996	-0.03367816284298897	-0.40797165	No	
row_5	CHRM3	8112	-0.05687687173485756	-0.41325578	No	
row_6	CHRM1	9049	-0.23478329181671143	-0.4630082	No	
row_7	CCR1	9193	-0.2663310766220093	-0.4637965	No	
row_8	SMPD1	9750	-0.38461852073669434	-0.4861032	No	
row_9	PLCG1	10093	-0.4626263380050659	-0.49314207	No	
row_10	PLCL2	10891	-0.6532008647918701	-0.52210635	No	
row_11	PLCL1	12472	-1.090436577796936	-0.58557117	No	
row_12	CASR	13332	-1.398801326751709	-0.59624976	Yes	
row_13	GDPD5	13517	-1.463213562965393	-0.56413996	Yes	
row_14	CCL5	13737	-1.562638521194458	-0.53121096	Yes	
row_15	PLCB3	13784	-1.5846507549285889	-0.48715273	Yes	
row_16	PDIA3	14451	-1.882195234298706	-0.4718517	Yes	
row_17	PLCD1	14459	-1.885698676109314	-0.4165319	Yes	
row_18	PLCG2	14962	-2.173229217529297	-0.38269413	Yes	
row_19	EDNRA	15822	-2.8734564781188965	-0.34977996	Yes	
row_20	PLCB1	15913	-2.96479868888855	-0.26758775	Yes	
row_21	NOTUM	15975	-3.072103977203369	-0.18046694	Yes	
row_22	PLCB4	16124	-3.3665199279785156	-0.08991234	Yes	
row_23	BDKRB2	16296	-3.8775219917297363	0.014355077	Yes	
