NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2BW2	1012	1.5366092920303345	-0.049949702	No	
row_1	H3-3A	1355	1.3800959587097168	-0.06036725	No	
row_2	CENPA	1571	1.297245740890503	-0.06369067	No	
row_3	H2AZ1	2690	0.959559977054596	-0.12441293	No	
row_4	H2AZ2	3171	0.8516238927841187	-0.14718257	No	
row_5	MACROH2A2	3894	0.699921727180481	-0.18579434	No	
row_6	MACROH2A1	7607	0.03577263280749321	-0.41105586	No	
row_7	H2AC18	8912	-0.20763935148715973	-0.48872414	No	
row_8	H3-3B	9510	-0.32959118485450745	-0.5225216	No	
row_9	H4C11	9651	-0.36360275745391846	-0.5282978	No	
row_10	H4C8	10118	-0.4685598313808441	-0.5530927	No	
row_11	H4C14	10252	-0.5007442235946655	-0.557414	No	
row_12	H2BC9	10328	-0.5166260004043579	-0.5580921	No	
row_13	H2AX	10714	-0.6094644069671631	-0.5769079	No	
row_14	H4C1	11059	-0.6921157836914062	-0.5926121	No	
row_15	H2BC21	11333	-0.7696878910064697	-0.60342014	No	
row_16	H4C13	11441	-0.7959462404251099	-0.60394543	No	
row_17	H2AC25	11458	-0.8024420142173767	-0.59889305	No	
row_18	H3C4	12237	-1.014069676399231	-0.6385487	No	
row_19	H2BC12	12827	-1.2135350704193115	-0.6652237	Yes	
row_20	HMGA1	12953	-1.2581088542938232	-0.6633728	Yes	
row_21	H4C12	13014	-1.2790555953979492	-0.65741545	Yes	
row_22	H2BC17	13107	-1.3134263753890991	-0.6531443	Yes	
row_23	H3C6	13182	-1.3446156978607178	-0.64754534	Yes	
row_24	H2BC14	13229	-1.3626646995544434	-0.64010966	Yes	
row_25	H2BC3	13325	-1.3952683210372925	-0.6354063	Yes	
row_26	H4C2	13377	-1.4115980863571167	-0.62790704	Yes	
row_27	H2BC13	13571	-1.4892842769622803	-0.628452	Yes	
row_28	H2BC11	13574	-1.4913228750228882	-0.6173771	Yes	
row_29	H3C12	13646	-1.524367094039917	-0.61024636	Yes	
row_30	H2AJ	13647	-1.5247454643249512	-0.59879905	Yes	
row_31	H1-2	13704	-1.5484063625335693	-0.5905764	Yes	
row_32	H2BC10	13921	-1.6341475248336792	-0.59143126	Yes	
row_33	H2BC5	13928	-1.6365104913711548	-0.5795094	Yes	
row_34	H4C5	13957	-1.6475505828857422	-0.5688412	Yes	
row_35	H3C3	14026	-1.6829837560653687	-0.56033736	Yes	
row_36	H2BC18	14259	-1.793230414390564	-0.56096995	Yes	
row_37	H4C9	14285	-1.8014343976974487	-0.5489642	Yes	
row_38	H2BC7	14296	-1.8048152923583984	-0.53602177	Yes	
row_39	H3C7	14369	-1.8449333906173706	-0.52654505	Yes	
row_40	H3C1	14400	-1.860592246055603	-0.51439893	Yes	
row_41	H1-5	14434	-1.874800205230713	-0.50232846	Yes	
row_42	H2BC26	14486	-1.8953831195831299	-0.4911971	Yes	
row_43	H1-10	14497	-1.904443621635437	-0.47750667	Yes	
row_44	H2BC4	14509	-1.9068490266799927	-0.46385893	Yes	
row_45	H3C14	14517	-1.9120327234268188	-0.44992924	Yes	
row_46	H2AC8	14573	-1.9389710426330566	-0.43871364	Yes	
row_47	H3-7	14620	-1.9702465534210205	-0.42671645	Yes	
row_48	H2AC7	14673	-1.9917974472045898	-0.41492197	Yes	
row_49	H3C10	14689	-2.00132155418396	-0.40080798	Yes	
row_50	H3C11	14693	-2.002318859100342	-0.38595742	Yes	
row_51	H4C16	14727	-2.0249745845794678	-0.3727595	Yes	
row_52	H2AC4	14730	-2.0254526138305664	-0.35767448	Yes	
row_53	H4C4	14732	-2.026857852935791	-0.34251818	Yes	
row_54	H2AC11	14862	-2.1082100868225098	-0.33452803	Yes	
row_55	H3C2	14885	-2.124586820602417	-0.3199139	Yes	
row_56	H4C3	14934	-2.158620595932007	-0.30662394	Yes	
row_57	H2BC6	14976	-2.1810669898986816	-0.29274017	Yes	
row_58	H2AC17	15046	-2.2233450412750244	-0.28024018	Yes	
row_59	H2AC19	15071	-2.246922016143799	-0.2648291	Yes	
row_60	H2BC15	15107	-2.2702934741973877	-0.24991089	Yes	
row_61	H3C13	15151	-2.303771734237671	-0.2352274	Yes	
row_62	H2AC12	15216	-2.3550028800964355	-0.22143517	Yes	
row_63	H2AC20	15254	-2.385629415512085	-0.20577258	Yes	
row_64	H2AC15	15264	-2.392354965209961	-0.18835828	Yes	
row_65	H2BC8	15434	-2.5153231620788574	-0.1797419	Yes	
row_66	H2AC16	15535	-2.60444712638855	-0.16626418	Yes	
row_67	H2AC13	15604	-2.6555001735687256	-0.15045893	Yes	
row_68	H2AC6	15731	-2.780921220779419	-0.13723597	Yes	
row_69	H1-4	15765	-2.8135929107666016	-0.11811732	Yes	
row_70	H1-3	15816	-2.869260311126709	-0.0996136	Yes	
row_71	LMNTD2	15832	-2.8786728382110596	-0.07891272	Yes	
row_72	H1-0	16406	-4.222930431365967	-0.08202197	Yes	
row_73	H2AC21	16523	-5.816632270812988	-0.0454002	Yes	
row_74	H3C8	16526	-6.119996070861816	4.2543636E-4	Yes	
