NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKAR1A	1609	1.2857835292816162	-0.06938774	No	
row_1	XIAP	3532	0.7763201594352722	-0.16889703	No	
row_2	IRF2BP2	3655	0.7502015829086304	-0.15987378	No	
row_3	NGLY1	4350	0.6160827279090881	-0.1884566	No	
row_4	FIP1L1	4686	0.5562774538993835	-0.19658801	No	
row_5	STAT3	4775	0.5390752553939819	-0.19012439	No	
row_6	CFI	5778	0.35804513096809387	-0.24302325	No	
row_7	STAT5B	6149	0.2889968156814575	-0.25912556	No	
row_8	MCM10	6378	0.24810250103473663	-0.26751572	No	
row_9	SLC37A4	6694	0.19621145725250244	-0.28231487	No	
row_10	NPM1	7337	0.0848625972867012	-0.31937146	No	
row_11	SLC7A7	7944	-0.025171469897031784	-0.35555232	No	
row_12	AHCY	8007	-0.03591112047433853	-0.35852444	No	
row_13	GNA14	8590	-0.14667516946792603	-0.39059147	No	
row_14	TBL1XR1	9102	-0.24655857682228088	-0.41616902	No	
row_15	BCOR	9190	-0.2649761140346527	-0.4156434	No	
row_16	CD46	9373	-0.3040756285190582	-0.4200204	No	
row_17	RARA	10799	-0.6298828125	-0.4926096	No	
row_18	PRF1	11003	-0.6788990497589111	-0.49005648	No	
row_19	NUMA1	12463	-1.0888692140579224	-0.55466163	No	
row_20	MEFV	12559	-1.1166703701019287	-0.5359817	No	
row_21	B4GALT1	13577	-1.4927723407745361	-0.56495637	Yes	
row_22	SLC19A1	14113	-1.7254011631011963	-0.5596244	Yes	
row_23	LYST	14640	-1.978439211845398	-0.5482091	Yes	
row_24	HAVCR2	14668	-1.9894074201583862	-0.50630766	Yes	
row_25	STXBP2	14833	-2.090895891189575	-0.47048926	Yes	
row_26	PML	14855	-2.1031548976898193	-0.42573482	Yes	
row_27	STX11	15020	-2.205951452255249	-0.38739842	Yes	
row_28	ZBTB16	15098	-2.263873815536499	-0.342521	Yes	
row_29	CFH	15185	-2.3298213481903076	-0.2967459	Yes	
row_30	NABP1	15277	-2.401681661605835	-0.24970117	Yes	
row_31	SPTB	15610	-2.659956216812134	-0.21161197	Yes	
row_32	SLC4A1	15687	-2.732518434524536	-0.15641773	Yes	
row_33	UNC13D	15899	-2.951503276824951	-0.104613826	Yes	
row_34	ANK1	16010	-3.1319949626922607	-0.042737935	Yes	
row_35	TNFRSF9	16139	-3.3986008167266846	0.023881555	Yes	
