NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LZTFL1	41	3.318791151046753	0.09320717	Yes	
row_1	BBS4	441	1.9361332654953003	0.124849275	Yes	
row_2	BBS1	596	1.7895303964614868	0.16711369	Yes	
row_3	NPHP1	900	1.5970473289489746	0.19479732	Yes	
row_4	HNRNPR	902	1.5969364643096924	0.24078189	Yes	
row_5	TTC8	1202	1.4410351514816284	0.26420957	Yes	
row_6	ARL6	1237	1.4263590574264526	0.3032757	Yes	
row_7	BBS9	1340	1.3879868984222412	0.33711395	Yes	
row_8	IGF2	1528	1.3131624460220337	0.3636429	Yes	
row_9	CFAP418	1597	1.2884899377822876	0.39667305	Yes	
row_10	MKS1	1803	1.2147090435028076	0.4192723	Yes	
row_11	BBS12	1921	1.1755039691925049	0.44607478	Yes	
row_12	IFT172	1924	1.1741164922714233	0.4798074	Yes	
row_13	SDCCAG8	2324	1.0499759912490845	0.48589852	Yes	
row_14	GJA1	2370	1.0377421379089355	0.51309276	Yes	
row_15	SCAPER	2671	0.9626741409301758	0.52266705	Yes	
row_16	CEP290	3301	0.8210718035697937	0.5082179	Yes	
row_17	IFT74	3307	0.8195357918739319	0.53154486	Yes	
row_18	SCLT1	3363	0.8088042140007019	0.5515319	Yes	
row_19	BBS5	3412	0.8004833459854126	0.5717034	Yes	
row_20	CEP19	3520	0.7783435583114624	0.58766043	Yes	
row_21	TFAP2B	4008	0.6784440875053406	0.5777054	Yes	
row_22	ARID1B	4326	0.6195804476737976	0.5763567	Yes	
row_23	MKKS	4601	0.570681095123291	0.57620436	Yes	
row_24	WDPCP	4647	0.5635595917701721	0.58972627	Yes	
row_25	BBS7	5311	0.44416385889053345	0.5623488	No	
row_26	BBIP1	5824	0.3506365418434143	0.54142666	No	
row_27	BBS10	6011	0.3173007369041443	0.5393021	No	
row_28	TRIM32	6105	0.2981744408607483	0.54226285	No	
row_29	SMARCB1	6151	0.28863924741744995	0.5478578	No	
row_30	BBS2	8430	-0.11723890900611877	0.41316926	No	
row_31	COL2A1	8905	-0.20652824640274048	0.3903952	No	
row_32	IFT27	10218	-0.4922849237918854	0.3250695	No	
row_33	ERI1	10897	-0.65449059009552	0.3028473	No	
row_34	NPR2	13178	-1.3417928218841553	0.20334561	No	
