NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THSD4	1481	1.3282092809677124	-0.063264675	No	
row_1	IPO8	1882	1.1888864040374756	-0.06378638	No	
row_2	THSD1	2594	0.98529052734375	-0.08722151	No	
row_3	ACTA2	3583	0.7653371095657349	-0.13183562	No	
row_4	HEY2	3948	0.6893618702888489	-0.14014302	No	
row_5	COL3A1	5066	0.492403507232666	-0.19802251	No	
row_6	SMAD3	5403	0.4265766739845276	-0.2098765	No	
row_7	TGFB2	5527	0.40385720133781433	-0.20927316	No	
row_8	SMAD2	6552	0.21960586309432983	-0.26695916	No	
row_9	EMILIN1	6612	0.20719470083713531	-0.26640087	No	
row_10	TGFB3	7249	0.10011356323957443	-0.3029533	No	
row_11	ELN	7250	0.09968835115432739	-0.30096406	No	
row_12	MAT2A	7991	-0.03242585062980652	-0.34517094	No	
row_13	HLA-DRB1	8047	-0.04307103529572487	-0.34764522	No	
row_14	TGFBR1	8259	-0.08471796661615372	-0.35874414	No	
row_15	LOX	9280	-0.284795343875885	-0.41488686	No	
row_16	ANGPTL6	10337	-0.518580973148346	-0.46854657	No	
row_17	SMAD4	10991	-0.6760834455490112	-0.4946362	No	
row_18	ABCC6	11890	-0.90650874376297	-0.5309781	No	
row_19	PLOD1	12073	-0.9611563086509705	-0.5228303	No	
row_20	SMAD6	12302	-1.0344696044921875	-0.51600784	No	
row_21	HLA-B	12604	-1.134015679359436	-0.51162374	No	
row_22	TGFBR2	13750	-1.5684478282928467	-0.54972845	Yes	
row_23	MFAP5	14071	-1.7059720754623413	-0.5350829	Yes	
row_24	NOTCH1	14139	-1.7407827377319336	-0.5044075	Yes	
row_25	FBN1	14733	-2.0270047187805176	-0.49990335	Yes	
row_26	MYLK	14788	-2.0597636699676514	-0.46207488	Yes	
row_27	TGFBR3	15118	-2.2813453674316406	-0.43649352	Yes	
row_28	SLC2A10	15202	-2.343560218811035	-0.3947598	Yes	
row_29	ROBO4	15442	-2.521655321121216	-0.358928	Yes	
row_30	PRKG1	15496	-2.569695472717285	-0.31086344	Yes	
row_31	ENPP1	15753	-2.806049346923828	-0.2703871	Yes	
row_32	BGN	16086	-3.2686381340026855	-0.22528665	Yes	
row_33	ENG	16314	-3.9353389739990234	-0.16051808	Yes	
row_34	P4HA2	16428	-4.281909465789795	-0.08192394	Yes	
row_35	NKX2-5	16451	-4.421444416046143	0.0049703834	Yes	
