NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	1605	1.2861933708190918	-0.07012258	No	
row_1	C1R	2318	1.0516034364700317	-0.091075875	No	
row_2	DSE	4577	0.5743213891983032	-0.21580106	No	
row_3	CHST14	4825	0.5312880873680115	-0.21955584	No	
row_4	COL3A1	5066	0.492403507232666	-0.22370718	No	
row_5	SMAD3	5403	0.4265766739845276	-0.23506625	No	
row_6	FKBP14	6441	0.23797665536403656	-0.2928913	No	
row_7	COL5A2	6642	0.20319415628910065	-0.3007233	No	
row_8	AEBP1	8089	-0.05217651277780533	-0.3872583	No	
row_9	LRP1	8466	-0.12319634854793549	-0.4074456	No	
row_10	LAMB3	8536	-0.1365983933210373	-0.40874398	No	
row_11	COL5A1	8597	-0.14785592257976532	-0.4092593	No	
row_12	B3GALT6	8975	-0.22094689309597015	-0.4274438	No	
row_13	COL12A1	11796	-0.883220374584198	-0.57970905	Yes	
row_14	PLOD1	12073	-0.9611563086509705	-0.5761474	Yes	
row_15	B4GALT7	12135	-0.9798960089683533	-0.5591598	Yes	
row_16	CTSC	12252	-1.0178099870681763	-0.5447052	Yes	
row_17	COL6A1	12803	-1.2072269916534424	-0.5525553	Yes	
row_18	COL1A1	12818	-1.2119358777999878	-0.5278211	Yes	
row_19	COL6A2	13013	-1.2788761854171753	-0.512583	Yes	
row_20	ITGB4	13210	-1.356008768081665	-0.49583793	Yes	
row_21	MMP1	13289	-1.3822672367095947	-0.47138703	Yes	
row_22	CARMIL2	13346	-1.4020928144454956	-0.44518432	Yes	
row_23	DST	14110	-1.7242205142974854	-0.4550303	Yes	
row_24	SLC39A13	14512	-1.9081108570098877	-0.43905517	Yes	
row_25	LAMC2	14848	-2.099092483520508	-0.41504863	Yes	
row_26	ADAMTS2	14892	-2.129279375076294	-0.3727079	Yes	
row_27	TNXB	15623	-2.6728639602661133	-0.36052907	Yes	
row_28	COL7A1	15931	-2.988760471343994	-0.3160456	Yes	
row_29	COL1A2	15958	-3.0397632122039795	-0.25345528	Yes	
row_30	ADA2	15980	-3.0808064937591553	-0.18969549	Yes	
row_31	COL6A3	16177	-3.48250412940979	-0.12806238	Yes	
row_32	PLEC	16191	-3.517745018005371	-0.054594472	Yes	
row_33	LAMA3	16208	-3.565378189086914	0.019697111	Yes	
