NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LZTFL1	41	3.318791151046753	0.11069204	Yes	
row_1	BBS4	441	1.9361332654953003	0.15254419	Yes	
row_2	BBS1	596	1.7895303964614868	0.20424004	Yes	
row_3	NPHP1	900	1.5970473289489746	0.2403449	Yes	
row_4	TTC8	1202	1.4410351514816284	0.27125067	Yes	
row_5	ARL6	1237	1.4263590574264526	0.31783187	Yes	
row_6	BBS9	1340	1.3879868984222412	0.35898483	Yes	
row_7	CFAP418	1597	1.2884899377822876	0.38741484	Yes	
row_8	MKS1	1803	1.2147090435028076	0.4164186	Yes	
row_9	BBS12	1921	1.1755039691925049	0.44941682	Yes	
row_10	IFT172	1924	1.1741164922714233	0.48933485	Yes	
row_11	SDCCAG8	2324	1.0499759912490845	0.5009676	Yes	
row_12	GJA1	2370	1.0377421379089355	0.53363	Yes	
row_13	SCAPER	2671	0.9626741409301758	0.5482835	Yes	
row_14	CEP290	3301	0.8210718035697937	0.53817594	Yes	
row_15	IFT74	3307	0.8195357918739319	0.5658205	Yes	
row_16	SCLT1	3363	0.8088042140007019	0.5900699	Yes	
row_17	BBS5	3412	0.8004833459854126	0.6144596	Yes	
row_18	CEP19	3520	0.7783435583114624	0.6345198	Yes	
row_19	MKKS	4601	0.570681095123291	0.5885502	No	
row_20	WDPCP	4647	0.5635595917701721	0.60504216	No	
row_21	BBS7	5311	0.44416385889053345	0.5800216	No	
row_22	BBIP1	5824	0.3506365418434143	0.5609599	No	
row_23	BBS10	6011	0.3173007369041443	0.5605117	No	
row_24	TRIM32	6105	0.2981744408607483	0.5650456	No	
row_25	BBS2	8430	-0.11723890900611877	0.42824635	No	
row_26	IFT27	10218	-0.4922849237918854	0.3367704	No	
row_27	NPR2	13178	-1.3417928218841553	0.20325948	No	
