NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MATN3	3149	0.8552533388137817	-0.16036764	No	
row_1	HGD	4028	0.6739088296890259	-0.18963258	No	
row_2	GPC6	4835	0.529449999332428	-0.21966207	No	
row_3	EXT2	5407	0.4256572425365448	-0.23914178	No	
row_4	ZMPSTE24	6096	0.30054712295532227	-0.27014583	No	
row_5	FGFR3	6652	0.2012261152267456	-0.29661876	No	
row_6	NIPA1	7193	0.10982482135295868	-0.32542595	No	
row_7	NFIX	8874	-0.1994631290435791	-0.42009372	No	
row_8	COL2A1	8905	-0.20652824640274048	-0.4145835	No	
row_9	CHST3	9808	-0.39571207761764526	-0.4551716	No	
row_10	EXT1	9921	-0.42324793338775635	-0.44693884	No	
row_11	KY	9962	-0.432455450296402	-0.43401894	No	
row_12	ERI1	10897	-0.65449059009552	-0.46736425	No	
row_13	TRPV4	14040	-1.689695119857788	-0.5977042	Yes	
row_14	DST	14110	-1.7242205142974854	-0.5407121	Yes	
row_15	PTH1R	14284	-1.8006064891815186	-0.48730856	Yes	
row_16	TPM2	14710	-2.0144896507263184	-0.44157863	Yes	
row_17	DYSF	15241	-2.3748903274536133	-0.3894216	Yes	
row_18	LMNA	15481	-2.55173659324646	-0.31336704	Yes	
row_19	TTN	16029	-3.168562173843384	-0.2340822	Yes	
row_20	TNNT1	16205	-3.551190137863159	-0.11869367	Yes	
row_21	PIEZO2	16305	-3.903825521469116	0.013808163	Yes	
