NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN	GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN	Details ...	75	-0.6743346	-2.3023016	0.0	0.0	0.0	3708	tags=75%, list=22%, signal=96%	
GOMF_OLFACTORY_RECEPTOR_ACTIVITY	GOMF_OLFACTORY_RECEPTOR_ACTIVITY	Details ...	29	-0.65888155	-1.9547062	0.0	0.0067458698	0.217	4352	tags=79%, list=26%, signal=107%	
GOCC_NUCLEOSOME	GOCC_NUCLEOSOME	Details ...	105	-0.54162335	-1.9261062	0.0	0.0109120505	0.328	3521	tags=52%, list=21%, signal=66%	
GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS	GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS	Details ...	24	-0.673749	-1.9006728	0.0	0.017054511	0.464	3203	tags=54%, list=19%, signal=67%	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	Details ...	19	-0.69741005	-1.8808818	0.0	0.023821333	0.6	2961	tags=68%, list=18%, signal=83%	
GOMF_CYTOKINE_RECEPTOR_ACTIVITY	GOMF_CYTOKINE_RECEPTOR_ACTIVITY	Details ...	59	-0.5619053	-1.8791554	0.0011467889	0.023914052	0.616	3463	tags=49%, list=21%, signal=62%	
GOBP_ICOSANOID_TRANSPORT	GOBP_ICOSANOID_TRANSPORT	Details ...	34	-0.6165364	-1.8754692	0.0	0.024749579	0.639	4811	tags=74%, list=29%, signal=103%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	52	-0.57548344	-1.8581251	0.0	0.03249396	0.752	4792	tags=65%, list=29%, signal=92%	
GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION	GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION	Details ...	35	-0.6090843	-1.852321	0.001242236	0.034921836	0.782	3754	tags=49%, list=23%, signal=63%	
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	Details ...	55	-0.5647886	-1.849744	0.0	0.03589065	0.801	5202	tags=67%, list=31%, signal=98%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	22	-0.644015	-1.8432266	0.0012886598	0.03960109	0.837	3708	tags=68%, list=22%, signal=88%	
GOBP_POSITIVE_CHEMOTAXIS	GOBP_POSITIVE_CHEMOTAXIS	Details ...	51	-0.5650859	-1.8424797	0.0	0.03901198	0.839	4047	tags=53%, list=24%, signal=70%	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	Details ...	17	-0.6914524	-1.8342324	0.0	0.043268103	0.883	826	tags=47%, list=5%, signal=49%	
HP_ATROPHIC_SCARS	HP_ATROPHIC_SCARS	Details ...	34	-0.5983529	-1.833039	0.0	0.043342605	0.891	4739	tags=62%, list=29%, signal=86%	
HP_LIMITED_HIP_MOVEMENT	HP_LIMITED_HIP_MOVEMENT	Details ...	22	-0.6576501	-1.8317772	0.0	0.04331555	0.898	2495	tags=41%, list=15%, signal=48%	
GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	Details ...	30	-0.6149239	-1.8252666	0.0012531328	0.04739106	0.92	3377	tags=47%, list=20%, signal=59%	
GOMF_PHOSPHOLIPASE_C_ACTIVITY	GOMF_PHOSPHOLIPASE_C_ACTIVITY	Details ...	24	-0.63760024	-1.8192947	0.0025316456	0.051779337	0.941	3203	tags=50%, list=19%, signal=62%	
