NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	226	0.45604864	2.6766157	0.0	0.0	0.0	4424	tags=51%, list=27%, signal=69%	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	Details ...	53	0.61019987	2.6366928	0.0	9.4140624E-4	0.001	3466	tags=60%, list=21%, signal=76%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	389	0.38003942	2.6355608	0.0	6.2760414E-4	0.001	4424	tags=46%, list=27%, signal=61%	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	187	0.47689188	2.5744123	0.0	4.7070312E-4	0.001	4424	tags=51%, list=27%, signal=69%	
GOCC_OUTER_KINETOCHORE	GOCC_OUTER_KINETOCHORE	Details ...	20	0.7209819	2.5520265	0.0	3.765625E-4	0.001	2724	tags=65%, list=16%, signal=78%	
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	Details ...	180	0.47165895	2.540311	0.0	3.1380207E-4	0.001	3582	tags=49%, list=22%, signal=62%	
GOCC_CILIARY_TRANSITION_ZONE	GOCC_CILIARY_TRANSITION_ZONE	Details ...	64	0.52475	2.486269	0.0	5.511746E-4	0.002	3603	tags=53%, list=22%, signal=68%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	Details ...	76	0.5147116	2.4631953	0.0	9.79501E-4	0.004	5397	tags=63%, list=33%, signal=93%	
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	Details ...	22	0.70891225	2.4548242	0.0	8.706676E-4	0.004	3466	tags=77%, list=21%, signal=98%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	123	0.48207304	2.4479156	0.0	9.769163E-4	0.005	5118	tags=64%, list=31%, signal=92%	
