NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA5	223	2.3537790775299072	0.030222176	No	
row_1	ABCD3	1251	1.4237266778945923	-0.0055747535	No	
row_2	ABCG2	1431	1.3478084802627563	0.008620831	No	
row_3	ABCA8	1562	1.3016400337219238	0.024928715	No	
row_4	ABCD2	1776	1.2235125303268433	0.034753554	No	
row_5	ABCB7	2157	1.0958545207977295	0.032083098	No	
row_6	ABCC5	5234	0.4621652364730835	-0.14578673	No	
row_7	ABCB10	5735	0.36513835191726685	-0.16930997	No	
row_8	ABCD4	6058	0.3092857003211975	-0.18308128	No	
row_9	ABCA12	6688	0.1970944106578827	-0.21754687	No	
row_10	ABCA10	7336	0.08486542105674744	-0.2551891	No	
row_11	ABCC3	8773	-0.18030360341072083	-0.33888468	No	
row_12	ABCG4	9709	-0.375093936920166	-0.38859135	No	
row_13	ABCB6	10672	-0.5990054607391357	-0.4357738	No	
row_14	ABCA3	11094	-0.7029324769973755	-0.44823113	No	
row_15	ABCC9	11211	-0.7364360094070435	-0.44157767	No	
row_16	ABCC10	11879	-0.9037845134735107	-0.46521443	Yes	
row_17	ABCC6	11890	-0.90650874376297	-0.44897515	Yes	
row_18	ABCG1	12043	-0.9532338976860046	-0.4404752	Yes	
row_19	ABCB8	12388	-1.058963418006897	-0.441649	Yes	
row_20	ABCC4	12612	-1.1377687454223633	-0.43402368	Yes	
row_21	ABCB11	12770	-1.1937593221664429	-0.42135718	Yes	
row_22	ABCA1	13077	-1.303787350654602	-0.415678	Yes	
row_23	ABCA2	13363	-1.4070054292678833	-0.40680778	Yes	
row_24	ABCA7	13629	-1.5173912048339844	-0.39467394	Yes	
row_25	TAP2	14023	-1.6819369792938232	-0.38724136	Yes	
row_26	ABCA9	14054	-1.6978468894958496	-0.35750914	Yes	
row_27	TAP1	14596	-1.953850507736206	-0.353995	Yes	
row_28	ABCC1	14755	-2.0380899906158447	-0.3256991	Yes	
row_29	ABCB1	15263	-2.3918275833129883	-0.3119851	Yes	
row_30	ABCA4	15366	-2.4703869819641113	-0.27226135	Yes	
row_31	ABCC2	15420	-2.5089385509490967	-0.22885099	Yes	
row_32	ABCD1	15503	-2.5733044147491455	-0.18600242	Yes	
row_33	ABCB5	15682	-2.7280349731445312	-0.14609775	Yes	
row_34	ABCA13	16103	-3.31323504447937	-0.10998777	Yes	
row_35	ABCA6	16125	-3.368286371231079	-0.048668567	Yes	
row_36	ABCB9	16316	-3.9466474056243896	0.013153911	Yes	
