NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHX2	2240	1.0729224681854248	-0.102929994	No	
row_1	PLA2G4A	3147	0.856651246547699	-0.1316416	No	
row_2	CYP2U1	3366	0.8086926341056824	-0.120132215	No	
row_3	GPX7	3796	0.7198665142059326	-0.12412266	No	
row_4	LTA4H	4692	0.5548521876335144	-0.16139247	No	
row_5	GGT7	6320	0.2594025135040283	-0.25204578	No	
row_6	CYP2E1	6768	0.1848774552345276	-0.27347922	No	
row_7	PLA2G12A	6917	0.15970376133918762	-0.27756527	No	
row_8	PLA2G4B	7407	0.07410452514886856	-0.30492938	No	
row_9	GGT1	7634	0.030851546674966812	-0.31768003	No	
row_10	GPX4	8749	-0.17476049065589905	-0.37983716	No	
row_11	PTGS1	9214	-0.2711513638496399	-0.3996636	No	
row_12	JMJD7-PLA2G4B	9273	-0.2836635112762451	-0.3945075	No	
row_13	GGT5	11411	-0.789214015007019	-0.49986836	No	
row_14	PTGES	11917	-0.9149003028869629	-0.5025024	Yes	
row_15	PTGES2	12443	-1.0820531845092773	-0.50123906	Yes	
row_16	PTGIS	12622	-1.139858603477478	-0.47718373	Yes	
row_17	PTGS2	12697	-1.1672526597976685	-0.44598955	Yes	
row_18	PLA2G3	13502	-1.458268165588379	-0.45013195	Yes	
row_19	CBR3	13722	-1.5564830303192139	-0.41582638	Yes	
row_20	PLA2G2A	13864	-1.6154601573944092	-0.37499204	Yes	
row_21	PLA2G6	14047	-1.6943163871765137	-0.33423162	Yes	
row_22	GPX1	14177	-1.7584751844406128	-0.2882988	Yes	
row_23	GPX3	14224	-1.7816123962402344	-0.23662968	Yes	
row_24	PLA2G5	14253	-1.7922064065933228	-0.18354611	Yes	
row_25	GGT6	14538	-1.9213923215866089	-0.14202528	Yes	
row_26	PTGDS	14647	-1.9814624786376953	-0.08800427	Yes	
row_27	CBR1	14849	-2.099647283554077	-0.03600585	Yes	
row_28	AKR1C3	14940	-2.163099527359009	0.024657676	Yes	
row_29	CYP2J2	15206	-2.3491618633270264	0.08040485	Yes	
