NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	72	2.970909357070923	0.014546264	No	
row_1	HRH2	107	2.7834794521331787	0.030214306	No	
row_2	ADCY2	245	2.278311252593994	0.036384072	No	
row_3	PHKB	255	2.2404632568359375	0.050115112	No	
row_4	PDE1C	649	1.751013159751892	0.037319127	No	
row_5	F2R	1052	1.5098055601119995	0.02243719	No	
row_6	PRKACB	1353	1.3811746835708618	0.012953036	No	
row_7	CD38	1467	1.3327677249908447	0.014559323	No	
row_8	CACNA1G	1663	1.2676410675048828	0.010752047	No	
row_9	SLC25A4	1877	1.189977765083313	0.005352556	No	
row_10	PLCE1	2034	1.1380776166915894	0.0030968278	No	
row_11	PHKG1	2085	1.1186153888702393	0.0071785017	No	
row_12	CALM1	2307	1.053452491760254	4.2120647E-4	No	
row_13	GNAQ	2308	1.0531238317489624	0.0071333195	No	
row_14	ERBB3	2777	0.9379186630249023	-0.015416719	No	
row_15	PPP3CC	2957	0.9010504484176636	-0.020585157	No	
row_16	CACNA1C	2982	0.8955824375152588	-0.016340107	No	
row_17	CALM3	2991	0.8945136666297913	-0.011126556	No	
row_18	PRKCG	3045	0.8805097937583923	-0.008745327	No	
row_19	CAMK2D	3190	0.8461828827857971	-0.012129969	No	
row_20	VDAC3	3341	0.8128637671470642	-0.016092714	No	
row_21	ITPR2	3382	0.8065460324287415	-0.013390452	No	
row_22	PPP3R1	3389	0.8045750260353088	-0.008628214	No	
row_23	PRKX	3417	0.7983003258705139	-0.0051860646	No	
row_24	CALM2	3812	0.7157005667686462	-0.024641596	No	
row_25	PPID	3843	0.707679271697998	-0.021959895	No	
row_26	GRPR	3911	0.6964762210845947	-0.021605005	No	
row_27	RYR3	3973	0.6851204633712769	-0.020956751	No	
row_28	PHKA1	4442	0.599242627620697	-0.04566535	No	
row_29	SLC8A1	4915	0.5173331499099731	-0.07113983	No	
row_30	ERBB4	5018	0.49991941452026367	-0.0741712	No	
row_31	ADCY7	5083	0.49018406867980957	-0.074948244	No	
