NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NLGN3	231	2.3218443393707275	0.00557963	No	
row_1	SDC3	350	2.0515100955963135	0.015747756	No	
row_2	JAM2	568	1.8090417385101318	0.01784305	No	
row_3	CDH2	640	1.7582303285598755	0.02839057	No	
row_4	NEO1	795	1.6507956981658936	0.032980394	No	
row_5	NLGN4X	1337	1.3889199495315552	0.011812906	No	
row_6	NCAM2	1357	1.3791661262512207	0.022318635	No	
row_7	SDC2	1424	1.350889801979065	0.029726043	No	
row_8	CD4	2189	1.088468074798584	-0.0075480524	No	
row_9	CADM1	2322	1.0504823923110962	-0.0066958363	No	
row_10	VCAN	3289	0.8243460655212402	-0.058491822	No	
row_11	ESAM	3740	0.7295794486999512	-0.079698436	No	
row_12	CDH4	3917	0.6948941946029663	-0.08452963	No	
row_13	NLGN1	4035	0.6730847954750061	-0.08595599	No	
row_14	HLA-DRA	4276	0.6279778480529785	-0.09524642	No	
row_15	HLA-DMA	4357	0.6144884824752808	-0.094917364	No	
row_16	NCAM1	4590	0.5725410580635071	-0.104189865	No	
row_17	ALCAM	4849	0.5264002084732056	-0.11543421	No	
row_18	CDH1	4892	0.5204709768295288	-0.1135884	No	
row_19	HLA-DOA	5338	0.43847447633743286	-0.13695228	No	
row_20	GLG1	5436	0.41986846923828125	-0.13930304	No	
row_21	HLA-DPB1	5590	0.3932347297668457	-0.14528573	No	
row_22	ITGA6	5658	0.38010045886039734	-0.1461477	No	
row_23	JAM3	5768	0.3599439561367035	-0.14973515	No	
row_24	CD226	6154	0.28826460242271423	-0.17071907	No	
row_25	NLGN2	6500	0.22841940820217133	-0.18977562	No	
row_26	HLA-DMB	6526	0.22471313178539276	-0.18939641	No	
row_27	F11R	6962	0.15112543106079102	-0.21458164	No	
row_28	MPZL1	7596	0.03854064270853996	-0.25276408	No	
row_29	CD34	7994	-0.03321382403373718	-0.2766346	No	
row_30	HLA-DRB1	8047	-0.04307103529572487	-0.27943382	No	
row_31	CLDN20	8129	-0.0589970238506794	-0.28386256	No	
row_32	ITGAV	8500	-0.1296636164188385	-0.30527502	No	
row_33	PTPRF	8668	-0.16144494712352753	-0.3140693	No	
row_34	CDH5	9086	-0.2434912472963333	-0.3373785	No	
row_35	NECTIN3	9130	-0.25287288427352905	-0.33785623	No	
row_36	HLA-DPA1	9322	-0.2929801344871521	-0.34699833	No	
row_37	HLA-DQB1	9349	-0.2986396849155426	-0.34605488	No	
row_38	ITGB8	9465	-0.3194561302661896	-0.3503497	No	
row_39	CDH15	9554	-0.33949506282806396	-0.35283253	No	
row_40	CD58	9577	-0.3457821011543274	-0.35124713	No	
row_41	CADM3	9676	-0.3678995668888092	-0.35409814	No	
row_42	CD99	10069	-0.4553316831588745	-0.37409523	No	
row_43	HLA-DRB5	10354	-0.5225377678871155	-0.38695395	No	
row_44	ITGB1	10400	-0.5343486666679382	-0.3851733	No	
row_45	CNTNAP1	10621	-0.5882924795150757	-0.39358258	No	
row_46	VCAM1	10635	-0.592382550239563	-0.38936454	No	
row_47	NRXN2	10867	-0.6452758312225342	-0.3979612	No	
row_48	CD8A	10984	-0.6748595237731934	-0.39931172	No	
row_49	NRCAM	11122	-0.7090989351272583	-0.40165025	No	
row_50	CLDN15	11337	-0.7712641954421997	-0.4081474	No	
row_51	SDC4	11367	-0.7779937982559204	-0.40333325	No	
row_52	HLA-DQA1	11444	-0.7977637052536011	-0.40121117	No	
row_53	ITGA9	12002	-0.9418603777885437	-0.42713213	No	
row_54	CDH3	12402	-1.0657613277435303	-0.4423936	No	
row_55	HLA-B	12604	-1.134015679359436	-0.44503266	Yes	
row_56	NECTIN1	12620	-1.139629602432251	-0.43630898	Yes	
row_57	CNTN2	12748	-1.1853246688842773	-0.43401244	Yes	
row_58	OCLN	12772	-1.1941648721694946	-0.42531434	Yes	
row_59	NFASC	12900	-1.2357511520385742	-0.4225914	Yes	
row_60	ICOSLG	12984	-1.2705165147781372	-0.41689777	Yes	
row_61	SIGLEC1	13032	-1.28682279586792	-0.40887624	Yes	
row_62	HLA-A	13046	-1.293232798576355	-0.3987321	Yes	
row_63	NECTIN2	13071	-1.3023310899734497	-0.38918024	Yes	
row_64	HLA-C	13127	-1.3209000825881958	-0.38135722	Yes	
row_65	PDCD1LG2	13211	-1.3564151525497437	-0.37493727	Yes	
row_66	PVR	13240	-1.3654857873916626	-0.36509475	Yes	
row_67	NRXN3	13292	-1.3833214044570923	-0.3565006	Yes	
row_68	SELPLG	13320	-1.393033742904663	-0.34636426	Yes	
row_69	HLA-F	13467	-1.447034239768982	-0.3430107	Yes	
row_70	PECAM1	13486	-1.4550306797027588	-0.33180264	Yes	
row_71	NEGR1	13662	-1.53142511844635	-0.3294997	Yes	
row_72	NRXN1	13775	-1.5812046527862549	-0.32294324	Yes	
row_73	ICAM1	13833	-1.6040399074554443	-0.3128478	Yes	
row_74	HLA-E	13883	-1.6218687295913696	-0.30211493	Yes	
row_75	CLDN1	13934	-1.6382886171340942	-0.29130405	Yes	
row_76	SDC1	14161	-1.7517428398132324	-0.29024076	Yes	
row_77	CD274	14433	-1.8746455907821655	-0.29087582	Yes	
row_78	CNTN1	14460	-1.8866312503814697	-0.27650505	Yes	
row_79	ITGA4	14644	-1.980767846107483	-0.27088934	Yes	
row_80	CLDN5	14801	-2.0670676231384277	-0.2629014	Yes	
row_81	CLDN11	15029	-2.213841676712036	-0.25799164	Yes	
row_82	CD276	15365	-2.4693310260772705	-0.25749174	Yes	
row_83	HLA-DOB	15374	-2.4787302017211914	-0.23701942	Yes	
row_84	SPN	15396	-2.495734453201294	-0.21719417	Yes	
