NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	72	2.970909357070923	0.010120893	No	
row_1	TNFSF10	186	2.4560775756835938	0.015226142	No	
row_2	INHBB	590	1.7947628498077393	-5.873594E-4	No	
row_3	CXCL16	626	1.7642353773117065	0.005895885	No	
row_4	CCL2	1284	1.4128586053848267	-0.027275693	No	
row_5	ACVR1B	1575	1.2966561317443848	-0.03863003	No	
row_6	PDGFA	1601	1.2870765924453735	-0.0338677	No	
row_7	INHBA	1862	1.1946738958358765	-0.043890376	No	
row_8	ACVR1	1976	1.158176302909851	-0.045125194	No	
row_9	IL17RB	2375	1.0359106063842773	-0.06434061	No	
row_10	CXCR4	2411	1.0285329818725586	-0.061451167	No	
row_11	EDA2R	2453	1.0163856744766235	-0.05898703	No	
row_12	BMPR1B	2492	1.0073479413986206	-0.056384057	No	
row_13	BMPR2	2528	0.9984813928604126	-0.053641412	No	
row_14	IL13RA1	2735	0.9466713666915894	-0.06158186	No	
row_15	IFNAR1	2748	0.9448807239532471	-0.057698183	No	
row_16	IFNAR2	2756	0.942391037940979	-0.053521693	No	
row_17	TNFRSF13C	3342	0.8124575018882751	-0.08523456	No	
row_18	TNFRSF10C	3369	0.8080098628997803	-0.0828734	No	
row_19	TNFRSF19	3392	0.8038349747657776	-0.08028865	No	
row_20	BMPR1A	3445	0.7924364805221558	-0.079589404	No	
row_21	IL1RAP	3978	0.6842111945152283	-0.10869605	No	
row_22	IFNGR2	4217	0.6393020153045654	-0.12008977	No	
row_23	ACVR2A	4412	0.6051077246665955	-0.12896678	No	
row_24	TNFSF13B	4768	0.5403313636779785	-0.14798029	No	
row_25	KITLG	5038	0.4962921738624573	-0.1619634	No	
row_26	FAS	5169	0.47413170337677	-0.16757658	No	
row_27	LEPR	5284	0.45076102018356323	-0.17232803	No	
row_28	EGFR	5398	0.42741426825523376	-0.1771325	No	
row_29	TGFB2	5527	0.40385720133781433	-0.18296698	No	
row_30	TNFRSF11B	5562	0.398891806602478	-0.18309225	No	
row_31	IFNGR1	5821	0.3510298728942871	-0.19711402	No	
row_32	GHR	6002	0.3191772997379303	-0.20653385	No	
row_33	BMP7	6190	0.28249990940093994	-0.2165598	No	
row_34	ACVR2B	6560	0.217136949300766	-0.23800597	No	
row_35	PDGFC	7014	0.1428482085466385	-0.26493856	No	
row_36	CSF1R	7025	0.14130772650241852	-0.26485822	No	
row_37	CXCL11	7124	0.12351564317941666	-0.2702323	No	
row_38	TGFB3	7249	0.10011356323957443	-0.27730656	No	
row_39	PRLR	7294	0.09342717379331589	-0.27953392	No	
row_40	LTBR	7459	0.06619161367416382	-0.28921363	No	
row_41	CX3CL1	7798	-0.0026042070239782333	-0.30981696	No	
row_42	EGF	8176	-0.07010498642921448	-0.3324693	No	
row_43	PLEKHO2	8206	-0.07573061436414719	-0.3338682	No	
row_44	TGFBR1	8259	-0.08471796661615372	-0.33662608	No	
row_45	TNFRSF10B	8462	-0.12198386341333389	-0.34835103	No	
row_46	IL6ST	8961	-0.21699155867099762	-0.37766618	No	
row_47	OSMR	8997	-0.22475366294384003	-0.3787031	No	
row_48	TGFB1	9080	-0.24117258191108704	-0.38252652	No	
row_49	TNFRSF21	9122	-0.25190070271492004	-0.38379678	No	
row_50	CCR1	9193	-0.2663310766220093	-0.38676536	No	
row_51	TNFSF13	9198	-0.2680913805961609	-0.38569975	No	
row_52	IL20RB	9629	-0.3561302423477173	-0.41018763	No	
row_53	IL12A	9753	-0.3849789798259735	-0.41580933	No	
row_54	IL10RB	9759	-0.3855631947517395	-0.41423088	No	
row_55	CNTF	10179	-0.4820699691772461	-0.43743262	No	
row_56	CCL25	10201	-0.48749834299087524	-0.43633214	No	
row_57	LIFR	10285	-0.5088553428649902	-0.43890896	No	
row_58	VEGFD	10364	-0.5250389575958252	-0.4411018	No	
row_59	VEGFA	10669	-0.5986935496330261	-0.4567195	No	
row_60	EDA	10722	-0.6107931733131409	-0.45690754	No	
row_61	IL18R1	10902	-0.6557756662368774	-0.46462214	No	
row_62	TNFRSF12A	10959	-0.667561411857605	-0.46477687	No	
row_63	TNFRSF1A	11579	-0.8269416093826294	-0.49849278	No	
row_64	IL1R2	11643	-0.8428851366043091	-0.49821803	No	
row_65	IL11	11819	-0.8886381387710571	-0.5045512	No	
row_66	CXCL14	11911	-0.9123492240905762	-0.5056449	No	
row_67	TNFSF4	12244	-1.0156441926956177	-0.52093375	No	
row_68	CXCL2	12265	-1.0212814807891846	-0.5171648	No	
row_69	CNTFR	12270	-1.0227588415145874	-0.5124127	No	
row_70	CXCL10	12488	-1.0956870317459106	-0.5202962	No	
row_71	MET	12847	-1.221004843711853	-0.5361677	No	
row_72	INHBE	13012	-1.2787156105041504	-0.5399244	Yes	
row_73	CTF1	13026	-1.283818006515503	-0.53444606	Yes	
row_74	ACVRL1	13068	-1.300973653793335	-0.5305917	Yes	
row_75	IL17RA	13207	-1.3552683591842651	-0.5323886	Yes	
row_76	TNFRSF6B	13228	-1.3624106645584106	-0.52695334	Yes	
row_77	PDGFRB	13344	-1.4018961191177368	-0.52711964	Yes	
row_78	NGFR	13509	-1.4602599143981934	-0.5299895	Yes	
