NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMA2	184	2.457319736480713	0.02010256	No	
row_1	SDC3	350	2.0515100955963135	0.036193646	No	
row_2	COL11A1	846	1.6320847272872925	0.026899599	No	
row_3	ITGB5	983	1.555849552154541	0.038442932	No	
row_4	COL5A3	1305	1.4026784896850586	0.036798514	No	
row_5	SDC2	1424	1.350889801979065	0.046826296	No	
row_6	ITGA10	2187	1.0886054039001465	0.014394996	No	
row_7	LAMA1	3942	0.6898848414421082	-0.08337171	No	
row_8	ITGA11	4439	0.599690854549408	-0.10586809	No	
row_9	COL3A1	5066	0.492403507232666	-0.13762714	No	
row_10	COL4A1	5632	0.3851734399795532	-0.16704564	No	
row_11	ITGA6	5658	0.38010045886039734	-0.1637259	No	
row_12	CD47	5665	0.37832215428352356	-0.15927462	No	
row_13	THBS4	5792	0.35571789741516113	-0.16240059	No	
row_14	HMMR	5953	0.32831892371177673	-0.16794069	No	
row_15	SPP1	6121	0.29520440101623535	-0.17432754	No	
row_16	SV2A	6269	0.26964765787124634	-0.17982478	No	
row_17	LAMB1	6303	0.261607825756073	-0.17849933	No	
row_18	TNN	6522	0.22540391981601715	-0.18887272	No	
row_19	COL5A2	6642	0.20319415628910065	-0.19351499	No	
row_20	ITGB3	6663	0.1997760832309723	-0.1921869	No	
row_21	DAG1	6787	0.18050238490104675	-0.197361	No	
row_22	COL4A6	6976	0.14955183863639832	-0.20687756	No	
row_23	VTN	7362	0.08191264420747757	-0.22922207	No	
row_24	COL4A4	7863	-0.013648681342601776	-0.25942132	No	
row_25	ITGAV	8500	-0.1296636164188385	-0.29640523	No	
row_26	LAMB3	8536	-0.1365983933210373	-0.29679254	No	
row_27	COL5A1	8597	-0.14785592257976532	-0.2985552	No	
row_28	COL2A1	8905	-0.20652824640274048	-0.31457525	No	
row_29	COL4A2	9129	-0.2528667151927948	-0.3249028	No	
row_30	LAMC1	9313	-0.29071906208992004	-0.3323187	No	
row_31	ITGA7	9318	-0.2913722097873688	-0.3288527	No	
row_32	ITGB8	9465	-0.3194561302661896	-0.3336552	No	
row_33	CD44	9502	-0.3283827006816864	-0.331662	No	
row_34	THBS1	9841	-0.4049980938434601	-0.3470388	No	
row_35	LAMA4	9879	-0.41515418887138367	-0.3440018	No	
row_36	ITGA2B	9880	-0.4151807427406311	-0.33871686	No	
row_37	THBS3	10175	-0.48125967383384705	-0.35045013	No	
row_38	ITGB1	10400	-0.5343486666679382	-0.35725537	No	
row_39	LAMB2	10541	-0.5724316835403442	-0.35847318	No	
row_40	GP1BB	10578	-0.5807492136955261	-0.35326752	No	
row_41	LAMC3	11010	-0.6803533434867859	-0.37078866	No	
row_42	ITGA2	11269	-0.751487672328949	-0.37689525	No	
row_43	SDC4	11367	-0.7779937982559204	-0.37288433	No	
row_44	TNR	11608	-0.8341558575630188	-0.37684518	No	
row_45	ITGA9	12002	-0.9418603777885437	-0.38872918	No	
row_46	AGRN	12172	-0.9911134839057922	-0.38637912	No	
row_47	ITGA5	12721	-1.1737678050994873	-0.40472674	Yes	
row_48	VWF	12728	-1.1769002676010132	-0.39011016	Yes	
row_49	COL6A1	12803	-1.2072269916534424	-0.37923828	Yes	
row_50	COL1A1	12818	-1.2119358777999878	-0.3646617	Yes	
row_51	HSPG2	12946	-1.2553815841674805	-0.35639638	Yes	
row_52	COL6A2	13013	-1.2788761854171753	-0.3441265	Yes	
row_53	ITGB4	13210	-1.356008768081665	-0.33877173	Yes	
row_54	COL11A2	13330	-1.3974865674972534	-0.32821155	Yes	
row_55	ITGA1	13614	-1.5113272666931152	-0.3261646	Yes	
row_56	TNC	13951	-1.6448137760162354	-0.32563803	Yes	
row_57	SDC1	14161	-1.7517428398132324	-0.31603557	Yes	
row_58	SV2B	14487	-1.8965998888015747	-0.31163573	Yes	
row_59	ITGA4	14644	-1.980767846107483	-0.2958984	Yes	
row_60	SV2C	14765	-2.0438461303710938	-0.2771713	Yes	
row_61	ITGA3	14829	-2.087099313735962	-0.25443113	Yes	
row_62	LAMC2	14848	-2.099092483520508	-0.2288047	Yes	
row_63	THBS2	15063	-2.2382802963256836	-0.21331272	Yes	
row_64	LAMB4	15278	-2.4020373821258545	-0.19573624	Yes	
row_65	TNXB	15623	-2.6728639602661133	-0.18260932	Yes	
row_66	LAMA5	15730	-2.7803878784179688	-0.15365617	Yes	
row_67	GP1BA	15791	-2.8445708751678467	-0.121091686	Yes	
row_68	FN1	15897	-2.9470744132995605	-0.08995599	Yes	
row_69	COL1A2	15958	-3.0397632122039795	-0.054906864	Yes	
row_70	COL6A3	16177	-3.48250412940979	-0.023819845	Yes	
row_71	LAMA3	16208	-3.565378189086914	0.01974234	Yes	
