NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRA	4276	0.6279778480529785	-0.2315334	No	
row_1	HLA-DMA	4357	0.6144884824752808	-0.20953779	No	
row_2	FAS	5169	0.47413170337677	-0.23794374	No	
row_3	HLA-DOA	5338	0.43847447633743286	-0.22896579	No	
row_4	HLA-DPB1	5590	0.3932347297668457	-0.22699055	No	
row_5	HLA-DMB	6526	0.22471313178539276	-0.27380067	No	
row_6	HLA-DRB1	8047	-0.04307103529572487	-0.36397362	No	
row_7	HLA-DPA1	9322	-0.2929801344871521	-0.4283324	No	
row_8	HLA-DQB1	9349	-0.2986396849155426	-0.41686255	No	
row_9	HLA-DRB5	10354	-0.5225377678871155	-0.4548426	No	
row_10	PRF1	11003	-0.6788990497589111	-0.4644328	No	
row_11	HLA-DQA1	11444	-0.7977637052536011	-0.45623416	No	
row_12	HLA-B	12604	-1.134015679359436	-0.47689223	Yes	
row_13	HLA-A	13046	-1.293232798576355	-0.4471123	Yes	
row_14	HLA-C	13127	-1.3209000825881958	-0.39426094	Yes	
row_15	HLA-F	13467	-1.447034239768982	-0.3515857	Yes	
row_16	HLA-E	13883	-1.6218687295913696	-0.30587646	Yes	
row_17	IL1A	14176	-1.7584196329116821	-0.24675363	Yes	
row_18	IL1B	14484	-1.8951903581619263	-0.18256515	Yes	
row_19	GZMB	14672	-1.9917547702789307	-0.10689133	Yes	
row_20	HLA-DOB	15374	-2.4787302017211914	-0.041075524	Yes	
row_21	KLRD1	15471	-2.545959234237671	0.06431683	Yes	
