NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD38	1467	1.3327677249908447	-0.06491048	No	
row_1	CD4	2189	1.088468074798584	-0.08899382	No	
row_2	HLA-DRA	4276	0.6279778480529785	-0.20415132	No	
row_3	KITLG	5038	0.4962921738624573	-0.2413423	No	
row_4	CD9	5314	0.4432814419269562	-0.2500207	No	
row_5	ITGA6	5658	0.38010045886039734	-0.26396206	No	
row_6	CD59	5681	0.3760097920894623	-0.2585132	No	
row_7	ITGB3	6663	0.1997760832309723	-0.31439286	No	
row_8	CSF1R	7025	0.14130772650241852	-0.3337332	No	
row_9	CD34	7994	-0.03321382403373718	-0.3918292	No	
row_10	HLA-DRB1	8047	-0.04307103529572487	-0.39420527	No	
row_11	CD44	9502	-0.3283827006816864	-0.47644556	No	
row_12	ITGA2B	9880	-0.4151807427406311	-0.4918157	No	
row_13	HLA-DRB5	10354	-0.5225377678871155	-0.51107025	No	
row_14	GP1BB	10578	-0.5807492136955261	-0.5141158	No	
row_15	TFRC	10582	-0.581154465675354	-0.50381434	No	
row_16	ANPEP	10975	-0.6715041399002075	-0.5154702	No	
row_17	CD8A	10984	-0.6748595237731934	-0.5037815	No	
row_18	ITGA2	11269	-0.751487672328949	-0.50744593	No	
row_19	IL1R2	11643	-0.8428851366043091	-0.5148582	No	
row_20	IL11	11819	-0.8886381387710571	-0.5094393	No	
row_21	CD14	12616	-1.1381546258926392	-0.537174	Yes	
row_22	ITGA5	12721	-1.1737678050994873	-0.5223065	Yes	
row_23	CD7	13086	-1.3052781820297241	-0.520832	Yes	
row_24	IL7	13590	-1.4986015558242798	-0.5242984	Yes	
row_25	ITGA1	13614	-1.5113272666931152	-0.49843025	Yes	
row_26	IL1A	14176	-1.7584196329116821	-0.5007267	Yes	
row_27	EPOR	14202	-1.7729014158248901	-0.47026128	Yes	
row_28	IL1B	14484	-1.8951903581619263	-0.45311257	Yes	
row_29	ITGA4	14644	-1.980767846107483	-0.42702264	Yes	
row_30	ITGA3	14829	-2.087099313735962	-0.40053046	Yes	
row_31	IL7R	14870	-2.1155271530151367	-0.364794	Yes	
row_32	FLT3LG	14878	-2.120250940322876	-0.32697132	Yes	
row_33	IL11RA	15008	-2.197455644607544	-0.29515347	Yes	
row_34	CSF1	15082	-2.2535316944122314	-0.2589285	Yes	
row_35	MME	15189	-2.332454204559326	-0.22328082	Yes	
row_36	IL4R	15289	-2.4122979640960693	-0.1857684	Yes	
row_37	CSF2RA	15478	-2.5503005981445312	-0.15116309	Yes	
row_38	CD55	15618	-2.666069269180298	-0.11149831	Yes	
row_39	IL6R	15674	-2.718071460723877	-0.06580208	Yes	
row_40	GP1BA	15791	-2.8445708751678467	-0.021522706	Yes	
row_41	IL1R1	16242	-3.68390154838562	0.017645078	Yes	
