NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR4	2411	1.0285329818725586	-0.11012844	No	
row_1	TNFRSF13C	3342	0.8124575018882751	-0.13808575	No	
row_2	HLA-DRA	4276	0.6279778480529785	-0.17266943	No	
row_3	HLA-DMA	4357	0.6144884824752808	-0.15604928	No	
row_4	TNFSF13B	4768	0.5403313636779785	-0.16201128	No	
row_5	HLA-DOA	5338	0.43847447633743286	-0.18116382	No	
row_6	HLA-DPB1	5590	0.3932347297668457	-0.18263221	No	
row_7	HLA-DMB	6526	0.22471313178539276	-0.2314247	No	
row_8	LTBR	7459	0.06619161367416382	-0.28557327	No	
row_9	HLA-DRB1	8047	-0.04307103529572487	-0.31962928	No	
row_10	TGFB1	9080	-0.24117258191108704	-0.3737231	No	
row_11	TNFSF13	9198	-0.2680913805961609	-0.37144548	No	
row_12	HLA-DPA1	9322	-0.2929801344871521	-0.36866188	No	
row_13	HLA-DQB1	9349	-0.2986396849155426	-0.35980427	No	
row_14	MAP3K14	9539	-0.33612221479415894	-0.35951185	No	
row_15	CCL25	10201	-0.48749834299087524	-0.3825252	No	
row_16	HLA-DRB5	10354	-0.5225377678871155	-0.37347907	No	
row_17	HLA-DQA1	11444	-0.7977637052536011	-0.41158196	No	
row_18	ICOSLG	12984	-1.2705165147781372	-0.46043086	Yes	
row_19	CCR10	13909	-1.6306384801864624	-0.45944232	Yes	
row_20	PIGR	14532	-1.9193451404571533	-0.4300728	Yes	
row_21	ITGA4	14644	-1.980767846107483	-0.367601	Yes	
row_22	CXCL12	14752	-2.037522315979004	-0.30290422	Yes	
row_23	HLA-DOB	15374	-2.4787302017211914	-0.25393257	Yes	
row_24	IL15RA	15880	-2.9288322925567627	-0.1822097	Yes	
row_25	IL15	16012	-3.1341545581817627	-0.08065704	Yes	
row_26	MADCAM1	16058	-3.2105870246887207	0.028775625	Yes	
