NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS2	962	1.5675616264343262	-0.042598993	No	
row_1	PTPN11	1371	1.3719024658203125	-0.053489596	No	
row_2	STAT1	1541	1.308368444442749	-0.050489083	No	
row_3	SPRED1	1649	1.2740107774734497	-0.044066448	No	
row_4	SOS1	1889	1.1868834495544434	-0.046556316	No	
row_5	SOS2	2141	1.1002095937728882	-0.050655704	No	
row_6	PIAS2	2242	1.0726385116577148	-0.045851123	No	
row_7	PIK3CB	2395	1.0321701765060425	-0.0446199	No	
row_8	SPRY2	2510	1.0028480291366577	-0.041375123	No	
row_9	IL13RA1	2735	0.9466713666915894	-0.045390688	No	
row_10	PIK3R3	2740	0.9461363554000854	-0.036031313	No	
row_11	IFNAR1	2748	0.9448807239532471	-0.026867144	No	
row_12	IFNAR2	2756	0.942391037940979	-0.017728241	No	
row_13	GRB2	2862	0.921663224697113	-0.014760057	No	
row_14	PIAS3	3259	0.829149067401886	-0.030429408	No	
row_15	PIK3R1	3428	0.7956851124763489	-0.03257147	No	
row_16	SPRY1	3482	0.7860855460166931	-0.027816677	No	
row_17	PIAS1	3530	0.7765658497810364	-0.022793584	No	
row_18	STAM2	3977	0.6843461990356445	-0.04297358	No	
row_19	SOCS4	4085	0.6615328192710876	-0.042767186	No	
row_20	IFNGR2	4217	0.6393020153045654	-0.0442461	No	
row_21	SOCS5	4332	0.6185562610626221	-0.044901628	No	
row_22	SPRED2	4429	0.6015793681144714	-0.044634704	No	
row_23	STAT3	4775	0.5390752553939819	-0.0601463	No	
row_24	CBLB	5116	0.48426932096481323	-0.07591004	No	
row_25	LEPR	5284	0.45076102018356323	-0.08149203	No	
row_26	JAK2	5318	0.4429034888744354	-0.07900391	No	
row_27	IFNGR1	5821	0.3510298728942871	-0.10597276	No	
row_28	GHR	6002	0.3191772997379303	-0.11368089	No	
row_29	STAT5B	6149	0.2889968156814575	-0.11962747	No	
row_30	AKT1	6291	0.26408910751342773	-0.12552273	No	
row_31	JAK1	6714	0.19249524176120758	-0.14923501	No	
row_32	STAM	6897	0.16197074949741364	-0.15866034	No	
row_33	CBL	6944	0.15503354370594025	-0.15988456	No	
row_34	CISH	6951	0.15351232886314392	-0.15869144	No	
row_35	PIK3CA	7078	0.13097095489501953	-0.16502547	No	
row_36	PRLR	7294	0.09342717379331589	-0.17715351	No	
row_37	STAT6	7628	0.031989216804504395	-0.19708185	No	
row_38	STAT2	7881	-0.017245253548026085	-0.21223342	No	
row_39	CREBBP	7937	-0.02379651553928852	-0.215337	No	
row_40	SOCS7	8266	-0.0856594368815422	-0.23441653	No	
row_41	PIK3R2	8407	-0.11381092667579651	-0.2417762	No	
row_42	SPRY3	8418	-0.11519230902194977	-0.24121527	No	
row_43	IRF9	8759	-0.1775183230638504	-0.26009232	No	
row_44	SPRY4	8861	-0.197536900639534	-0.26423028	No	
row_45	TYK2	8869	-0.19882237911224365	-0.2626381	No	
row_46	IL6ST	8961	-0.21699155867099762	-0.26597038	No	
row_47	OSMR	8997	-0.22475366294384003	-0.26581797	No	
row_48	AKT3	9185	-0.2635960280895233	-0.27451596	No	
row_49	SOCS3	9544	-0.33762896060943604	-0.29286277	No	
row_50	BCL2L1	9548	-0.3384484052658081	-0.2896102	No	
row_51	IL20RB	9629	-0.3561302423477173	-0.2908613	No	
row_52	IL12A	9753	-0.3849789798259735	-0.29443488	No	
row_53	IL10RB	9759	-0.3855631947517395	-0.29082575	No	
row_54	AKT2	10160	-0.4782049059867859	-0.31030023	No	
row_55	CNTF	10179	-0.4820699691772461	-0.3065023	No	
row_56	LIFR	10285	-0.5088553428649902	-0.30772385	No	
row_57	CCND2	10322	-0.515432596206665	-0.30468205	No	
row_58	EP300	10522	-0.5675387382507324	-0.31102505	No	
row_59	PIK3CD	10847	-0.640714704990387	-0.32422787	No	
row_60	IL11	11819	-0.8886381387710571	-0.37426487	No	
row_61	CNTFR	12270	-1.0227588415145874	-0.39125347	No	
row_62	PIM1	12427	-1.0758966207504272	-0.38982174	No	
row_63	IL13RA2	12519	-1.103994607925415	-0.38415155	No	
row_64	PIAS4	12887	-1.2320650815963745	-0.39396778	Yes	
row_65	CTF1	13026	-1.283818006515503	-0.389331	Yes	
row_66	STAT4	13087	-1.3056379556655884	-0.37972885	Yes	
row_67	IL21R	13551	-1.4803986549377441	-0.3928634	Yes	
row_68	IL7	13590	-1.4986015558242798	-0.37996474	Yes	
row_69	CCND3	13633	-1.518506407737732	-0.36710733	Yes	
row_70	IL20RA	13960	-1.6481722593307495	-0.37020677	Yes	
row_71	TSLP	13965	-1.6503850221633911	-0.35369974	Yes	
row_72	EPOR	14202	-1.7729014158248901	-0.35005945	Yes	
row_73	IL12RB1	14219	-1.7790043354034424	-0.33297685	Yes	
row_74	MYC	14569	-1.937958836555481	-0.334534	Yes	
row_75	IL22RA1	14721	-2.0203399658203125	-0.32321268	Yes	
row_76	IL7R	14870	-2.1155271530151367	-0.31074286	Yes	
row_77	IFNE	14918	-2.1472723484039307	-0.29180798	Yes	
