NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.10143034	Yes	
row_1	SEM1	861	1.6260969638824463	0.10843231	Yes	
row_2	PSMB6	1331	1.3908638954162598	0.12752311	Yes	
row_3	PSMB1	1391	1.3627511262893677	0.1705079	Yes	
row_4	PSMD1	1821	1.2085275650024414	0.1857936	Yes	
row_5	PSMD14	1883	1.1883625984191895	0.22269876	Yes	
row_6	PSMC6	2132	1.1059304475784302	0.24545138	Yes	
row_7	PSMA2	2605	0.9821703433990479	0.2503964	Yes	
row_8	PSMB2	2841	0.9261661767959595	0.26779503	Yes	
row_9	PSMD13	3051	0.8800524473190308	0.28519422	Yes	
row_10	PSMD12	3273	0.8270295262336731	0.30005434	Yes	
row_11	PSMD7	3297	0.8220282196998596	0.32674646	Yes	
row_12	PSMD4	3309	0.8191383481025696	0.3540673	Yes	
row_13	PSMC2	3654	0.7503330111503601	0.35885054	Yes	
row_14	RPS27A	3668	0.7473828792572021	0.38359848	Yes	
row_15	UBA52	3857	0.7059215307235718	0.39632115	Yes	
row_16	PSMC3	3940	0.6903654336929321	0.4149381	Yes	
row_17	PSMB5	4116	0.6567730903625488	0.42676955	Yes	
row_18	PSMA6	4239	0.634976327419281	0.4410692	Yes	
row_19	PSMB3	4305	0.6225293874740601	0.45839894	Yes	
row_20	PSMD11	4501	0.5884295701980591	0.46668288	Yes	
row_21	PSMC1	4603	0.5701741576194763	0.48004144	Yes	
row_22	PSMA4	4833	0.5295811295509338	0.48425362	Yes	
row_23	PSMA3	4901	0.519446074962616	0.49794003	Yes	
row_24	PSMA1	5233	0.4622754454612732	0.49366924	Yes	
row_25	PSMD8	5480	0.4130707085132599	0.49287	Yes	
row_26	PSMB7	5773	0.3588389754295349	0.48742926	Yes	
row_27	PSMB4	5872	0.34337514638900757	0.4932206	Yes	
row_28	PSMC5	5908	0.33724820613861084	0.5026217	Yes	
row_29	PSMD2	6156	0.28758013248443604	0.4974742	Yes	
row_30	UBC	6166	0.2852231562137604	0.5066739	Yes	
row_31	PSMC4	6538	0.2220301628112793	0.49176973	No	
row_32	UBB	7187	0.11134494841098785	0.45629182	No	
row_33	PSMD9	7888	-0.01783563569188118	0.41446668	No	
row_34	PSMD6	8033	-0.040716275572776794	0.40712845	No	
row_35	PSMA7	9669	-0.3668043911457062	0.3205462	No	
row_36	PSMD3	12674	-1.1594445705413818	0.17805643	No	
row_37	ADRM1	13918	-1.6336841583251953	0.15852326	No	
