NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANAPC13	733	1.6947650909423828	0.065018915	Yes	
row_1	ANAPC10	820	1.6403491497039795	0.16569473	Yes	
row_2	PTTG1	1165	1.4586989879608154	0.23902597	Yes	
row_3	ANAPC4	1272	1.4171490669250488	0.32408375	Yes	
row_4	CDC26	1450	1.3392008543014526	0.3998117	Yes	
row_5	CDC16	1660	1.2684545516967773	0.46903583	Yes	
row_6	RAD21	2266	1.0654878616333008	0.5011849	Yes	
row_7	CDC27	2349	1.043047308921814	0.56354785	Yes	
row_8	CDC23	3040	0.8818792104721069	0.57869935	Yes	
row_9	ANAPC7	3330	0.8150379061698914	0.61381286	Yes	
row_10	CDC20	4560	0.577100396156311	0.5766602	No	
row_11	ANAPC5	7091	0.1286025047302246	0.43179506	No	
row_12	ESPL1	7335	0.08502823114395142	0.4225723	No	
row_13	ANAPC11	8315	-0.09721879661083221	0.36957896	No	
row_14	ANAPC1	9891	-0.4169706702232361	0.30114332	No	
row_15	ANAPC2	13738	-1.5632082223892212	0.16920935	No	
