NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	1541	1.308368444442749	-0.055220317	No	
row_1	IL13RA1	2735	0.9466713666915894	-0.09990049	No	
row_2	IFNAR1	2748	0.9448807239532471	-0.07309177	No	
row_3	IFNAR2	2756	0.942391037940979	-0.046052724	No	
row_4	IFNGR2	4217	0.6393020153045654	-0.11586421	No	
row_5	STAT3	4775	0.5390752553939819	-0.13389574	No	
row_6	JAK2	5318	0.4429034888744354	-0.15382124	No	
row_7	IFNGR1	5821	0.3510298728942871	-0.17400107	No	
row_8	STAT5B	6149	0.2889968156814575	-0.18538772	No	
row_9	JAK1	6714	0.19249524176120758	-0.21394329	No	
row_10	STAT6	7628	0.031989216804504395	-0.26831758	No	
row_11	STAT2	7881	-0.017245253548026085	-0.28308034	No	
row_12	IL6ST	8961	-0.21699155867099762	-0.34211904	No	
row_13	IL12A	9753	-0.3849789798259735	-0.3788162	No	
row_14	PIM1	12427	-1.0758966207504272	-0.509384	No	
row_15	STAT4	13087	-1.3056379556655884	-0.5112552	Yes	
row_16	IL7	13590	-1.4986015558242798	-0.4979926	Yes	
row_17	EPOR	14202	-1.7729014158248901	-0.48333922	Yes	
row_18	IL12RB1	14219	-1.7790043354034424	-0.43246484	Yes	
row_19	IL7R	14870	-2.1155271530151367	-0.41018918	Yes	
row_20	IL4R	15289	-2.4122979640960693	-0.36521125	Yes	
row_21	IL6R	15674	-2.718071460723877	-0.30926287	Yes	
row_22	IL12RB2	15847	-2.8931500911712646	-0.23537011	Yes	
row_23	IL15RA	15880	-2.9288322925567627	-0.15195677	Yes	
row_24	IL15	16012	-3.1341545581817627	-0.06855705	Yes	
row_25	STAT5A	16157	-3.4334332942962646	0.022776747	Yes	
